Entity_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1169344,41,41,1,44,1158920,0
0,7614,0,2,0,60,1030,1
0,609988,156,156,1,10,605538,1
0,1211309,161,161,1,49,1200861,0
0,71128,80,80,1,45,60752,1
1,18759,150,150,3,107,8548,1
0,52109,56,56,1,5,41772,1
0,18044,38,38,1,30,13358,1
0,424181,138,138,1,10,413739,0
0,225503,222,222,1,8,215040,0
1,1026196,141,141,3,49,1015775,0
0,330111,108,108,1,15,322282,0
0,458221,51,51,1,10,447770,1
0,328819,64,64,1,30,318764,0
0,18045,172,172,1,110,7588,0
0,83617,100,100,1,27,73238,1
1,743366,13,13,3,28,733188,0
1,723117,129,129,3,33,714922,0
1,796435,42,42,3,32,786038,0
1,296067,109,109,3,33,288610,0
0,7780,9,9,2,63,2,1
0,818767,119,119,1,29,810066,0
0,573981,157,157,1,10,563530,0
0,390898,218,218,1,34,380639,1
1,5380,27,27,3,75,2,1
0,46065,189,189,1,38,35644,1
0,842551,211,211,1,35,832124,0
0,63253,173,173,1,111,52823,1
0,286931,190,190,1,51,283691,0
0,149649,114,114,2,23,143326,0
0,816094,66,66,1,33,805796,0
0,11492,33,33,1,78,5925,1
0,26884,61,61,1,16,16478,1
0,45907,205,205,2,50,38978,1
0,13390,159,159,1,70,2987,0
0,193120,182,182,2,23,183374,0
0,9732,191,191,1,116,1,0
1,1233807,176,176,3,46,1224493,1
0,62951,93,93,1,53,52593,1
0,970184,183,183,1,46,959784,1
0,138304,215,215,1,13,127910,1
0,13701,151,151,1,108,3220,1
0,328850,47,47,1,29,318795,0
0,5595,7,7,2,62,1,1
0,213628,99,99,1,52,203258,0
1,24168,111,111,3,98,13795,0
0,459416,62,62,1,34,449073,1
0,3034,90,90,2,95,2,0
0,252973,112,112,1,34,245186,1
1,127990,148,148,3,53,117557,1
0,347060,219,219,2,34,339083,1
0,60872,206,206,1,50,50520,1
0,141214,130,130,1,27,130814,1
1,789447,212,212,3,35,779023,0
0,475972,76,76,2,2,470489,0
0,409474,178,178,1,33,399029,1
0,47512,123,123,1,29,39092,1
0,2345983,164,164,1,50,2335691,0
0,33876,199,199,1,121,23431,0
0,2017022,5,5,2,48,2011656,0
0,745319,40,40,1,32,734937,0
0,891588,20,20,1,37,881293,0
1,1020605,200,200,3,48,1014285,0
1,25728,92,92,3,55,21774,1
0,13163,65,65,1,87,2601,0
0,31191,120,120,1,35,20812,1
0,7954,192,192,2,117,2,0
0,229560,213,213,1,28,219184,1
0,571102,15,15,1,39,563645,0
0,69531,217,217,1,13,59128,1
0,5243,68,68,1,88,2,0
0,9826,24,24,2,74,2831,0
1,12411,133,133,3,102,1858,1
0,6482,4,4,2,61,3,0
0,78813,196,196,1,51,72588,1
0,12312,195,195,2,51,7990,1
0,40663,197,197,1,120,30197,1
0,24830,101,101,1,27,14646,1
0,288082,208,208,1,50,277652,0
0,64484,127,127,2,30,55971,1
0,127475,170,170,1,54,117093,1
0,32850,185,185,1,9,28143,1
0,207695,53,53,1,15,204667,0
0,36235,216,216,1,13,25871,1
0,11147,34,34,2,79,4143,0
1,1351353,153,153,3,46,1340908,0
0,30892,73,73,1,22,20468,0
0,54812,6,6,1,32,50482,1
0,353296,96,96,2,51,348857,1
0,7476,1,0,2,59,127,0
0,21015,75,75,1,18,14486,1
0,5481,154,154,2,109,1,0
0,5231,28,28,1,66,1,1
0,89016,117,117,1,42,78604,1
1,574518,142,142,3,12,565420,0
1,27113,193,193,3,118,16665,1
1,647211,115,115,3,46,636820,0
0,802151,14,14,1,50,791817,1
0,65194,23,23,1,0,54806,0
0,6388,122,122,1,100,323,1
0,243214,167,167,1,33,232769,0
0,62219,39,39,1,82,51870,0
0,19188,35,35,1,80,11071,1
0,22103,169,169,1,33,14689,1
0,239506,160,160,2,15,231410,0
1,217558,3,3,3,25,208664,0
1,52443,44,44,3,48,42064,1
0,5929,149,149,1,69,3,0
1,35770,43,43,3,83,25298,1
0,5956,22,22,1,73,733,0
0,586972,46,46,1,8,576509,0
0,88568,198,198,1,120,78117,1
1,13525,107,107,3,97,3143,0
0,623676,89,89,1,12,613279,0
0,11537,174,174,1,112,1098,1
0,505288,12,12,1,4,494840,0
0,780586,126,126,1,36,770171,0
0,158064,214,214,1,13,147781,1
0,54831,125,125,1,51,44338,1
0,1392969,104,104,1,49,1382515,1
0,2345195,165,165,1,51,2334792,0
0,5893,37,37,1,81,1,0
0,1174010,187,187,2,43,1168695,0
1,595061,49,49,3,25,584655,0
0,1048694,137,137,1,41,1038261,0
1,214744,10,10,3,38,206012,1
0,3341,188,188,2,115,3,0
0,5467,72,72,2,91,2,0
0,225073,36,36,1,27,217409,1
0,6046,78,78,2,93,2,1
0,610602,140,140,1,26,600223,0
0,548110,152,152,1,18,541838,0
0,8611,116,116,1,68,3,0
0,940675,88,88,1,49,930293,1
1,566844,202,202,3,17,556376,0
0,39653,26,26,1,37,33702,1
0,19647,55,55,1,85,9304,1
0,1142692,87,87,2,48,1136952,1
0,17336,67,67,1,12,6891,1
1,6309,69,69,3,89,1,1
0,6144,63,63,1,86,3,0
0,796416,186,186,1,29,789632,0
0,252780,210,210,1,16,242332,0
1,6275,18,18,3,72,3,0
1,9243,25,25,3,65,3028,1
0,230403,209,209,1,10,222871,0
0,638425,171,171,1,18,628055,0
0,34341,16,16,2,32,26002,1
1,5690,77,77,3,92,3,0
0,6239,135,135,2,104,3,1
1,47046,58,58,3,67,36631,0
0,1352921,106,106,1,49,1342479,0
0,536745,48,48,1,18,531839,0
1,1415129,8,8,3,46,1406220,0
0,53597,32,32,1,57,43140,1
0,6877,31,31,1,77,2,0
0,82139,162,162,1,3,71676,1
0,534898,113,113,2,33,529028,1
0,97751,79,79,2,23,91272,1
0,1028641,21,21,1,40,1018586,0
0,64329,97,97,1,1,53935,0
0,19778,82,82,1,94,9420,0
0,364064,57,57,1,33,353619,1
0,501262,102,102,1,20,494255,0
0,1441553,105,105,1,49,1431102,0
1,736142,224,224,3,29,726108,0
0,18102,17,17,1,71,7759,0
0,635740,95,95,1,14,625292,0
0,29124,136,136,1,104,18715,1
0,510863,220,220,1,6,500484,0
0,347622,83,83,1,50,337195,0
1,8750,11,11,3,64,352,0
1,12299,145,145,3,106,2049,1
