Entity_Type,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Gene_Category,Strand_Orientation
0,5471,135,110,3207,0,1
0,5583,96,99,3223,0,0
1,457048,87,9,454787,1,0
0,478833,231,6,476677,0,0
1,2336,146,113,3,1,1
1,552888,218,15,550654,1,0
0,835809,94,28,833647,0,0
0,4603,48,87,2336,0,0
1,1069200,208,45,1067095,1,0
0,2907,35,71,667,0,0
0,6046,151,114,3683,0,0
1,76342,177,33,73994,1,1
1,1167843,142,41,1165567,1,0
0,1026,3,69,22,0,1
0,692573,68,19,690150,0,0
0,27924,6,17,26149,0,1
0,754574,173,26,752403,0,0
1,1157625,115,42,1155433,1,0
1,12933,111,39,10912,1,1
1,96434,222,5,94266,1,1
1,35613,194,120,33460,1,1
0,604953,79,20,602554,0,0
0,2152,9,59,38,0,0
1,763015,82,37,760970,1,0
0,4215,70,19,1969,0,1
0,480713,37,4,478230,0,0
1,114439,8,3,112868,1,1
0,3201,58,73,2560,0,1
1,61722,220,51,61057,1,1
0,45278,99,18,42840,0,0
1,13918,120,104,11750,1,1
1,562476,171,10,560179,1,0
0,56175,83,5,53914,0,1
0,1518,57,93,1,0,1
0,1009290,44,38,1006993,0,0
1,50723,119,104,48507,1,1
0,487264,92,17,485114,0,0
0,35005,175,118,32786,0,1
0,371476,170,18,369323,0,0
0,477337,10,9,476408,0,0
0,1835184,66,46,1832923,0,0
1,53359,113,39,52601,1,1
1,1287,18,68,1,1,0
1,441740,90,29,439797,1,1
1,81519,11,5,79698,1,1
0,71686,212,49,69566,0,1
0,707127,47,23,704929,0,0
0,65232,217,50,62692,0,1
1,777368,224,31,775140,1,0
0,3230,126,22,921,0,1
0,1669,46,86,2,0,1
0,5540,43,84,3963,0,1
1,372955,230,29,370655,1,1
0,2191081,86,52,2188577,0,1
1,11060,139,31,8994,1,1
0,4184,235,35,1923,0,1
0,43304,155,55,40902,0,1
1,113111,165,15,111105,1,1
0,59089,40,55,56687,0,1
1,1189025,188,50,1186812,1,0
1,805063,178,38,803291,1,0
1,1835456,204,47,1833030,1,0
0,7454,51,89,5259,0,1
0,611448,109,10,610807,0,0
0,2776,152,115,509,0,0
1,1204656,196,44,1202680,1,0
0,4025,162,16,1761,0,1
0,2650,23,34,386,0,1
1,560447,97,52,558669,1,1
1,335828,153,29,333633,1,1
1,480279,203,44,478171,1,0
1,7012,5,31,5501,1,1
0,12909,140,111,10807,0,1
0,11646,122,105,9286,0,1
1,1116077,149,40,1113876,1,0
0,76316,28,50,74154,0,1
1,496899,100,1,495853,1,0
0,15153,205,30,12949,0,1
0,1027491,75,37,1024990,0,0
1,170211,121,48,168412,1,1
1,799420,225,31,796943,1,0
0,377705,95,57,375522,0,0
0,5046,157,116,2860,0,1
0,914046,62,33,913312,0,0
0,244454,156,19,243822,0,0
0,394758,19,9,393970,0,0
0,574603,168,21,572120,0,0
1,5117,216,81,2943,1,0
1,252998,129,28,250869,1,0
1,1108,159,75,1,1,0
1,92964,91,41,90784,1,1
0,3133,50,89,824,0,1
1,470842,187,51,468923,1,0
1,4059,29,70,1852,1,0
0,4593,1,17,2230,0,1
1,689616,81,52,687517,1,0
1,598394,167,21,596190,1,0
1,185005,117,58,182789,1,0
0,507624,191,3,505363,0,0
1,459000,172,10,456733,1,0
1,123424,232,8,121439,1,0
0,53099,223,38,50910,0,1
1,4883,41,82,2628,1,1
0,4516,52,90,3179,0,1
1,17178,105,102,14941,1,1
0,81116,2,13,80040,0,1
0,703891,71,23,701787,0,0
0,79561,116,55,77369,0,1
0,3704,21,66,1446,0,1
1,299939,227,11,297915,1,1
0,115059,158,22,112891,0,1
0,827,12,61,3,0,0
0,28523,80,37,26538,0,1
1,547726,132,7,545198,1,0
1,45480,195,120,43330,1,1
0,1039862,76,37,1037046,0,0
1,1937904,24,52,1935421,1,0
1,52834,182,0,50840,1,0
0,28514,107,103,26043,0,0
0,1138,4,106,2,0,0
1,62927,147,24,60651,1,1
1,16106,72,96,14127,1,0
0,7548,53,91,5362,0,0
0,828692,193,47,827244,0,1
0,711734,31,23,710958,0,0
0,482055,110,10,479794,0,0
1,89110,206,16,86993,1,1
0,71096,136,40,68619,0,1
0,798,163,77,1,0,1
0,2326647,16,52,2325364,0,0
0,9859,207,80,7598,0,1
0,120751,185,3,119534,0,1
1,70436,209,122,69252,1,1
1,7125,108,103,5011,1,0
0,1699,84,8,101,0,1
0,1333,15,63,3,0,0
1,468090,39,2,465892,1,0
1,811009,210,32,808763,1,0
1,619207,202,9,617003,1,0
0,194620,123,53,192110,0,0
0,52112,102,43,49749,0,1
0,14957,63,74,12933,0,0
1,1621,64,94,2,1,1
1,813661,180,37,811541,1,0
0,560608,179,16,558551,0,0
1,961848,150,36,959689,1,0
0,915393,61,33,914149,0,0
0,47037,176,118,44773,0,1
0,50074,189,3,47909,0,1
0,487691,30,18,485538,0,0
0,7225,104,101,4853,0,0
0,669010,130,16,666635,0,0
0,2335,169,12,101,0,1
0,2976,161,76,781,0,0
0,1159648,141,41,1157084,0,0
0,140815,228,11,140096,0,1
0,3637,160,33,1680,0,1
0,17152,134,109,14774,0,1
1,3774,17,64,1570,1,0
1,8253,101,41,6340,1,1
0,477141,197,7,476586,0,0
0,4334,93,98,1968,0,1
1,20192,201,29,18165,1,1
1,636865,78,20,634829,1,0
0,391932,7,57,389746,0,1
0,1152,13,60,1,0,0
1,122003,229,11,119982,1,1
0,6765,192,79,4204,0,1
0,6868,183,119,4559,0,1
0,3468,69,95,1171,0,0
0,2352753,128,52,2351474,0,0
0,85349,65,4,84366,0,1
0,303473,215,12,301437,0,1
0,49973,25,23,48072,0,1
0,6110,98,100,3849,0,0
1,9061,54,72,6806,1,1
0,6479,133,108,5838,0,1
0,369971,59,54,367785,0,0
1,19107,103,43,16912,1,1
0,316113,226,11,313945,0,1
0,5333,20,65,3093,0,1
0,4679,112,39,2307,0,1
0,2152465,190,51,2150273,0,0
0,1347,22,67,4,0,0
0,3770,49,88,732,0,1
0,23314,236,2,21104,0,0
0,763294,174,26,761027,0,0
1,411395,36,13,410220,1,0
1,51771,234,35,49540,1,1
1,469090,33,1,466913,1,0
0,909502,73,34,907241,0,0
0,68193,145,25,66007,0,1
0,315631,214,12,313523,0,1
1,10067,27,44,8418,1,1
1,609383,77,20,607077,1,0
0,351915,199,56,350539,0,1
0,400277,26,10,398004,0,0
0,702444,211,22,701878,0,0
1,369509,60,13,367296,1,1
0,3147,42,83,535,0,1
0,526037,38,3,525222,0,0
0,57522,124,22,55348,0,1
1,1375691,118,44,1373202,1,0
0,19404,198,121,17227,0,0
0,66424,233,35,64094,0,1
0,6576,164,117,4354,0,1
0,4947,45,85,2638,0,0
1,399311,89,14,397290,1,0
0,646569,181,12,644707,0,0
0,20107,67,49,17801,0,1
0,2123600,85,51,2121408,0,0
0,2949,221,123,565,0,0
1,654471,74,51,652312,1,1
1,828777,106,46,827212,1,1
0,27070,138,16,24536,0,1
0,311650,213,12,309482,0,1
0,16283,184,78,15441,0,1
0,5683,55,92,3845,0,0
1,477984,148,5,475453,1,0
0,1178466,114,42,1176085,0,0
1,22657,143,112,20729,1,0
1,60946,144,52,58898,1,1
1,34512,88,97,32440,1,1
1,1028709,166,39,1026565,1,0
1,224206,200,34,222371,1,1
0,92121,137,40,90979,0,1
1,731499,32,23,729406,1,0
0,7491,125,22,5182,0,1
0,1036,14,62,2,0,1
0,14203,56,32,11819,0,1
1,5726,0,124,3723,1,0
0,471716,219,5,470270,0,0
1,1909430,127,51,1907460,1,1
1,669243,186,18,667156,1,0
0,18709,34,27,16532,0,1
1,18062,131,107,16122,1,1
0,668634,154,24,666520,0,0
