Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,1713823,10,10,0,28,1711409
1,32772,100,100,1,4,29866
1,373899,31,31,0,5,371611
1,721934,78,78,0,23,719244
0,428427,91,91,0,20,425755
1,1516533,46,46,0,30,1514173
0,465591,163,163,0,15,462814
1,54199,34,34,0,56,51578
1,952113,118,118,1,23,949273
0,1024944,233,233,0,29,1022305
1,199898,38,38,1,19,197364
0,404584,120,120,0,21,402206
0,473501,202,202,0,23,470631
0,246580,90,90,0,19,243767
0,33755,29,29,0,42,30969
0,355891,244,244,0,6,353552
0,602339,47,47,0,30,600009
1,1100880,194,194,1,23,1098211
0,1123469,221,221,1,24,1120611
1,1147282,168,168,0,30,1144757
1,32977,216,216,1,83,30248
1,33431,28,28,0,53,30843
0,184674,7,7,0,12,182293
1,1757922,188,188,0,30,1755496
0,553480,173,173,0,1,550610
0,16153,32,32,0,54,13502
1,292921,245,245,0,6,290183
0,256062,178,178,0,5,253732
0,25495,53,53,0,59,22811
1,8691,195,195,0,76,6085
1,180436,213,213,0,11,177890
1,15222,212,212,0,80,12538
0,849988,205,205,0,23,847319
1,1919214,106,106,0,29,1916677
0,546874,144,144,0,15,544250
0,1014233,136,136,1,29,1011738
0,519004,251,251,0,7,516413
0,1176004,167,167,0,30,1173581
1,82609,139,139,0,19,79808
0,316755,121,121,1,24,314314
0,622377,44,44,0,29,620053
1,483376,99,99,0,24,480707
0,1314205,93,93,0,30,1311887
1,1015945,209,209,0,23,1013150
1,204433,66,66,0,14,201761
0,1745786,15,15,0,29,1743231
1,125132,84,84,0,4,122370
0,17633,24,24,1,51,14982
0,4209,123,123,0,67,1423
0,187941,232,232,0,5,185287
0,1035713,61,61,0,25,1032837
0,425184,137,137,0,16,422410
0,513629,257,257,0,15,510834
1,565358,86,86,0,30,563163
0,1115182,220,220,0,24,1112378
0,432436,160,160,1,15,429818
1,218715,58,58,0,17,215884
1,86749,154,154,1,3,84020
0,396102,73,73,1,19,393418
0,107074,254,254,1,2,104540
0,602587,45,45,0,29,600077
0,389747,165,165,1,15,387120
0,422008,200,200,0,17,419294
0,1065877,198,198,0,25,1063010
0,378614,164,164,0,15,375975
0,309384,112,112,0,5,306937
1,585607,85,85,0,6,583331
0,7162,22,22,0,49,4697
1,650434,42,42,0,14,647633
1,23290,218,218,0,48,20606
0,9867,64,64,0,61,7462
1,442799,201,201,1,23,439932
1,1695278,9,9,0,28,1692543
0,700388,17,17,0,15,697620
0,14845,50,50,0,58,11996
0,8092,214,214,0,81,5759
1,13979,197,197,1,78,11352
0,1045611,208,208,0,23,1042786
0,15062,89,89,0,64,12438
0,1061168,114,114,0,23,1059124
1,8115,172,172,0,47,5269
1,379418,170,170,0,32,376740
1,1966199,105,105,0,29,1963551
0,585177,204,204,0,23,582301
0,475012,143,143,0,7,472298
0,1324430,92,92,0,30,1322082
1,1096585,235,235,0,29,1093946
1,9580,196,196,1,77,6749
1,50888,153,153,0,20,48174
1,1062895,234,234,0,29,1060310
0,758419,48,48,0,21,756089
0,12594,152,152,0,74,9967
1,9089,217,217,0,83,6579
0,45075,126,126,1,70,42286
1,1578209,102,102,1,28,1575672
0,1818146,110,110,0,29,1815771
0,466038,176,176,0,24,463714
0,1851640,108,108,0,29,1848668
0,139709,253,253,0,1,138117
0,290907,119,119,1,21,288478
1,1171520,41,41,0,27,1169280
1,2047179,184,184,0,29,2044399
0,800723,166,166,0,22,798375
1,12158,13,13,0,41,9363
0,21771,87,87,0,62,19363
0,488327,203,203,0,23,485541
0,454333,159,159,0,15,451748
0,262330,243,243,0,6,259847
0,568854,259,259,0,15,566233
1,16377,146,146,0,72,13513
1,180486,37,37,0,19,177754
0,1596686,185,185,0,29,1594209
0,301826,242,242,0,29,299487
0,736453,82,82,0,23,733583
0,1006971,1,1,0,30,1005142
0,20976,60,60,0,44,18310
0,5331,151,151,0,73,2932
1,629809,115,115,0,13,627020
0,1825289,187,187,0,30,1822929
0,590672,258,258,1,15,588504
1,6553,122,122,0,66,4166
0,1152306,222,222,0,24,1149583
1,13678,157,157,0,3,10931
0,468388,71,71,0,6,465485
0,476059,150,150,1,5,473501
1,1152001,179,179,1,28,1149578
1,1007699,206,206,0,23,1005114
1,1129346,169,169,0,30,1126764
0,696919,76,76,0,23,694046
0,1156973,236,236,0,29,1154469
1,221070,142,142,0,9,218443
0,463778,83,83,0,16,460986
0,11062,6,6,0,37,8450
1,1553361,181,181,0,28,1550629
0,280853,67,67,0,23,278046
0,546370,49,49,0,8,543824
0,399549,238,238,0,16,396772
0,57145,59,59,0,44,54284
0,817323,81,81,0,23,814468
0,408107,19,19,1,5,405750
1,60414,227,227,0,85,57859
1,988200,207,207,0,23,985546
1,7898,12,12,0,40,5274
0,245264,51,51,0,0,242583
0,4732,125,125,0,69,2051
0,21506,62,62,0,60,18858
1,23129,128,128,0,71,20358
0,428401,72,72,0,18,425663
1,950785,134,134,0,29,948302
0,34218,63,63,0,60,31414
0,2065088,103,103,1,29,2062416
0,15093,158,158,0,19,12226
0,1251196,180,180,0,28,1248512
1,352788,249,249,0,18,350182
1,565683,141,141,0,6,563344
1,10603,8,8,0,38,7772
1,212927,0,0,0,13,211077
0,1200167,193,193,0,23,1197396
0,652210,98,98,0,8,649424
1,10893,94,94,0,31,8359
1,4709,33,33,0,55,2067
0,119436,255,255,0,2,116878
1,14331,230,230,0,86,11776
0,1633076,186,186,1,29,1630521
0,7054,124,124,0,68,4541
1,456596,18,18,0,5,453903
1,3590,211,211,0,80,942
0,1816759,189,189,0,30,1814429
1,2010450,111,111,0,30,2008033
1,529696,175,175,0,1,526820
0,272153,68,68,0,23,269451
1,423886,69,69,0,6,421607
1,408724,140,140,1,33,406415
0,1189938,225,225,0,24,1187140
0,25731,11,11,0,39,22858
0,35248,54,54,0,59,32438
1,2099,4,4,0,35,3
0,867065,117,117,0,23,864531
1,460231,149,149,0,13,457457
0,2113696,55,55,1,29,2111357
0,783613,80,80,0,23,780839
1,35322,191,191,0,75,32611
0,506933,21,21,0,23,504105
1,41459,219,219,0,84,38613
0,584285,174,174,0,1,581721
0,404953,162,162,0,15,402317
0,16042,113,113,0,65,13142
1,574686,148,148,1,13,571897
1,596823,97,97,0,8,594229
0,71558,155,155,1,3,69066
0,1102343,226,226,0,24,1099539
0,556640,252,252,0,7,553878
0,22835,147,147,0,72,20457
0,65602,27,27,0,52,62846
1,2171498,182,182,0,29,2169063
1,3099,88,88,0,63,313
1,2201057,57,57,0,30,2198634
0,1865809,107,107,0,29,1862957
1,2060220,183,183,0,29,2057611
1,8030,145,145,0,72,5538
1,54570,30,30,0,42,51787
1,12466,229,229,0,85,9926
1,1650945,14,14,0,29,1648582
0,1181628,224,224,0,24,1179322
1,580806,96,96,0,8,578836
0,321121,171,171,0,30,318503
1,880730,135,135,0,29,877992
1,7331,95,95,0,46,4482
1,156435,36,36,0,19,153649
1,249052,75,75,0,9,246272
1,344245,16,16,0,0,341906
1,194602,248,248,0,9,191840
0,536061,256,256,0,15,533287
0,1828534,109,109,0,29,1825916
1,450835,70,70,0,6,448496
0,14547,23,23,0,50,12235
0,417885,138,138,0,16,415123
1,237391,74,74,0,9,234584
0,7271,25,25,0,51,4884
0,3982,3,3,0,34,1541
1,21057,156,156,0,3,18763
0,388287,239,239,0,16,385492
0,11601,43,43,0,57,9187
0,185153,26,26,0,26,182502
0,110238,228,228,0,85,107374
0,768058,79,79,0,23,765323
1,8573,215,215,0,82,6039
1,7513,5,5,0,36,4757
1,191757,116,116,0,10,188965
1,205713,246,246,0,9,202903
1,1409461,101,101,0,28,1406588
1,775880,132,132,0,29,773208
1,12861,240,240,0,87,10087
0,735391,130,130,0,29,733043
0,1731005,190,190,0,27,1728183
0,171302,231,231,0,12,169443
1,187696,247,247,0,9,185057
1,2180588,56,56,0,30,2178147
1,17047,40,40,0,43,14579
0,222070,177,177,0,5,219359
0,1169591,223,223,0,24,1166769
1,2776,52,52,1,59,113
1,935144,133,133,0,29,932427
0,8596,127,127,0,70,5819
0,24923,65,65,0,45,22032
0,42017,199,199,1,79,39222
1,1150558,192,192,1,23,1147775
1,665447,77,77,0,23,662586
0,276688,210,210,1,24,274223
1,396615,250,250,1,18,394090
0,381075,237,237,0,16,378301
1,2102129,104,104,0,29,2099463
0,255561,20,20,1,23,253126
1,22052,241,241,0,88,19278
0,198843,129,129,0,5,196225
0,763632,131,131,0,29,761305
0,421319,161,161,0,15,418704
1,167573,39,39,0,19,164778
1,11536,35,35,0,56,9554
1,597333,2,2,1,18,595705
