Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,1160395,344,1,21,1159709,0
1,18293,401,1,94,17649,0
0,7200,132,0,44,6637,0
0,55025,356,0,82,54438,0
0,1464254,86,0,27,1463646,0
0,494817,199,0,22,494134,1
0,2016292,326,0,26,2015537,0
0,9057,385,0,89,8128,0
0,4555,130,0,63,3962,0
0,683253,96,0,27,682675,0
1,844685,365,1,21,844098,0
1,112468,398,1,93,111971,0
0,4870,337,0,77,4217,0
0,2682,259,0,75,1954,0
0,158502,17,0,8,158113,0
0,1955674,329,0,27,1955171,0
0,756041,97,0,27,755460,1
0,1368555,306,0,27,1367977,1
0,1487064,90,0,27,1486369,1
1,44362,297,1,14,43754,1
0,265007,253,0,22,264339,0
0,128464,413,0,13,128075,0
0,1921473,106,0,27,1920904,1
0,458814,349,0,16,458125,0
0,316703,368,0,15,316059,0
0,548591,220,0,18,548190,0
0,1604078,114,0,27,1603452,0
0,85370,59,0,57,84681,0
0,17407,256,0,73,16820,0
0,1033564,294,0,17,1032920,0
1,1738968,26,1,26,1738420,0
0,6677,376,0,85,6162,1
0,278070,217,0,3,277438,1
0,1731530,333,0,27,1730895,0
0,515441,202,0,6,514617,0
0,567879,378,0,19,567310,0
0,10321,124,0,60,9749,0
0,1686468,110,0,27,1685914,0
0,7629,224,0,69,6979,0
0,1645,353,0,82,1004,0
0,382637,55,0,3,382086,0
1,807869,23,1,26,807330,1
0,431207,424,0,4,430704,0
0,39701,50,0,56,39237,1
0,307213,254,0,22,306524,0
0,782,44,0,53,129,1
0,1132814,314,0,27,1132212,1
0,36247,70,0,14,35642,1
0,170789,66,0,13,170208,1
0,717564,265,0,26,716974,1
0,1637787,112,0,27,1637185,1
0,269583,417,0,4,268954,0
1,628319,180,1,12,627354,1
0,1932015,105,0,27,1931470,0
0,2027,38,0,51,1341,0
0,1743790,332,0,27,1743146,0
0,521226,203,0,6,520573,0
0,1118634,316,0,27,1117975,1
0,376974,53,0,3,376393,1
0,250738,320,0,3,250097,0
0,1579,2,0,33,1004,1
