Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,2058,40,1,89,1,0
1,326018,98,1,22,323649,0
1,476915,37,1,3,476025,0
1,114401,60,1,59,112584,1
1,2332647,195,1,54,2330257,0
1,80177,230,1,13,78453,1
1,8014,80,1,10,5234,1
1,38673,85,1,105,38134,1
1,74182,14,1,21,73355,1
0,346408,201,0,60,346178,1
1,921959,61,1,35,919047,0
1,1129891,141,1,42,1128836,0
1,1242,4,1,88,1100,0
1,40192,221,1,63,38090,1
1,612,67,1,43,103,1
1,929,170,1,128,3,0
1,9109,148,1,27,6119,1
1,35665,146,1,27,33647,1
1,223303,151,1,24,221369,0
1,30441,191,1,131,27628,1
1,1639600,194,1,53,1637255,0
1,67398,219,1,52,66466,1
1,122795,35,1,8,121053,0
1,1121147,211,1,42,1120731,0
1,216652,229,1,26,216302,1
1,53404,239,1,37,53066,1
1,20561,116,1,40,20007,1
1,215357,59,1,25,214062,1
1,543960,133,1,6,542011,0
1,23503,234,1,5,21764,1
1,56787,222,1,63,55507,1
1,857583,105,1,32,854629,0
1,615828,182,1,24,612868,0
0,282,114,0,84,1,1
1,640889,120,1,14,638082,0
1,119855,177,1,7,118959,1
0,202126,73,0,57,201683,0
0,157631,180,0,50,157230,0
0,218,150,0,122,3,0
1,578507,183,1,24,577500,0
0,1238,209,0,87,288,1
1,12423,124,1,25,10753,1
1,100170,26,1,13,98553,1
1,74123,119,1,58,73479,1
1,18217,115,1,114,15659,0
1,3521,171,1,85,564,0
0,1415811,19,0,46,1415230,0
1,229154,238,1,7,227562,0
1,47729,118,1,58,46503,1
1,10942,196,1,30,10619,1
1,45868,108,1,45,44981,1
1,11981,100,1,111,9216,0
1,706956,36,1,27,704473,0
1,6341,58,1,99,3546,0
0,2270,55,0,96,1968,1
1,1034156,71,1,38,1031220,0
1,1842055,205,1,49,1840004,0
1,7838,212,1,134,7741,1
1,4117,6,1,64,2168,1
0,1411,1,0,71,1097,0
1,51751,103,1,21,49106,0
1,2184398,82,1,54,2181870,1
1,76293,27,1,58,74227,1
1,28437,215,1,54,25624,1
1,1399795,23,1,46,1397420,0
1,8610,75,1,102,7165,0
1,46358,88,1,15,44298,1
1,1122061,140,1,42,1121249,0
1,57738,223,1,63,56893,1
1,11717,172,1,129,11061,0
1,629366,204,1,46,627348,0
1,34648,28,1,37,31775,1
1,41471,152,1,54,39177,1
1,42976,227,1,39,42014,1
1,2400,162,1,125,211,0
1,3058,134,1,119,647,0
0,71748,32,0,52,71398,1
0,202086,210,0,56,201577,0
1,368350,47,1,56,367493,0
1,83691,192,1,2,83233,1
1,33312,76,1,38,32212,1
1,1050263,154,1,47,1049748,0
1,358301,168,1,56,355485,0
1,23148,135,1,41,20869,1
1,1686,2,1,74,1,1
1,4959,96,1,109,2632,0
0,1130987,142,0,42,1130442,0
1,33975,34,1,26,32362,1
1,47107,231,1,13,46339,1
1,25397,147,1,27,23602,1
1,215,5,1,117,3,0
1,254233,176,1,35,251879,1
1,6051,106,1,83,3256,0
1,270124,225,1,53,267929,0
1,3364,166,1,127,1112,0
1,8105,56,1,97,5802,1
1,27721,87,1,82,25157,0
1,88109,216,1,24,87465,0
1,794,8,1,65,3,0
1,36817,145,1,27,35931,1
0,2248,20,0,76,1520,1
1,903359,156,1,53,902475,0
1,513917,236,1,5,513297,0
1,24472,184,1,14,23342,1
1,46075,232,1,13,44094,1
1,4117,224,1,47,1346,1
1,1991,174,1,130,321,1
1,6985,78,1,103,4031,1
1,281858,149,1,54,279111,0
0,581031,237,0,19,580762,0
1,783875,65,1,29,783721,0
1,228,17,1,73,1,0
1,8634,57,1,98,6310,0
1,28634,137,1,17,28311,1
1,392192,101,1,28,389835,0
1,1874,54,1,96,3,1
0,17833,30,0,46,17345,1
1,609376,203,1,11,606950,0
