Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position
0,0,1097,13,13,7,55,51,1
1,0,30308,53,53,6,10,2,27168
1,0,81368,21,21,2,83,22,80808
0,0,763,10,10,1,24,52,5
0,0,703218,19,19,8,26,36,701626
1,0,5286,82,82,2,29,75,4336
1,0,93861,100,100,2,50,32,92599
0,0,716461,49,49,6,51,38,713525
0,0,581462,112,112,5,23,4,578019
0,0,212280,148,148,8,31,10,211864
0,0,38881,133,133,2,59,86,36347
0,0,297517,81,81,6,87,14,294389
1,0,83014,122,122,8,90,22,81473
1,0,720,141,141,8,27,92,1
0,0,666404,22,22,8,25,24,665952
1,0,30302,0,0,2,86,31,29316
1,0,5807,131,131,2,34,26,3882
1,0,118859,98,98,2,35,9,115842
0,0,9728,42,42,6,40,67,6585
0,0,12029,47,47,8,88,69,11478
0,0,315827,126,126,6,79,15,312663
1,0,4234,78,78,2,45,73,3116
0,0,99546,110,110,2,27,12,97369
1,0,32123,59,59,2,51,10,29739
0,0,929052,124,124,2,86,31,925927
1,0,4123,90,90,5,1,76,1628
0,0,116617,56,56,6,44,13,113450
0,0,8113,65,65,2,91,70,5945
1,0,4229,138,138,6,52,89,1371
1,0,33235,7,7,8,78,9,30782
0,0,1206,16,16,8,87,53,1
0,0,789292,97,97,2,10,29,788021
1,0,53098,127,127,2,23,34,49949
1,0,99066,113,113,2,82,1,97825
0,0,318588,153,153,6,43,14,315535
0,0,1289,11,11,8,92,49,3
1,0,546,143,143,8,63,94,1
1,0,383983,5,5,2,60,46,383429
0,0,213521,149,149,2,51,10,212382
1,0,57661,44,44,2,57,41,55166
1,0,74545,151,151,2,68,8,72053
0,0,8781,28,28,2,49,59,5653
0,0,599,1,1,7,32,58,3
1,0,81855,146,146,6,14,10,78709
1,0,341238,29,29,2,73,4,338959
0,0,227216,79,79,8,69,43,225387
0,0,5181,105,105,2,88,79,4192
1,0,99079,54,54,2,3,2,97820
1,0,35758,6,6,7,78,9,35156
1,0,46653,88,88,2,17,38,44743
0,0,521345,25,25,6,56,1,518232
1,1,54155,58,58,6,38,10,50976
1,0,96937,121,121,2,62,30,96035
0,0,1771,20,20,8,17,55,5
0,0,9252,128,128,8,80,85,7177
1,0,1005,18,18,8,64,54,1
0,0,573456,48,48,2,31,3,572590
0,0,632799,51,51,6,69,19,629461
0,0,1017672,50,50,2,11,34,1015075
1,0,1291,14,14,8,93,56,11
1,0,55385,130,130,6,54,0,52233
0,0,6751,106,106,2,91,79,5450
1,0,3425,119,119,2,67,84,855
1,0,68231,99,99,6,74,23,65097
0,0,750258,9,9,7,70,38,748432
1,0,153763,103,103,5,53,21,151067
0,0,307836,152,152,8,43,14,304756
1,0,13944,63,63,5,0,44,11467
1,0,43791,72,72,6,78,9,40663
0,0,100486,55,55,2,46,13,98009
1,0,1126783,132,132,5,13,39,1124243
1,0,4790,125,125,6,19,63,1644
0,0,304,129,129,7,81,64,2
1,0,30678,115,115,7,42,9,29548
0,0,642289,108,108,6,49,8,639173
1,0,40231,111,111,7,15,82,38468
1,0,704,15,15,3,16,57,18
0,0,701522,70,70,2,34,26,698580
1,0,33620,87,87,6,68,38,30504
0,0,673825,84,84,2,73,26,670661
0,0,782421,64,64,2,73,26,781378
0,0,100844,35,35,7,71,12,99663
1,0,506465,73,73,2,41,19,504186
0,0,559272,83,83,6,54,40,556483
1,0,4270,38,38,5,84,42,1799
0,0,673601,76,76,2,80,27,670680
0,0,429068,85,85,6,85,25,425925
1,0,484,140,140,8,60,91,2
1,0,7065,69,69,2,74,72,6076
0,0,506906,101,101,0,87,14,503742
1,0,28960,2,2,2,86,31,27503
1,0,1651,95,95,2,14,62,830
0,0,302755,61,61,8,43,14,301802
0,0,1330,12,12,8,65,50,2
0,0,492209,24,24,2,82,1,489726
0,0,704396,17,17,8,46,36,703461
1,0,7840,68,68,2,8,16,6842
1,0,24175,39,39,6,18,47,21059
0,0,1482,107,107,2,44,80,1
0,0,3560,33,33,2,5,65,861
1,0,40333,120,120,6,22,84,37199
1,0,6322,46,46,6,18,15,3197
0,0,694715,135,135,2,34,26,691713
0,0,201983,147,147,2,51,10,197949
0,0,232598,155,155,2,31,3,230508
1,0,52289,86,86,6,9,38,48939
0,0,796646,62,62,2,10,29,794730
0,0,762911,104,104,2,34,26,760413
0,0,1815,94,94,2,52,78,1
1,0,11460,144,144,7,71,95,9091
0,0,767496,96,96,2,10,29,766105
1,0,341160,156,156,2,86,3,338881
0,0,135805,157,157,6,28,5,132644
0,0,326955,34,34,6,10,18,323962
1,0,2735,80,80,2,60,74,246
1,0,4884,52,52,2,72,46,1753
0,0,562767,60,60,6,57,6,559651
0,0,720169,30,30,6,50,23,717008
1,0,11360,92,92,6,44,77,8184
0,0,1011,8,8,8,38,48,1
0,0,7732,66,66,6,37,71,4595
0,0,696,116,116,7,80,83,1
1,0,552643,118,118,2,28,20,550361
0,0,225838,93,93,6,33,17,222980
1,0,5115,57,57,5,37,38,2545
0,0,296392,26,26,6,51,15,293633
1,0,36371,142,142,2,58,93,34218
0,0,220362,117,117,5,10,18,217744
0,0,532553,154,154,2,6,14,531252
0,0,772874,150,150,6,81,28,769737
0,0,638513,74,74,2,42,7,636579
0,0,685611,71,71,2,30,17,683131
1,0,40751,43,43,2,66,68,38379
1,0,5438,139,139,7,71,90,3198
1,0,8449,123,123,6,75,45,5315
1,0,37772,136,136,6,61,11,34755
0,0,11809,40,40,2,77,66,9641
0,0,8362,134,134,2,89,87,5834
1,0,96112,114,114,6,13,1,92984
1,0,6579,67,67,2,8,16,5257
1,0,16287,37,37,2,12,60,13156
1,0,371763,4,4,9,39,45,371065
1,0,3141,91,91,7,32,61,982
1,0,5564,41,41,2,35,36,2433
0,0,567659,27,27,1,18,33,567123
0,0,634208,32,32,8,2,39,633441
1,0,34862,89,89,1,7,28,34431
0,0,742903,102,102,2,76,23,741965
1,0,11203,45,45,2,57,41,8075
0,0,12199,145,145,2,36,96,10430
0,0,631461,75,75,2,42,7,630235
1,0,2165,137,137,7,21,88,1
0,0,676357,31,31,2,94,23,675068
1,0,46094,77,77,5,61,37,43491
1,0,301337,23,23,2,4,5,298548
1,0,48145,3,3,4,20,30,47690
1,0,11508,109,109,5,47,81,8902
0,0,1015710,36,36,6,48,35,1014604
