Strand_Orientation,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
1,1662950,13,13,1,17,1661937
0,384182,76,76,0,7,382887
0,1957918,57,57,0,19,1956215
0,740372,23,23,0,15,739299
1,1356346,48,48,0,19,1354634
0,401051,45,45,0,6,400292
0,545819,22,22,1,15,544815
0,807440,73,73,0,13,806025
0,120630,14,14,1,3,119065
0,2350,5,5,0,25,965
1,183296,64,64,0,4,181743
1,96204,72,72,0,37,95182
1,2122182,2,2,1,19,2120788
0,434782,75,75,0,7,433358
1,373406,51,51,1,20,371496
1,276965,34,34,0,2,276033
1,2133734,55,55,0,18,2133172
0,1720929,30,30,1,17,1719919
0,190053,63,63,1,12,189334
0,432759,19,19,0,9,431323
0,428550,44,44,1,6,427162
0,406809,79,79,0,19,405529
0,423414,18,18,0,9,422794
0,488962,26,26,0,2,488378
1,603942,61,61,1,15,602953
1,649350,3,3,0,19,647746
1,1053526,27,27,0,19,1052240
0,428424,40,40,0,7,427006
0,532018,81,81,0,6,530630
0,6897,4,4,1,24,5479
0,413826,41,41,1,7,412408
1,1480218,11,11,1,19,1478512
0,1111176,70,70,1,16,1109698
0,168069,0,0,0,5,166519
0,406516,39,39,0,7,405110
1,5338,43,43,1,1,4406
0,461547,46,46,1,6,460189
1,21584,9,9,1,11,19890
0,489416,6,6,0,2,489063
0,3277,17,17,0,21,1805
1,375903,7,7,0,2,374896
0,445437,42,42,0,19,444157
1,464293,20,20,1,9,462872
1,5790,24,24,0,29,4375
1,17774,67,67,1,23,16488
0,1623870,29,29,0,17,1622425
0,1178108,71,71,0,16,1176633
0,1206373,50,50,0,19,1204937
0,915863,35,35,0,15,915636
1,10843,65,65,0,34,9875
0,2077637,31,31,0,18,2076276
1,161,66,66,0,35,3
0,4346,59,59,0,32,2898
0,411951,36,36,1,14,410611
0,1613551,56,56,1,18,1612028
1,486119,28,28,1,16,484647
1,21672,12,12,0,28,20227
1,848504,1,1,0,18,847224
1,1885991,15,15,0,19,1884423
0,229325,58,58,0,8,227910
0,42175,60,60,0,33,40730
0,1861827,33,33,0,18,1860490
1,2138530,54,54,1,18,2137184
1,6645,69,69,1,36,5179
0,401095,21,21,1,10,399644
0,440871,74,74,1,7,439477
0,129767,80,80,0,0,128835
1,1181813,53,53,0,17,1181490
0,377047,77,77,1,7,375671
1,407538,25,25,0,0,407386
0,395492,78,78,1,7,394080
0,19699,10,10,1,27,17999
0,1461,38,38,1,31,1
0,1673448,16,16,0,19,1672462
1,56906,8,8,0,26,55425
0,5370,62,62,1,22,3925
0,587224,82,82,1,6,585836
0,1876953,32,32,0,18,1875676
1,1345315,49,49,0,19,1343381
0,385849,47,47,1,6,384458
0,18574,37,37,0,30,17966
0,1142020,52,52,0,17,1140743
1,39044,68,68,0,36,37485
