Gene_Type,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,29,3818,116,71,2061,1
0,67,497232,51,1,497002,0
1,39,1362603,64,36,1360342,0
1,4,10034,10,45,9492,0
1,50,553680,110,24,551527,1
1,16,720,117,50,1,0
0,63,551749,32,18,551012,0
1,64,160581,125,12,159610,1
1,53,2942,35,58,882,1
1,3,802663,60,29,801878,0
1,69,1058918,107,34,1056777,0
1,37,1105132,105,32,1103840,1
1,46,590889,95,15,588715,1
1,59,2356776,6,38,2355799,0
1,38,5081,18,11,2874,1
1,26,82404,9,39,80149,1
1,45,3053,21,52,873,0
1,52,501852,61,33,499696,1
1,44,195717,5,7,194815,0
1,61,395040,109,24,392911,1
1,60,1166328,30,35,1164352,1
1,10,114991,84,3,114542,1
1,17,161676,77,12,160684,1
1,36,2832,54,61,619,0
1,31,26356,43,59,24182,1
1,18,603844,96,15,602780,1
1,2,18169,8,16,16115,1
1,58,508321,34,2,506186,0
1,9,29015,27,56,27780,1
1,1,646319,102,13,643902,0
1,61,346367,42,24,344166,1
1,62,2179419,99,37,2176948,1
1,50,705460,52,24,703286,0
1,38,203063,80,6,200871,0
1,20,9199,104,68,7001,1
1,13,606833,37,38,604902,0
1,68,53186,22,0,51024,0
0,48,12912,3,43,12295,0
1,3,5374,106,69,4073,1
1,50,305003,101,24,302736,0
1,55,194168,88,18,192141,0
1,17,605835,112,32,604711,1
0,47,302402,45,12,301785,1
1,46,628874,58,15,628374,1
1,13,2355697,100,38,2354525,0
1,17,141673,126,12,140918,1
1,66,38921,62,11,36609,1
0,52,356850,23,41,356083,1
1,30,879776,19,27,877512,0
1,41,229342,92,27,227192,1
1,3,6731,36,29,4560,1
1,46,628270,38,15,627785,1
0,25,875271,72,32,874933,0
1,5,53693,59,30,52560,1
1,62,2001346,66,37,1998842,0
1,41,122127,119,72,120202,0
1,67,32651,26,55,31587,1
1,55,573072,93,18,571858,0
1,2,13846,12,46,12761,0
1,19,64228,75,22,62066,1
1,49,238993,68,25,236726,1
1,39,479217,78,14,477172,0
1,59,967593,56,38,965515,1
1,29,18788,25,42,16752,1
1,37,1431,20,51,1,0
1,15,69895,4,22,67685,1
1,11,27802,123,74,25553,1
0,53,521,0,53,3,1
1,41,149082,120,72,147823,0
1,55,551317,82,19,549344,0
1,10,85717,40,3,84713,1
1,35,2356,7,44,188,0
0,14,116089,76,2,115388,1
1,20,5373,103,67,3175,0
1,55,399746,91,19,397836,0
1,18,551038,39,15,548948,0
1,41,258202,87,27,255983,1
1,54,7513,2,26,7115,1
1,39,522056,129,14,520707,0
1,56,560632,55,18,560198,0
1,48,8796,44,4,6766,1
0,18,242101,46,17,241769,0
1,61,742170,79,24,739927,0
1,22,7341,15,47,5542,1
1,62,1092022,122,37,1090076,1
1,37,656983,71,32,654773,0
1,65,29812,132,28,28472,1
1,6,24063,89,66,21859,0
0,27,569,74,63,3,1
1,17,510087,17,32,508918,0
1,24,20468,94,5,18309,1
1,29,47761,115,71,45575,0
1,59,80858,14,38,80019,1
1,42,143770,130,8,141896,0
1,28,395811,49,21,393328,0
1,6,17708,29,57,16425,1
1,34,107570,31,10,105642,1
1,7,216636,69,25,214564,1
1,23,5239,50,60,3059,1
1,51,2117,24,54,3,1
1,2,45873,85,65,43711,1
1,33,843337,65,23,841178,0
1,12,630544,13,19,630077,0
1,31,564263,33,37,562332,1
1,12,414917,90,19,412986,0
1,22,9794,121,73,7884,1
1,43,630340,41,20,629867,0
1,56,576256,1,18,575726,0
1,17,8315,11,32,7779,1
1,34,640806,111,10,638620,0
1,12,808511,73,19,806334,0
1,13,45587,118,72,43530,1
1,8,12118,53,48,9896,0
0,21,591642,57,15,591283,1
1,40,28251,114,70,27310,0
1,57,15656,48,1,13635,1
1,12,495949,81,19,493973,0
1,27,2323,67,62,1850,0
1,16,17469,86,49,15220,0
1,23,2747,83,64,2046,0
1,48,1525088,98,36,1523784,1
1,39,1220025,97,36,1218841,0
1,59,1560715,16,38,1558235,1
0,32,1157244,28,31,1157023,0
1,7,292285,128,25,290090,1
0,0,352533,108,40,352018,1
1,60,429,127,75,1,0
0,41,461012,70,10,460530,0
1,50,804175,47,24,801998,0
1,62,61722,124,37,61057,1
1,54,111044,131,9,109113,0
1,17,853635,113,32,852247,0
1,39,1428134,63,36,1426182,0
