Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,301826,242,2,0,31,299487,0
1,0,32772,95,1,1,4,29866,1
1,0,387675,28,1,1,5,385183,0
0,0,736453,79,3,0,23,733583,0
0,1,190552,80,2,0,21,188093,1
0,0,1516533,42,2,0,32,1514173,1
0,0,476728,160,2,0,15,474101,0
0,0,54199,31,2,0,58,51578,1
0,0,988200,208,2,0,23,985546,1
0,0,1062895,233,2,0,31,1060310,1
0,0,246580,86,2,0,19,243767,0
0,0,758419,45,2,0,22,756089,0
0,0,488327,204,3,0,23,485541,0
1,0,322020,236,1,1,19,319249,0
0,0,33755,25,2,0,44,30969,0
0,0,423886,67,2,0,6,421607,1
0,0,993191,43,2,0,32,990858,1
1,0,1150558,194,1,1,23,1147775,1
0,0,1152306,222,2,0,24,1149583,0
0,0,1161129,167,2,0,32,1158613,0
1,0,32977,216,1,1,85,30248,1
0,0,33431,24,2,0,55,30843,1
0,0,504459,247,2,0,12,501763,1
0,0,1757922,190,2,0,32,1755496,1
0,0,553480,175,3,0,1,550610,0
0,0,16153,29,2,0,56,13502,0
0,0,355891,244,2,0,6,353552,0
0,0,309384,108,2,0,5,306937,0
0,0,25495,51,2,0,61,22811,0
0,0,8691,197,2,0,78,6085,1
0,0,200907,150,2,0,11,198367,0
0,0,15222,213,2,0,82,12538,1
0,0,867065,114,2,0,23,864531,0
0,0,1966199,101,2,0,31,1963551,1
0,0,557682,142,2,0,15,555076,0
0,0,1024944,232,2,0,31,1022305,0
0,0,556640,254,2,0,7,553878,0
0,0,1176004,166,2,0,32,1173581,0
0,0,156435,33,3,0,19,153649,1
0,0,447956,178,2,0,24,445458,1
0,0,735391,126,2,0,31,733043,0
0,0,1102343,226,2,0,24,1099539,0
0,0,1314205,89,2,0,32,1311887,0
0,0,1034195,210,2,0,23,1031508,1
0,0,650434,38,3,0,14,647633,1
0,0,1800605,106,2,0,31,1797939,1
0,0,187941,231,2,0,5,185287,0
1,0,17633,20,1,1,53,14982,0
0,0,4209,119,2,0,69,1423,0
0,0,198843,125,2,0,5,196225,0
0,0,1065877,200,2,0,26,1063010,0
0,0,432191,133,2,0,16,429708,0
0,0,536061,258,2,0,15,533287,0
0,0,568671,174,2,0,32,566338,1
1,0,1123469,221,1,1,24,1120611,0
0,0,443238,158,2,0,15,440629,0
0,0,422008,202,2,0,17,419294,0
1,0,86749,153,1,1,3,84020,1
0,0,50888,152,2,0,20,48174,1
1,0,107074,256,1,1,2,104540,0
0,0,622377,40,2,0,31,620053,0
0,0,404953,162,2,0,15,402317,0
0,0,352788,251,2,0,18,350182,1
0,0,185153,22,2,0,27,182502,0
1,0,389747,165,1,1,15,387120,0
0,0,373899,27,2,0,5,371611,1
0,0,475012,140,2,0,7,472298,0
0,0,7162,18,2,0,51,4697,0
0,0,378614,164,2,0,15,375975,0
0,0,23290,218,2,0,50,20606,1
0,0,9867,61,2,0,63,7462,0
0,0,473501,203,3,0,23,470631,0
0,0,1713823,7,2,0,30,1711409,0
0,0,381075,237,2,0,16,378301,0
0,0,14845,48,3,0,60,11996,0
0,0,8092,214,2,0,83,5759,0
1,0,13979,199,1,1,80,11352,1
0,0,1053239,110,2,0,23,1050549,0
0,0,15062,85,2,0,66,12438,0
1,0,1100880,196,1,1,23,1098211,1
0,0,8115,173,3,0,49,5269,1
0,0,379418,171,2,0,34,376740,1
0,0,2047179,186,2,0,31,2044399,1
0,0,665447,74,3,0,23,662586,1
0,0,519004,253,2,0,7,516413,0
0,0,1324430,88,2,0,32,1322082,0
0,0,1156973,235,2,0,31,1154469,0
1,0,9580,198,1,1,79,6749,1
0,0,428427,87,3,0,20,425755,0
0,0,1096585,234,2,0,31,1093946,1
0,0,810651,170,2,0,22,808318,0
0,0,12594,151,2,0,76,9967,0
0,0,9089,217,2,0,85,6579,1
1,0,45075,122,1,1,72,42286,0
1,0,1611964,98,1,1,30,1609262,1
0,0,1828534,105,2,0,31,1825916,0
0,0,483376,94,2,0,24,480707,1
0,0,1865809,103,2,0,31,1862957,0
0,0,139709,255,2,0,1,138117,0
0,0,404584,116,2,0,22,402206,0
0,0,1731005,192,3,0,29,1728183,0
0,0,2060220,185,2,0,31,2057611,1
1,0,255561,16,1,1,23,253126,0
0,0,12158,10,2,0,43,9363,1
0,0,21771,83,2,0,64,19363,0
0,0,506933,17,3,0,23,504105,0
0,0,465591,163,2,0,15,462814,0
0,0,292921,245,2,0,6,290183,1
0,0,579976,259,2,0,15,577358,0
0,0,16377,144,2,0,74,13513,1
1,0,199898,35,1,1,19,197364,1
1,0,1633076,188,1,1,31,1630521,0
0,0,602587,41,2,0,31,600077,0
0,0,768058,76,2,0,23,765323,0
0,0,1129346,169,2,0,32,1126764,1
0,0,20976,58,2,0,46,18310,0
0,0,5331,149,2,0,75,2932,0
0,0,204433,63,2,0,14,201761,1
0,0,1825289,189,2,0,32,1822929,0
0,0,700388,14,2,0,15,697620,0
0,0,6553,118,2,0,68,4166,1
0,0,1169591,223,3,0,24,1166769,0
0,0,13678,156,2,0,3,10931,1
0,0,565683,138,2,0,6,563344,1
0,0,262330,243,2,0,6,259847,0
0,0,1251196,182,2,0,30,1248512,0
0,0,1015945,209,2,0,23,1013150,1
0,0,1147282,168,2,0,32,1144757,1
0,0,721934,75,2,0,23,719244,1
1,0,1582479,187,1,1,31,1579936,0
0,0,237391,71,2,0,9,234584,1
0,0,218715,56,2,0,17,215884,1
0,0,11062,4,2,0,39,8450,0
0,0,1570228,97,4,0,30,1568267,1
1,0,308185,66,1,1,23,306188,0
0,0,561205,46,2,0,8,558770,0
0,0,410579,134,2,0,16,407808,0
0,0,57145,57,3,0,46,54284,0
0,0,849988,206,2,0,23,847319,0
0,0,456596,15,2,0,5,453903,1
0,0,60414,227,2,0,87,57859,1
0,0,1007699,207,2,0,23,1005114,1
0,0,7898,9,2,0,42,5274,1
0,0,245264,49,2,0,0,242583,0
0,0,4732,121,2,0,71,2051,0
0,0,21506,59,2,0,62,18858,0
0,0,23129,124,3,0,73,20358,1
0,0,472189,70,2,0,18,469499,0
1,0,1014233,132,1,1,31,1011738,0
0,0,34218,60,2,0,62,31414,0
0,0,2102129,100,2,0,31,2099463,1
0,0,82609,136,3,0,19,79808,1
0,0,1317329,96,2,0,30,1314768,0
1,0,396615,252,1,1,18,394090,1
0,0,585607,81,2,0,6,583331,1
0,0,10603,6,3,0,40,7772,1
0,0,460231,147,2,0,13,457457,1
1,0,276688,211,1,1,24,274223,0
0,0,187696,249,2,0,9,185057,1
0,0,10893,90,2,0,33,8359,1
0,0,4709,30,2,0,57,2067,1
0,0,119436,257,2,0,2,116878,0
0,0,14331,230,2,0,88,11776,1
0,0,1650945,11,2,0,31,1648582,1
0,0,7054,120,2,0,70,4541,0
1,0,476059,148,1,1,5,473501,0
0,0,3590,212,2,0,82,942,1
0,0,1816759,191,2,0,32,1814429,0
0,0,2010450,107,2,0,32,2008033,1
0,0,529696,177,2,0,1,526820,1
0,0,280853,64,2,0,23,278046,0
1,0,436968,246,1,1,6,434224,0
1,0,408724,137,1,1,35,406415,1
0,0,1036042,115,2,0,25,1033382,0
0,0,25731,8,3,0,41,22858,0
0,0,35248,52,2,0,61,32438,0
0,0,2099,2,4,0,37,3,1
1,0,903444,113,1,1,23,900637,0
1,0,559805,146,1,1,13,557001,1
0,0,2171498,184,2,0,31,2169063,1
0,0,817323,78,2,0,23,814468,0
0,0,35322,193,2,0,77,32611,1
0,0,585177,205,3,0,23,582301,0
0,0,41459,219,3,0,86,38613,1
0,0,584285,176,0,0,1,581721,0
0,0,421319,161,2,0,15,418704,0
0,0,16042,109,3,0,67,13142,0
0,0,629809,111,3,0,13,627020,1
0,0,620072,44,2,0,8,617640,1
1,0,71558,154,1,1,3,69066,0
0,0,1115182,220,2,0,24,1112378,0
0,0,546370,47,2,0,8,543824,0
0,0,22835,145,2,0,74,20457,0
0,0,65602,23,2,0,54,62846,0
0,0,321121,172,2,0,32,318503,0
0,0,3099,84,2,0,65,313,1
0,0,2201057,55,2,0,32,2198634,1
1,0,1882048,102,1,1,31,1879670,0
1,0,2065088,99,1,1,31,2062416,0
0,0,8030,143,2,0,74,5538,1
0,0,54570,26,3,0,44,51787,1
0,0,12466,229,2,0,87,9926,1
0,0,1745786,12,2,0,31,1743231,0
0,0,1189938,225,2,0,24,1187140,0
0,0,596823,93,2,0,8,594229,1
0,0,565358,82,2,0,32,563163,1
0,0,935144,129,2,0,31,932427,1
0,0,7331,91,3,0,48,4482,1
0,0,167573,36,3,0,19,164778,1
0,0,191757,112,2,0,10,188965,1
0,0,344245,13,2,0,0,341906,1
0,0,205713,248,2,0,9,202903,1
0,0,546874,141,2,0,15,544250,0
0,0,1851640,104,2,0,31,1848668,0
0,0,468388,68,3,0,6,465485,0
0,0,14547,19,2,0,52,12235,0
0,0,425184,135,2,0,16,422410,0
0,0,249052,72,2,0,9,246272,1
0,0,7271,21,2,0,53,4884,0
0,0,3982,1,2,0,36,1541,0
0,0,21057,155,2,0,3,18763,1
0,0,399549,238,2,0,16,396772,0
0,0,11601,39,2,0,59,9187,0
0,0,175571,92,2,0,28,172800,1
0,0,110238,228,3,0,87,107374,0
0,0,783613,77,2,0,23,780839,0
0,0,8573,215,2,0,84,6039,1
0,0,7513,3,2,0,38,4757,1
0,0,171781,0,4,0,11,169685,1
0,0,221070,139,2,0,9,218443,1
0,0,1484951,183,3,0,30,1482129,1
0,0,880730,131,2,0,31,877992,1
0,0,12861,240,2,0,89,10087,1
0,0,763632,127,2,0,31,761305,0
1,0,1152001,181,1,1,30,1149578,1
0,0,184674,5,2,0,12,182293,0
0,0,194602,250,3,0,9,191840,1
0,0,2180588,54,2,0,32,2178147,1
0,0,17047,37,2,0,45,14579,1
0,0,256062,180,2,0,5,253732,0
