Gene_Type,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,28,3818,117,70,2061,1
0,67,497232,49,1,497002,0
1,38,1220025,97,36,1218841,0
1,34,2356,7,44,188,0
1,49,553680,111,24,551527,1
1,16,17469,86,49,15220,0
0,63,551749,31,18,551012,0
1,64,160581,125,12,159610,1
1,53,2942,33,57,882,1
1,3,802663,58,29,801878,0
1,52,501852,59,33,499696,1
1,36,1105132,106,32,1103840,1
1,44,590889,95,15,588715,1
1,13,2355697,99,38,2354525,0
1,37,5081,19,11,2874,1
1,59,2356776,6,38,2355799,0
1,36,1431,21,51,1,0
1,17,1193345,105,32,1191366,0
1,43,195717,5,7,194815,0
1,61,395040,110,24,392911,1
1,69,1058918,108,34,1056777,0
1,10,114991,84,3,114542,1
1,17,161676,77,12,160684,1
1,35,2832,52,60,619,0
1,30,26356,41,58,24182,1
1,18,603844,96,15,602780,1
1,2,18169,8,16,16115,1
1,58,508321,32,2,506186,0
1,9,29015,27,55,27780,1
1,1,646319,102,13,643902,0
1,61,346367,40,24,344166,1
1,62,2001346,64,37,1998842,0
1,49,705460,50,24,703286,0
1,37,203063,80,6,200871,0
1,20,9199,104,67,7001,1
1,59,80858,14,38,80019,1
1,68,53186,22,0,51024,0
1,28,18788,25,42,16752,1
1,3,5374,107,68,4073,1
1,49,305003,100,24,302736,0
1,55,194168,88,18,192141,0
1,17,605835,113,32,604711,1
0,45,302402,43,12,301785,1
1,44,628874,56,15,628374,1
1,59,1560715,16,38,1558235,1
1,17,141673,126,12,140918,1
1,66,38921,60,11,36609,1
0,0,352533,109,40,352018,1
1,29,879776,20,27,877512,0
1,40,229342,92,27,227192,1
1,3,6731,34,29,4560,1
1,44,628270,36,15,627785,1
0,25,875271,70,32,874933,0
1,5,53693,57,30,52560,1
1,62,1092022,122,37,1090076,1
1,40,122127,119,71,120202,0
1,67,32651,26,54,31587,1
1,55,573072,93,18,571858,0
1,4,10034,9,45,9492,0
1,19,64228,74,22,62066,1
1,48,238993,66,25,236726,1
1,38,479217,78,14,477172,0
1,13,606833,35,38,604902,0
0,52,356850,23,41,356083,1
1,49,6331,18,50,3935,0
1,15,69895,4,22,67685,1
1,11,27802,123,73,25553,1
0,53,521,0,52,3,1
1,40,149082,120,71,147823,0
1,55,551317,82,19,549344,0
1,10,85717,38,3,84713,1
0,46,12912,3,43,12295,0
0,14,116089,75,2,115388,1
1,20,5373,103,66,3175,0
1,55,399746,91,19,397836,0
1,18,551038,37,15,548948,0
1,40,258202,87,27,255983,1
1,54,7513,2,26,7115,1
1,38,522056,129,14,520707,0
1,56,560632,53,18,560198,0
1,46,8796,42,4,6766,1
0,18,242101,44,17,241769,0
1,61,742170,79,24,739927,0
1,2,13846,12,46,12761,0
1,62,886828,76,37,884852,1
1,36,656983,69,32,654773,0
1,65,29812,132,28,28472,1
1,6,24063,89,65,21859,0
0,26,569,73,62,3,1
1,17,510087,17,32,508918,0
1,24,20468,94,5,18309,1
1,28,47761,116,70,45575,0
1,62,2179419,98,37,2176948,1
1,41,143770,130,8,141896,0
1,27,395811,47,21,393328,0
1,6,17708,29,56,16425,1
1,33,107570,30,10,105642,1
1,7,216636,67,25,214564,1
1,23,5239,48,59,3059,1
1,50,2117,24,53,3,1
1,2,45873,85,64,43711,1
1,32,843337,63,23,841178,0
1,12,630544,13,19,630077,0
1,62,61722,124,37,61057,1
1,12,414917,90,19,412986,0
1,22,9794,121,72,7884,1
1,42,630340,39,20,629867,0
1,56,576256,1,18,575726,0
1,17,8315,11,32,7779,1
1,33,640806,112,10,638620,0
1,12,808511,72,19,806334,0
1,13,45587,118,71,43530,1
1,22,7341,15,47,5542,1
0,21,591642,55,15,591283,1
1,39,28251,115,69,27310,0
1,57,15656,46,1,13635,1
1,12,495949,81,19,493973,0
1,26,2323,65,61,1850,0
1,8,12118,51,48,9896,0
1,23,2747,83,63,2046,0
1,38,1428134,62,36,1426182,0
1,51,2001160,71,35,1999253,0
1,59,967593,54,38,965515,1
0,31,1157244,28,31,1157023,0
1,7,292285,128,25,290090,1
1,27,131468,101,39,129252,1
1,60,429,127,74,1,0
0,40,461012,68,10,460530,0
1,49,804175,45,24,801998,0
1,46,1718373,10,36,1716442,0
1,54,111044,131,9,109113,0
1,17,853635,114,32,852247,0
1,47,1375094,61,36,1372983,1
