Gene_Type,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,55,1160395,347,22,1159709,0
1,155,18293,404,95,17649,0
0,24,7200,134,45,6637,0
0,99,55025,359,83,54438,0
0,95,1464254,88,28,1463646,0
0,14,494817,202,23,494134,1
0,62,2016292,329,27,2015537,0
0,90,9057,388,90,8128,0
0,129,4555,132,64,3962,0
0,57,683253,98,28,682675,0
1,111,844685,368,22,844098,0
1,37,112468,401,94,111971,0
0,138,4870,340,78,4217,0
0,129,2682,263,76,1954,0
0,141,163066,7,8,162521,1
0,159,1955674,332,28,1955171,0
0,95,756041,99,28,755460,1
0,75,1368555,309,28,1367977,1
0,28,1487064,92,28,1486369,1
1,120,44362,300,15,43754,1
0,5,265007,257,23,264339,0
0,7,128464,416,14,128075,0
0,57,1921473,108,28,1920904,1
0,98,458814,352,17,458125,0
0,46,316703,371,16,316059,0
0,41,548591,225,19,548190,0
0,75,1604078,116,28,1603452,0
0,76,85370,61,58,84681,0
0,43,17407,260,74,16820,0
0,166,1033564,297,18,1032920,0
1,41,1738968,27,27,1738420,0
0,89,6677,379,86,6162,1
0,156,278070,221,3,277438,1
0,57,1731530,336,28,1730895,0
0,111,477620,205,6,476973,0
0,88,567879,381,20,567310,0
0,43,10321,126,61,9749,0
0,95,1686468,112,28,1685914,0
0,43,7629,229,70,6979,0
0,103,1645,356,83,1004,0
0,149,376974,55,3,376393,1
1,116,807869,24,27,807330,1
0,127,426818,136,4,426186,1
0,43,39701,52,57,39237,1
0,14,307213,258,23,306524,0
0,125,782,46,54,129,1
0,57,1132814,317,28,1132212,1
0,63,36247,72,15,35642,1
0,31,170789,68,14,170208,1
0,121,717564,269,27,716974,1
0,57,1637787,114,28,1637185,1
0,149,487905,169,3,487330,0
1,65,628319,183,13,627354,1
0,95,1932015,107,28,1931470,0
0,71,2027,39,52,1341,0
0,57,1743790,335,28,1743146,0
0,65,515441,206,6,514617,0
0,151,1118634,319,28,1117975,1
1,9,347837,17,3,347313,0
0,156,250738,323,3,250097,0
0,165,1579,2,34,1004,1
0,113,570400,76,7,569783,0
0,162,552848,144,22,552180,1
0,129,52129,264,76,51491,0
1,31,19103,380,86,18480,1
0,38,4829,256,73,4128,0
0,6,599763,232,10,598996,1
0,26,436400,11,16,435816,0
0,34,1148872,410,27,1148204,0
0,82,339516,224,3,338926,0
0,84,1581481,214,26,1580900,1
0,168,1081012,406,27,1080440,1
0,20,15668,344,79,15015,0
0,149,6518,303,1,5874,1
0,47,33001,19,14,32291,1
1,144,504309,428,4,503911,1
0,77,668902,148,22,668282,1
0,148,1995197,216,27,1994529,0
0,142,216763,322,3,216122,0
1,107,588625,156,4,587969,1
0,64,416038,383,31,415541,0
1,79,463493,101,0,462885,1
0,152,14001,394,92,13402,1
1,55,385637,20,22,384969,0
0,92,602338,320,6,601643,1
0,87,1845,389,91,1489,1
0,25,375081,122,12,374536,1
0,27,1473130,87,28,1472456,0
0,48,1134002,408,27,1133424,1
