Entity_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1174010,188,188,2,43,1168695,0
0,7476,1,0,2,60,127,0
0,609988,155,155,1,10,605538,1
1,1168419,160,160,3,50,1158055,1
0,1169344,40,40,1,44,1158920,0
1,18759,149,149,3,106,8548,1
0,52109,57,57,1,5,41772,1
0,18044,36,36,1,30,13358,1
0,424181,138,138,1,10,413739,0
0,225503,222,222,1,8,215040,0
0,940675,88,88,1,50,930293,1
0,330111,107,107,1,15,322282,0
0,458221,51,51,1,10,447770,1
0,328819,65,65,1,30,318764,0
0,18045,173,173,1,109,7588,0
0,83617,100,100,1,27,73238,1
1,743366,12,12,3,28,733188,0
1,723117,129,129,3,33,714922,0
1,796435,42,42,3,32,786038,0
1,296067,108,108,3,33,288610,0
0,5595,7,7,2,63,1,1
0,818767,118,118,1,29,810066,0
0,573981,156,156,1,10,563530,0
0,390898,218,218,1,34,380639,1
0,6832,25,25,2,75,2,1
0,46065,190,190,1,38,35644,1
0,842551,211,211,1,35,832124,0
0,63253,174,174,1,110,52823,1
0,78813,196,196,1,52,72588,1
0,149649,113,113,2,23,143326,0
0,816094,67,67,1,33,805796,0
1,11516,31,31,3,78,2172,0
0,26884,62,62,1,16,16478,1
0,22907,2,1,2,51,17262,1
0,5929,148,148,1,70,3,0
0,193120,183,183,2,23,183374,0
0,9732,191,191,1,115,1,0
0,970184,184,184,1,46,959784,1
0,213628,99,99,1,53,203258,0
1,647211,114,114,3,46,636820,0
0,138304,215,215,1,13,127910,1
0,13701,150,150,1,107,3220,1
0,328850,46,46,1,29,318795,0
0,6482,4,4,2,62,3,0
0,2345195,165,165,1,52,2334792,0
1,24168,110,110,3,97,13795,0
0,459416,63,63,1,34,449073,1
0,3034,90,90,2,94,2,0
0,252973,111,111,1,34,245186,1
0,62951,93,93,1,54,52593,1
0,347060,219,219,2,34,339083,1
0,45907,205,205,2,51,38978,1
0,141214,130,130,1,27,130814,1
1,789447,212,212,3,35,779023,0
0,475972,77,77,2,2,470489,0
0,409474,179,179,1,33,399029,1
0,47512,123,123,1,29,39092,1
0,802151,13,13,1,51,791817,1
0,33876,199,199,1,120,23431,0
0,1717944,170,170,2,49,1709332,1
0,745319,39,39,1,32,734937,0
0,891588,19,19,1,37,881293,0
1,934030,201,201,3,49,926063,1
0,127475,171,171,1,55,117093,1
0,13163,66,66,1,86,2601,0
0,31191,119,119,1,35,20812,1
0,7954,192,192,2,116,2,0
0,229560,213,213,1,28,219184,1
0,571102,14,14,1,39,563645,0
0,69531,217,217,1,13,59128,1
0,5243,69,69,1,87,2,0
0,5956,21,21,1,74,733,0
1,12411,133,133,3,101,1858,1
0,7614,0,2,0,61,1030,1
0,54831,125,125,1,52,44338,1
0,2370774,163,163,1,51,2360422,0
0,40663,197,197,1,119,30197,1
0,24830,101,101,1,27,14646,1
1,79790,207,207,3,51,69342,1
0,64484,127,127,2,30,55971,1
1,127990,147,147,3,54,117557,1
0,32850,186,186,1,9,28143,1
0,207695,53,53,1,15,204667,0
0,36235,216,216,1,13,25871,1
0,11492,32,32,1,79,5925,1
1,1233807,177,177,3,46,1224493,1
0,30892,74,74,1,22,20468,0
0,54812,6,6,1,32,50482,1
0,311779,48,48,1,52,306168,0
0,53674,203,203,1,59,43286,1
0,21015,76,76,1,18,14486,1
0,5481,153,153,2,108,1,0
1,9243,23,23,3,66,3028,1
0,89016,116,116,1,42,78604,1
1,574518,141,141,3,12,565420,0
1,27113,193,193,3,117,16665,1
0,71128,81,81,1,45,60752,1
0,347622,84,84,1,51,337195,0
0,65194,22,22,1,0,54806,0
0,6388,121,121,1,99,323,1
0,243214,167,167,1,33,232769,0
0,42086,37,37,1,82,31758,0
0,11147,33,33,2,80,4143,0
0,22103,169,169,1,33,14689,1
0,239506,159,159,2,15,231410,0
1,217558,3,3,3,25,208664,0
0,1049310,60,60,1,48,1038856,0
0,8611,115,115,1,69,3,0
0,62219,38,38,1,82,51870,0
0,11755,17,17,1,73,1460,0
0,586972,45,45,1,8,576509,0
0,88568,198,198,1,119,78117,1
1,13525,106,106,3,96,3143,0
0,623676,89,89,1,12,613279,0
0,11537,175,175,1,111,1098,1
0,505288,11,11,1,4,494840,0
0,780586,126,126,1,36,770171,0
0,158064,214,214,1,13,147781,1
0,12312,195,195,2,52,7990,1
0,1352921,105,105,1,50,1342479,0
0,353296,96,96,2,52,348857,1
0,13465,34,34,1,81,4539,0
0,1147531,122,122,1,43,1137248,0
1,595061,49,49,3,25,584655,0
0,1048694,137,137,1,41,1038261,0
1,214744,9,9,3,38,206012,1
0,3341,189,189,2,114,3,0
0,5467,73,73,2,90,2,0
0,225073,35,35,1,27,217409,1
