Gene_Type,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,30,3818,117,69,2061,0,1
0,67,497232,53,1,497002,4,0
1,40,1362603,66,34,1360342,0,0
1,3,10034,9,43,9492,0,0
1,51,705460,54,23,703286,0,0
1,16,720,118,48,1,0,0
1,57,560632,57,17,560198,0,0
1,17,161676,78,12,160684,0,1
1,54,2942,37,56,882,0,1
1,4,53693,61,28,52560,0,1
1,69,1058918,108,32,1056777,0,0
1,17,1193345,105,30,1191366,0,0
0,21,591642,59,15,591283,4,1
1,60,2356776,5,36,2355799,0,0
1,66,38921,64,11,36609,0,1
1,27,82404,8,37,80149,0,1
1,46,3053,22,50,873,0,0
1,53,501852,63,31,499696,0,1
1,45,195717,4,7,194815,0,0
1,62,454212,111,23,451945,0,1
1,61,1166328,33,33,1164352,0,1
1,10,114991,84,3,114542,0,1
0,48,302402,48,12,301785,4,1
1,37,2832,56,59,619,0,0
1,32,26356,45,57,24182,0,1
1,47,628270,40,15,627785,0,1
1,22,60797,32,16,58671,0,1
1,59,508321,36,2,506186,0,0
1,9,29015,29,54,27780,0,1
1,40,479217,79,14,477172,0,0
1,62,395040,110,23,392911,0,1
1,63,2179419,100,35,2176948,0,1
1,62,742170,80,23,739927,0,0
1,39,203063,81,6,200871,0,0
1,20,9199,104,66,7001,0,1
1,13,606833,39,36,604902,0,0
1,68,53186,23,0,51024,0,0
0,49,12912,2,41,12295,1,0
1,2,5374,107,67,4073,0,1
1,62,346367,44,23,344166,0,1
0,64,551749,34,17,551012,4,0
1,38,656983,73,30,654773,0,0
0,20,81636,76,13,81217,4,1
1,1,18169,7,16,16115,0,1
1,13,2355697,101,36,2354525,0,0
1,65,160581,126,12,159610,0,1
0,4,610706,91,11,610452,4,0
0,53,356850,24,39,356083,4,1
1,1,246323,70,26,244452,0,1
1,42,258202,88,25,255983,0,1
1,2,802663,62,27,801878,0,0
1,47,628874,60,15,628374,0,1
1,38,1105132,106,30,1103840,0,1
0,33,1157244,30,29,1157023,3,0
1,63,2001346,68,35,1998842,0,0
1,42,122127,120,70,120202,0,0
1,67,32651,28,53,31587,0,1
1,57,576256,1,17,575726,0,0
1,1,13846,11,44,12761,0,0
1,15,69895,3,21,67685,0,1
1,6,292285,128,24,290090,0,1
1,40,522056,129,14,520707,0,0
1,60,967593,58,36,965515,0,1
1,30,18788,27,40,16752,0,1
1,38,1431,21,49,1,0,0
1,34,843337,67,22,841178,0,0
1,11,27802,124,72,25553,0,1
0,54,521,0,51,3,4,1
1,42,149082,121,70,147823,0,0
1,12,630544,12,18,630077,0,0
1,10,85717,42,3,84713,0,1
1,36,2356,6,42,188,0,0
0,14,116089,77,2,115388,4,1
1,20,5373,103,65,3175,0,0
1,12,414917,92,18,412986,0,0
1,47,590889,96,15,588715,0,1
1,31,879776,20,25,877512,0,0
1,42,16562,25,25,16113,0,1
1,18,551038,41,15,548948,0,0
1,56,573072,94,17,571858,0,0
1,49,8796,47,4,6766,0,1
1,56,194168,89,17,192141,0,0
1,51,804175,49,23,801998,0,0
1,23,7341,15,45,5542,0,1
1,63,1092022,123,35,1090076,0,1
1,17,853635,114,30,852247,0,0
1,2,6731,38,27,4560,0,1
1,5,24063,90,64,21859,0,0
0,28,569,75,61,3,4,1
1,17,605835,113,30,604711,0,1
1,25,20468,95,5,18309,0,1
1,30,47761,116,69,45575,0,0
1,60,80858,13,36,80019,0,1
1,43,143770,130,8,141896,0,0
1,19,40865,17,21,38190,0,1
1,5,17708,31,55,16425,0,1
0,8,393868,87,10,393167,4,0
1,50,238993,71,24,236726,0,1
1,24,5239,52,58,3059,0,1
1,52,2117,26,52,3,0,1
1,1,45873,85,63,43711,0,1
1,51,305003,102,23,302736,0,0
1,56,724179,14,18,722086,0,0
1,32,564263,35,35,562332,0,1
1,12,487684,132,18,485708,0,0
1,23,9794,122,71,7884,0,1
1,29,395811,51,20,393328,0,0
1,56,399746,93,18,397836,0,0
1,17,510087,18,30,508918,0,0
1,39,5081,19,11,2874,0,1
1,44,630340,43,19,629867,0,0
1,13,45587,119,70,43530,0,1
1,7,12118,55,46,9896,0,0
1,18,603844,97,15,602780,0,1
1,41,28251,115,68,27310,0,0
1,58,15656,50,1,13635,0,1
1,56,551317,82,18,549344,0,0
1,28,2323,69,60,1850,0,0
1,16,17469,86,47,15220,0,0
1,24,2747,83,62,2046,0,0
1,49,1525088,99,34,1523784,0,1
1,40,1220025,98,34,1218841,0,0
1,60,1560715,16,36,1558235,0,1
1,17,8315,10,30,7779,0,1
1,6,415880,46,24,413892,0,0
0,0,352533,109,38,352018,4,1
1,61,429,127,73,1,0,0
1,35,640806,112,10,638620,0,0
1,6,216636,72,24,214564,0,1
1,63,61722,125,35,61057,0,1
1,55,111044,131,9,109113,0,0
0,26,875271,74,30,874933,2,0
1,40,1428134,65,34,1426182,0,0
