Gene_Type,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,29,3818,116,71,2061,0,1
0,69,497232,49,1,497002,4,0
1,39,1220025,97,36,1218841,0,0
1,4,10034,10,45,9492,0,0
1,51,553680,110,24,551527,0,1
1,16,720,117,50,1,0,0
0,65,551749,31,18,551012,4,0
1,66,160581,125,12,159610,0,1
1,55,2942,33,58,882,0,1
1,3,802663,58,29,801878,0,0
1,54,501852,59,33,499696,0,1
1,37,1105132,105,32,1103840,0,1
1,46,590889,95,15,588715,0,1
1,61,2356776,6,38,2355799,0,0
1,38,5081,18,11,2874,0,1
1,26,82404,9,39,80149,0,1
1,45,3053,21,52,873,0,0
1,17,1193345,104,32,1191366,0,0
1,44,195717,5,7,194815,0,0
1,63,395040,109,24,392911,0,1
1,71,1058918,107,34,1056777,0,0
1,10,114991,84,3,114542,0,1
1,17,161676,77,12,160684,0,1
1,36,2832,52,61,619,0,0
1,31,26356,41,59,24182,0,1
1,18,603844,96,15,602780,0,1
1,2,18169,8,16,16115,0,1
1,60,508321,32,2,506186,0,0
1,9,29015,27,56,27780,0,1
1,1,646319,101,13,643902,0,0
1,63,346367,40,24,344166,0,1
1,64,2001346,64,37,1998842,0,0
1,51,705460,50,24,703286,0,0
1,38,203063,80,6,200871,0,0
1,20,9199,103,68,7001,0,1
1,13,606833,35,38,604902,0,0
1,70,53186,22,0,51024,0,0
0,48,12912,3,43,12295,1,0
1,3,5374,106,69,4073,0,1
1,51,305003,100,24,302736,0,0
1,57,194168,88,18,192141,0,0
1,17,605835,112,32,604711,0,1
0,47,302402,43,12,301785,4,1
1,46,628874,56,15,628374,0,1
1,13,2355697,99,38,2354525,0,0
1,17,141673,126,12,140918,0,1
1,68,38921,60,11,36609,0,1
0,54,356850,23,41,356083,4,1
1,30,879776,19,27,877512,0,0
1,41,229342,92,27,227192,0,1
1,3,6731,34,29,4560,0,1
1,46,628270,36,15,627785,0,1
0,25,875271,70,32,874933,2,0
1,5,53693,57,30,52560,0,1
1,64,1092022,122,37,1090076,0,1
1,41,122127,119,72,120202,0,0
1,69,32651,26,55,31587,0,1
1,57,573072,93,18,571858,0,0
1,2,13846,13,46,12761,0,0
1,19,64228,74,22,62066,0,1
1,50,238993,66,25,236726,0,1
1,39,479217,78,14,477172,0,0
1,61,967593,54,38,965515,0,1
1,29,18788,25,42,16752,0,1
1,37,1431,20,51,1,0,0
1,15,69895,4,22,67685,0,1
1,11,27802,123,74,25553,0,1
0,55,521,0,53,3,4,1
1,41,149082,120,72,147823,0,0
1,57,551317,82,19,549344,0,0
1,10,85717,38,3,84713,0,1
1,35,2356,7,44,188,0,0
0,14,116089,75,2,115388,4,1
1,20,5373,102,67,3175,0,0
1,57,399746,91,19,397836,0,0
1,18,551038,37,15,548948,0,0
1,41,258202,87,27,255983,0,1
1,56,7513,2,26,7115,0,1
1,39,522056,129,14,520707,0,0
1,58,560632,53,18,560198,0,0
1,48,8796,42,4,6766,0,1
0,18,242101,44,17,241769,3,0
1,63,742170,79,24,739927,0,0
1,22,7341,15,47,5542,0,1
1,64,886828,76,37,884852,0,1
1,37,656983,69,32,654773,0,0
1,67,29812,132,28,28472,0,1
1,6,24063,89,66,21859,0,0
0,27,569,73,63,3,4,1
1,17,510087,17,32,508918,0,0
1,24,20468,94,5,18309,0,1
1,29,47761,115,71,45575,0,0
1,64,2179419,98,37,2176948,0,1
1,42,143770,130,8,141896,0,0
1,28,395811,47,21,393328,0,0
1,6,17708,29,57,16425,0,1
1,34,107570,30,10,105642,0,1
1,7,216636,67,25,214564,0,1
1,23,5239,48,60,3059,0,1
1,52,2117,24,54,3,0,1
1,2,45873,85,65,43711,0,1
1,33,843337,63,23,841178,0,0
1,12,630544,14,19,630077,0,0
1,64,61722,124,37,61057,0,1
1,12,414917,90,19,412986,0,0
1,22,9794,121,73,7884,0,1
1,43,630340,39,20,629867,0,0
1,58,576256,1,18,575726,0,0
1,17,8315,12,32,7779,0,1
1,34,640806,111,10,638620,0,0
1,12,808511,72,19,806334,0,0
1,13,45587,118,72,43530,0,1
1,8,12118,51,48,9896,0,0
0,21,591642,55,15,591283,4,1
1,40,28251,114,70,27310,0,0
1,59,15656,46,1,13635,0,1
1,12,495949,81,19,493973,0,0
1,27,2323,65,62,1850,0,0
1,16,17469,86,49,15220,0,0
1,23,2747,83,64,2046,0,0
1,39,1428134,62,36,1426182,0,0
1,53,2001160,71,35,1999253,0,0
1,61,1560715,16,38,1558235,0,1
0,32,1157244,28,31,1157023,3,0
1,7,292285,128,25,290090,0,1
0,0,352533,108,40,352018,4,1
1,62,429,127,75,1,0,0
0,41,461012,68,10,460530,3,0
1,51,804175,45,24,801998,0,0
1,48,1718373,11,36,1716442,0,0
1,56,111044,131,9,109113,0,0
1,17,853635,113,32,852247,0,0
1,49,1375094,61,36,1372983,0,1
