Gene_Type,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,493953,86,2,14,493609,0
1,9446,80,2,39,7647,0
0,5255,72,3,20,2763,0
0,287968,35,0,14,286817,0
1,2113129,4,2,18,2112008,1
1,339503,95,2,5,338613,1
1,524283,28,2,6,523744,0
1,446968,56,2,18,445976,0
1,389254,83,2,10,388238,1
0,415,76,3,38,74,0
1,34900,82,2,41,34403,0
0,1568049,33,3,18,1567459,1
1,806760,69,2,12,805210,0
1,752839,23,2,18,752246,1
1,1050401,91,2,17,1050087,1
0,434997,7,0,4,434554,1
1,796791,66,2,13,795304,0
1,57693,62,2,11,56791,1
1,1786875,47,2,17,1786159,1
1,776048,25,2,12,775092,0
1,155295,89,2,42,154171,0
0,14817,15,4,26,14209,0
1,74492,20,2,3,73803,0
1,1037381,92,2,17,1036476,1
1,1751697,6,1,17,1751281,0
1,318778,36,2,14,318386,0
1,1078009,0,2,14,1077569,1
1,994934,12,2,13,993237,0
0,556441,27,0,6,555500,0
1,1575106,48,2,17,1574483,0
1,810033,65,2,13,808633,0
1,1226536,43,2,18,1225625,1
0,292232,49,0,4,291777,0
1,520133,87,2,14,519183,1
0,579,45,4,32,1,1
1,1605890,78,2,17,1605162,0
1,1285729,42,2,18,1284860,1
1,767190,26,2,12,766081,0
1,145136,58,2,7,143469,1
0,6256,13,3,24,4343,1
1,3678,41,2,30,1996,1
0,415202,8,0,4,414870,0
1,456990,38,2,5,456034,0
1,26464,54,2,34,24623,1
0,43740,63,0,2,43105,0
0,623355,24,0,6,622414,1
1,310242,37,2,14,309811,0
0,409340,94,0,18,408633,0
0,14261,88,3,21,11517,1
0,69017,90,5,4,68592,1
1,1643722,31,2,18,1642802,1
1,84542,19,2,28,84111,1
0,2665,11,3,23,1541,1
1,1180888,77,2,16,1179752,1
0,309976,52,3,15,309383,0
0,598,59,4,35,2,1
0,876723,51,0,14,875551,0
1,1445532,21,2,18,1444765,1
1,829655,3,2,17,828978,1
1,1493,81,2,40,471,1
1,1115404,68,2,18,1114712,1
1,2418,10,2,22,715,1
1,447558,85,2,14,447142,1
0,1735953,71,0,16,1735636,0
1,1067748,79,2,14,1067248,0
0,2026309,9,0,18,2025506,1
1,483,18,2,28,1,1
0,1735532,70,3,16,1734645,0
1,647282,5,2,18,646296,1
1,787501,67,2,13,786539,0
0,18905,61,3,37,17574,1
1,703062,64,2,17,702091,0
1,1021876,55,2,17,1021316,0
1,3924,60,2,36,2239,1
1,302448,34,2,14,301999,0
1,796821,74,2,12,795886,0
1,15756,44,2,31,14755,1
1,232541,29,2,0,231249,0
0,459577,75,3,15,458618,0
0,747945,57,3,9,745645,0
1,156954,97,2,1,155782,0
1,479784,84,2,10,478387,1
0,12112,17,0,27,11726,0
0,3821,14,3,25,1521,1
1,1680779,32,2,18,1680060,0
0,11816,46,3,33,9516,1
1,571767,73,2,18,570709,1
1,1658775,30,2,18,1658077,1
1,1430208,22,2,18,1429318,0
1,1217,96,2,43,24,0
1,75990,1,2,8,74263,1
0,828817,2,0,17,828224,1
1,408301,93,2,18,407363,0
1,1000,40,2,29,2,0
0,457660,39,0,5,457121,0
1,2307,50,2,19,1621,1
1,322283,53,2,15,321357,0
0,11716,16,0,27,11321,0
