Gene_Type,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1037760,370,4,22,1037092,1
1,18293,404,3,95,17649,0
0,1236,126,4,44,691,0
0,55025,360,4,83,54438,0
0,1457890,90,4,28,1457246,0
0,487260,205,4,23,486679,1
0,1995197,222,4,27,1994529,0
0,9057,388,4,90,8128,0
0,4555,134,4,64,3962,0
0,622513,28,4,28,621803,0
0,807166,155,4,22,806492,1
1,112468,401,1,94,111971,0
0,4870,342,4,78,4217,0
0,2682,269,4,76,1954,0
0,163066,9,4,8,162521,1
0,1943209,10,4,28,1942577,0
0,735451,96,4,28,734867,0
0,1357417,313,4,28,1356881,1
0,1481322,93,4,28,1480762,1
0,36247,73,4,15,35642,1
0,1187163,348,4,22,1186465,0
0,120884,36,2,14,120498,0
0,1894275,111,4,28,1893637,1
0,438865,353,4,17,438233,0
0,308712,371,4,16,308044,0
0,1033564,302,4,18,1032920,0
0,1578872,120,4,28,1578312,0
0,85370,62,4,58,84681,0
0,17407,266,4,74,16820,0
0,497483,127,4,17,496893,0
0,1707996,30,4,27,1707370,1
0,6677,380,4,86,6162,1
0,278070,227,4,3,277438,1
0,1686468,112,4,28,1685914,0
0,477620,210,4,6,476973,0
0,565167,383,2,20,564760,0
0,10321,128,4,61,9749,0
0,1685667,117,0,28,1685527,0
0,7629,235,4,70,6979,0
0,1645,357,4,83,1004,0
0,376974,57,4,3,376393,1
0,767988,276,4,27,767290,0
0,426818,140,4,4,426186,1
0,7249,55,4,57,6641,0
0,265007,264,4,23,264339,0
0,28027,46,4,53,27344,0
0,1118634,322,4,28,1117975,1
0,30799,74,4,15,30158,1
0,159847,68,4,14,159101,1
0,694973,310,4,27,694383,0
0,1610144,115,4,28,1609563,0
0,487905,172,4,3,487330,0
1,356421,430,3,13,355831,1
0,1921473,108,4,28,1920904,1
0,10499,40,2,51,10110,1
0,1739252,338,4,28,1738602,0
0,515441,211,4,6,514617,0
0,1109679,319,4,28,1109041,1
1,347837,19,3,3,347313,0
0,250738,326,4,3,250097,0
0,4939,8,4,33,4241,1
0,570400,76,4,7,569783,0
1,544317,149,1,22,543658,0
0,52129,270,4,76,51491,0
1,19103,381,3,86,18480,1
0,4829,263,4,73,4128,0
0,599763,238,4,10,598996,1
0,430625,13,4,16,430509,0
0,1142859,409,4,27,1142287,1
0,339516,230,4,3,338926,0
0,1413348,214,4,26,1412725,1
0,1066542,405,4,27,1065931,1
0,15668,346,4,79,15015,0
0,6518,307,4,1,5874,1
0,26110,309,4,14,25487,1
1,504309,428,3,4,503911,1
0,610947,368,4,22,610288,1
0,1935320,221,4,27,1934724,0
0,216763,325,4,3,216122,0
1,588625,160,3,4,587969,1
0,412598,286,4,30,411981,1
1,463493,101,3,0,462885,1
0,14001,394,4,92,13402,1
0,276224,139,4,22,275592,0
0,602338,323,4,6,601643,1
0,1845,389,2,91,1489,1
0,314714,123,4,12,314181,0
0,1464254,89,4,28,1463646,0
0,1100102,407,4,27,1099440,1
0,444695,33,4,3,444042,0
0,42175,386,4,88,41594,0
0,9261,130,4,62,8539,0
0,382637,59,4,3,382086,0
0,35038,306,4,1,34388,1
0,410050,253,4,16,409331,0
1,13194,351,3,81,12661,1
0,641578,83,4,11,640880,1
0,320021,423,4,4,319437,1
0,70385,303,4,15,69732,0
0,2893,384,4,87,2228,0
0,36160,21,4,14,35462,1
1,628319,187,3,13,627354,1
1,978860,281,1,27,978390,0
0,288480,177,4,17,287506,0
0,331967,156,4,16,331098,0
0,467996,366,4,22,467418,0
0,1344856,202,4,21,1344239,0
0,340144,413,4,14,339536,0
0,218124,169,4,17,217234,0
0,11303,52,4,56,10641,1
0,12594,201,4,47,11959,1
0,789660,154,4,22,789061,1
0,855201,25,4,27,854569,1
0,873,6,4,35,262,1
0,16035,344,4,78,15472,0
0,301818,284,4,14,301183,1
0,281,11,5,36,3,1
0,578960,77,4,7,578253,0
0,1665163,31,4,27,1664528,0
0,538452,148,4,22,537880,1
0,278450,249,4,16,277617,0
0,473006,259,4,16,472107,0
0,16573,168,4,66,15977,0
1,15631,124,1,43,14972,0
0,2130876,105,4,28,2130250,1
0,750998,204,4,16,750414,0
0,497850,299,4,10,497083,1
0,653543,84,4,11,652923,1
0,698962,97,4,28,698387,1
0,350824,414,2,14,350453,1
0,584282,135,4,10,583626,1
0,425782,144,2,14,425384,0
0,1183104,328,4,26,1182499,0
0,160801,403,4,94,160181,0
1,10872,104,3,60,10210,0
0,393310,287,4,30,392783,0
0,514088,298,4,10,513441,1
0,667099,5,4,10,666332,1
0,244449,293,4,16,243556,0
0,223254,294,4,16,222562,0
0,260483,179,4,17,259935,0
0,1069989,197,4,28,1069351,0
0,198335,44,4,10,197730,1
0,1235855,190,2,28,1235211,1
0,1109266,398,4,23,1108595,0
0,6197,387,4,89,5628,0
0,38888,79,4,14,38181,1
0,2159962,329,4,27,2159390,0
0,1411596,23,4,28,1410949,0
0,2152710,106,4,28,2152117,1
0,22912,60,2,58,22523,0
0,2442,290,4,48,1612,1
0,673589,188,4,27,672981,1
1,1671935,119,3,28,1671336,0
0,11230,375,4,49,10535,0
0,1875155,224,4,27,1874526,0
0,311313,422,4,4,310645,1
0,274287,175,4,14,273715,1
0,433446,209,4,23,432955,0
0,36542,385,4,88,35961,1
0,541203,103,4,6,540331,0
0,375081,122,4,12,374536,1
0,1134002,408,4,27,1133424,1
0,1473130,88,4,28,1472456,0
1,1261581,327,3,26,1260970,0
0,1121,3,4,32,531,0
0,405277,143,4,14,404699,0
0,1581481,219,4,26,1580900,1
0,1049,289,4,48,204,1
0,327963,424,4,4,327337,1
0,1392058,311,4,28,1391459,0
0,253089,180,4,17,252442,0
0,897457,278,4,27,896894,0
0,358436,283,2,14,358038,1
0,782,48,4,54,129,1
0,371048,282,4,14,370350,1
0,1932015,107,4,28,1931470,0
0,7470,274,4,77,6853,1
0,76266,285,4,14,75574,1
0,16265,14,4,37,15666,1
0,605996,244,4,10,605367,1
0,332148,411,4,14,331510,0
1,844685,369,3,22,844098,0
0,1790185,225,4,27,1789544,1
0,617680,239,4,10,617066,1
0,17055,50,4,56,16375,0
0,1591262,333,4,27,1590720,0
0,31626,358,4,83,31012,0
0,67780,415,4,14,67067,0
0,425359,254,4,16,424565,0
0,281837,181,4,17,281250,0
0,1169771,349,4,22,1169145,0
0,1192370,318,4,28,1191744,1
0,18926,390,4,92,18276,0
0,2103139,226,4,28,2102468,1
0,1094415,321,4,28,1093786,1
0,59685,51,4,56,58891,0
0,395098,43,4,28,394403,1
0,128464,416,2,14,128075,0
0,1132814,320,4,28,1132212,1
1,385637,22,3,22,384969,0
0,1348,170,4,67,512,1
0,567879,382,2,20,567310,0
0,190891,67,4,14,190256,1
0,3660,199,4,68,3085,1
0,756041,99,4,28,755460,1
0,1653046,113,4,28,1652444,1
0,7200,137,4,45,6637,0
0,17644,350,4,80,17072,0
0,388432,198,2,29,388043,1
0,1001979,95,4,28,1001410,0
0,1611491,332,4,27,1610868,0
0,6125,12,4,36,5631,1
0,1806636,339,4,28,1806064,0
0,1150552,317,4,28,1149983,1
0,377041,364,4,12,376496,1
0,389569,255,4,16,388676,0
0,1212108,314,4,28,1211533,0
0,1793869,335,4,28,1793264,1
0,1559,53,4,57,987,1
0,421453,417,4,28,420860,0
0,410649,145,2,14,410251,0
1,2936,1,3,31,2637,1
1,690105,151,3,22,689434,0
0,7534,345,2,79,7151,0
0,8892,377,4,50,8245,0
0,237931,291,4,16,237338,0
0,615493,18,4,28,614912,0
0,253619,173,4,14,252897,0
0,244194,183,4,17,243160,0
0,1176204,399,4,23,1175530,0
0,668902,152,4,22,668282,1
0,22995,308,2,14,22609,1
0,47042,80,4,14,46335,1
0,6670,233,4,69,6140,1
0,462219,365,4,22,461563,1
0,1079,129,2,62,750,0
1,1773473,336,3,28,1772775,1
0,1368555,312,4,28,1367977,1
0,170789,69,4,14,170208,1
1,44727,395,3,93,44119,1
0,917604,279,4,27,916954,0
0,7294,267,4,75,6638,0
0,9111,133,2,63,8734,0
0,633393,82,4,11,632488,1
1,1947,16,3,39,1330,1
0,1604078,116,4,28,1603452,0
0,219644,72,4,14,218985,1
0,1579,4,4,34,1004,1
0,462632,142,4,4,462006,0
0,1707,379,4,85,1054,0
0,555039,78,4,7,554104,0
1,891600,277,1,27,891058,1
0,522983,297,4,10,522417,1
0,897652,246,4,22,897068,0
0,445439,136,4,16,444747,0
0,5761,376,4,50,5141,0
0,407298,186,4,15,406639,0
0,95645,65,4,2,95094,1
0,296809,421,4,4,296102,1
0,438791,34,4,3,438168,1
0,296422,250,4,16,295724,0
0,311595,412,2,14,311224,1
0,39701,54,4,57,39237,1
1,22510,56,3,42,21845,0
0,262228,39,4,22,261515,0
0,603114,243,4,10,602248,1
0,610905,159,4,4,610333,0
1,862102,247,3,22,861431,0
0,8700,17,4,40,8095,0
0,1439745,91,4,28,1439215,1
0,9539,200,4,47,8904,1
0,367683,157,4,16,367096,0
0,11825,47,4,53,11139,0
0,406686,141,4,4,406078,0
0,32545,268,4,76,31979,0
0,2027,41,4,52,1341,0
0,465000,355,4,17,464038,0
1,874302,280,3,27,873739,1
0,1522297,87,4,28,1521722,0
0,456160,324,4,23,455483,0
1,28680,131,3,63,27985,0
0,478938,102,4,0,478315,0
0,494817,206,4,23,494134,1
0,21792,347,4,79,21193,0
0,649380,242,4,10,648745,1
1,499409,367,3,22,498789,0
0,21840,236,4,71,21079,0
0,551183,232,2,19,550740,0
0,53116,397,5,93,52718,0
0,302673,251,4,16,302005,0
0,633183,240,2,10,632827,1
0,1148872,410,4,27,1148204,0
0,548259,146,2,20,547909,0
0,627298,100,4,6,626603,1
0,555039,429,4,4,554545,1
0,269583,420,4,4,268954,0
0,1587490,216,4,26,1586741,0
0,1038285,194,4,28,1037734,1
0,266589,178,4,17,265723,0
0,21892,341,4,78,21179,0
0,400683,58,4,3,400036,1
0,1863,45,4,53,1279,0
0,564291,150,4,22,563632,1
0,1722444,340,4,25,1721857,1
0,1850809,110,4,28,1850192,1
0,1081012,406,4,27,1080440,1
0,217404,24,4,16,216745,0
0,2115566,27,4,28,2114982,1
0,5418,237,4,71,4696,1
0,266951,176,4,14,266226,0
0,643220,203,4,6,642618,0
0,238595,174,4,14,237978,1
0,174019,66,4,14,173294,1
0,33533,391,4,92,32910,1
0,66227,305,4,1,65685,0
0,1032696,195,4,28,1032121,1
0,1279824,191,4,28,1279111,1
0,549268,75,4,7,548651,0
1,1738968,29,3,27,1738420,0
0,110877,158,5,2,110344,1
1,44362,304,3,15,43754,1
0,375323,426,4,4,374682,1
0,1871216,109,4,28,1870641,0
0,48963,359,4,83,48349,0
0,63431,64,4,59,62859,0
0,559332,147,2,20,558976,0
0,21243,15,4,38,20602,1
1,807869,26,3,27,807330,1
0,17246,272,4,76,16593,0
0,11667,265,4,74,10975,1
0,1182146,316,4,28,1181541,1
0,777907,153,4,22,777242,0
0,474095,356,4,17,473496,0
0,548591,231,2,19,548190,0
