Strand_Orientation,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description
1,0,24,38827,224,1,25,35924,3
0,0,184,4679,182,1,134,1893,3
0,0,13,308397,302,1,58,305485,3
0,0,68,825842,310,1,40,823350,3
0,0,138,502030,130,0,0,499289,0
1,0,96,79193,78,1,3,76656,3
0,0,141,2449,0,1,152,11,3
1,0,140,7010,290,0,148,4233,0
1,0,165,66235,246,0,41,64469,0
1,0,26,21822,317,1,13,18838,3
1,0,82,3014,95,1,66,228,3
1,0,5,77950,17,0,24,74987,0
1,0,4,510295,140,1,27,507728,3
0,0,68,847503,311,1,40,845194,3
0,0,91,6673,231,1,139,3815,3
1,0,9,181574,314,1,30,180063,3
0,0,36,625252,227,1,28,622190,3
1,0,120,981807,276,1,52,979324,3
1,0,136,16715,185,1,46,14439,3
1,0,153,2940,211,1,136,73,3
0,0,19,8383,218,0,137,7271,0
1,0,183,17724,292,0,59,14986,1
0,0,173,13435,270,1,144,10745,3
1,0,162,86361,187,0,15,83876,0
0,0,4,225780,79,1,27,223900,3
0,0,4,578138,99,1,27,576360,3
0,0,27,504140,266,1,2,500865,3
0,0,26,636457,212,1,13,635763,3
0,0,1,847195,163,1,35,845501,3
0,0,167,492362,27,1,1,490971,3
0,0,45,236472,222,1,3,233641,3
0,0,137,779582,202,0,31,776703,0
0,0,109,7188,124,1,121,4384,3
1,0,110,8831,110,1,119,6234,3
0,0,50,650247,101,0,27,648161,0
0,0,107,984,304,1,151,31,3
1,0,106,1094,23,1,75,159,3
0,0,132,24358,271,0,144,21590,0
1,0,89,1225,53,0,79,1,0
0,0,123,628999,142,1,12,626735,3
1,0,11,13990,115,1,16,11384,3
1,0,133,28068,65,1,67,25282,3
1,0,66,3158,253,1,93,408,3
0,0,131,2351295,263,1,58,2348338,3
0,0,29,9939,57,0,102,8926,0
1,0,23,65081,84,0,25,62292,0
1,0,14,9052,245,1,142,7148,3
0,2,179,805554,313,0,40,804478,0
0,0,93,782600,203,0,31,781197,0
0,0,85,3790,209,1,89,806,3
1,0,13,1721524,41,1,58,1718519,3
0,0,154,2010044,11,0,56,2009265,2
0,0,24,794113,241,0,33,793295,1
0,0,13,1008775,188,1,58,1006142,3
1,0,165,56433,247,0,41,54619,1
0,0,90,654938,251,1,27,652152,3
0,0,177,1032018,50,1,44,1029001,3
0,0,39,1140600,195,0,46,1138639,0
0,0,174,411506,59,1,33,408474,3
0,0,155,1137976,136,0,57,1133828,0
0,0,83,1204,126,0,87,2,0
1,0,108,8397,15,0,9,5578,0
0,0,7,764760,201,0,31,762982,0
1,0,146,976,20,1,74,2,3
1,0,104,587182,272,1,37,584897,3
0,0,6,3258,40,1,77,436,3
1,0,180,6116,58,1,103,4224,3
0,0,12,606712,236,0,12,603989,0
1,0,72,21218,240,1,26,18921,3
1,0,135,2501,83,0,38,102,1
1,0,158,7457,213,1,41,4911,3
0,0,53,490870,46,0,1,489493,0
1,0,170,4777,18,1,70,2027,3
1,0,75,26225,205,0,65,24447,0
1,0,73,22430,44,1,34,19944,3
1,0,161,15107,261,1,2,12237,3
1,0,166,41742,307,1,44,39727,3
0,0,127,663320,257,0,24,660522,0
1,0,24,58458,114,0,16,55432,0
0,0,17,486237,24,1,47,483109,3
1,0,13,644271,98,1,58,641242,3
1,0,137,16574,221,1,138,14088,3
0,0,156,3713,282,0,97,2106,1
1,0,13,44770,25,1,50,42977,3
0,0,2,3597,233,0,140,1834,0
0,0,102,5794,135,1,123,3014,3
0,1,0,655728,168,0,18,653962,0
1,0,132,33262,308,0,44,31331,0
0,0,54,791878,121,0,37,790079,0
0,0,174,760085,242,1,33,757590,3
0,0,78,169312,67,0,55,166550,0
0,0,177,130785,104,1,20,128263,3
1,0,76,122539,189,1,14,120197,3
0,0,118,594892,225,0,28,591674,0
0,0,52,571445,197,0,21,567813,0
0,0,112,690966,178,1,32,687994,3
0,0,28,9553,113,1,85,7784,3
0,0,74,582823,21,1,21,581135,3
1,0,154,1917064,173,0,56,1914173,0
1,0,76,25743,229,1,14,24748,3
1,0,107,71114,194,1,4,69705,3
0,0,119,103187,323,0,9,101616,1
0,0,60,702008,179,0,32,700188,0
0,0,15,585311,226,1,28,582390,3
0,0,84,2350211,167,1,59,2347587,3
1,0,128,491613,133,1,41,488857,3
1,0,18,12191,230,1,14,9909,3
1,0,114,1182,92,1,115,1,3
1,0,121,59561,139,1,50,57681,3
1,0,154,14595,66,0,67,12280,0
0,0,46,9360,254,1,94,6577,3
1,0,10,14953,301,1,53,12005,3
1,0,81,29749,161,1,29,26915,3
0,0,174,430057,184,1,33,427406,3
0,0,56,14455,90,1,113,11690,3
1,0,161,30562,277,0,18,28739,1
0,0,2,4524,239,0,141,2574,0
1,0,58,4216,132,0,47,1460,0
0,0,85,19758,183,0,135,17038,0
1,0,98,47207,81,0,112,45534,0
1,0,163,36437,102,0,117,35517,0
1,0,37,5595,69,1,107,2761,3
0,0,134,912033,73,1,41,909235,3
0,0,70,2693,279,1,96,396,3
1,0,106,4036,64,0,67,1289,0
1,0,57,93761,72,1,65,90201,3
0,0,58,11733,74,1,82,9154,3
0,0,43,706189,14,1,29,704129,3
0,0,148,120500,322,0,9,118605,0
1,0,161,26060,258,1,2,23298,3
0,0,115,351197,216,1,62,348939,3
1,0,154,8589,29,0,42,6541,0
0,0,65,1385359,153,0,52,1383590,0
0,0,8,688837,88,1,26,685982,3
1,0,165,54516,94,0,41,53479,0
1,0,25,1739,12,0,72,3,1
0,0,128,201879,298,0,61,200095,0
0,0,84,1320804,150,1,59,1318300,3
0,0,90,628364,100,1,27,625434,3
0,0,160,3779,181,0,133,1517,0
1,0,15,64637,149,0,65,62859,0
0,0,51,4799,269,1,144,2103,3
0,0,107,7313,234,1,140,4734,3
1,0,150,19476,159,0,128,17815,0
0,0,175,7957,141,1,126,5381,3
0,0,21,829858,119,1,37,827087,3
0,0,131,2120212,105,1,58,2117660,3
0,0,99,411543,243,1,31,408877,3
0,0,1,848494,162,1,35,847454,3
1,0,169,8756,144,1,45,5919,3
1,0,16,169188,306,0,44,166855,0
0,0,176,16396,293,1,149,13598,3
0,0,80,492103,129,1,0,489575,3
1,0,159,3892,45,0,54,599,0
0,0,38,427483,286,0,46,425420,0
0,0,90,570499,250,1,27,567725,3
1,0,181,3857,103,1,118,1095,3
1,0,124,924785,235,1,57,922281,3
0,0,107,245943,62,1,4,244298,3
1,0,36,556405,238,1,28,554000,3
0,0,63,9141,219,0,137,8410,0
0,0,154,873816,171,1,52,871123,3
0,0,174,14712,220,1,91,11650,3
0,0,149,2360044,13,1,59,2358530,3
1,0,168,11256,252,1,92,8914,3
0,0,130,7825,91,1,114,5795,3
1,0,137,9869,54,0,58,8244,0
1,0,81,96498,207,1,29,94816,3
1,0,111,83774,186,1,15,82602,3
0,0,38,1981,296,0,99,2,0
0,0,139,483389,320,1,5,481422,3
1,0,178,85945,309,0,16,83153,0
0,0,66,21702,60,0,104,18811,0
1,0,62,22871,4,0,25,21810,0
1,0,60,5339,52,1,101,2904,3
0,0,106,728090,36,0,30,725151,0
1,0,88,3210,22,1,73,616,3
0,0,119,258722,217,0,9,256827,0
1,0,49,10587,180,0,132,8119,0
1,0,26,145152,315,1,13,142906,3
0,0,103,572075,299,1,17,569139,3
1,0,124,58311,297,1,57,56848,3
1,0,47,33122,280,1,42,30594,3
0,0,21,690828,273,1,37,688522,3
1,0,136,45706,259,0,2,43370,0
0,0,12,588116,3,1,8,586977,3
1,0,142,4613,117,0,5,1626,0
1,0,182,12865,288,0,39,9965,0
1,0,112,4342,82,1,32,1385,3
0,0,171,15683,255,1,95,12888,3
0,0,118,378832,38,1,63,376718,3
1,0,134,25602,134,0,51,22921,0
0,0,95,563158,321,0,21,560651,0
0,0,67,467624,170,0,11,464685,0
0,0,156,2020967,176,1,56,2018517,3
0,0,158,4567,56,0,80,1604,0
0,0,28,24449,112,1,85,21516,3
1,0,128,33240,55,1,41,30436,3
1,0,42,197559,192,1,9,195199,3
1,0,33,955,155,0,88,2,1
0,0,117,447897,284,0,46,446350,1
1,0,15,61849,47,0,65,60071,0
0,0,131,1824669,165,1,58,1821786,3
1,0,114,21022,63,1,105,18272,3
0,0,80,517997,131,1,0,514713,3
0,0,131,2028531,265,1,58,2025571,3
1,0,8,4543,137,1,124,1706,3
0,0,92,16034,125,1,24,13233,3
1,0,144,1133115,268,1,52,1130755,3
1,0,55,1973,1,0,154,3,1
0,0,34,1174681,76,1,48,1172813,3
1,0,105,3158,6,0,40,342,0
0,0,144,648458,160,1,22,645735,3
1,0,64,31215,300,0,68,30121,1
