Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,86,301826,242,242,0,31,299487
1,115,32772,96,96,1,4,29866
0,101,387675,28,28,1,5,385183
0,70,736453,79,79,0,23,733583
1,50,190552,80,80,0,21,188093
1,60,1516533,42,42,0,32,1514173
0,104,476728,160,160,0,15,474101
1,45,54199,31,31,0,58,51578
1,34,988200,208,208,0,23,985546
1,82,1062895,233,233,0,31,1060310
0,6,246580,87,87,0,19,243767
0,21,758419,45,45,0,22,756089
0,22,488327,204,204,0,23,485541
0,90,322020,236,236,1,19,319249
0,54,33755,25,25,0,44,30969
1,115,423886,67,67,0,6,421607
1,60,993191,43,43,0,32,990858
1,85,1150558,194,194,1,23,1147775
0,114,1152306,222,222,0,24,1149583
0,110,1161129,167,167,0,32,1158613
1,113,32977,216,216,1,85,30248
1,95,33431,24,24,0,55,30843
1,109,504459,247,247,0,12,501763
1,33,1757922,190,190,0,32,1755496
0,64,553480,175,175,0,1,550610
0,45,16153,29,29,0,56,13502
0,115,355891,244,244,0,6,353552
0,120,309384,109,109,0,5,306937
0,95,25495,51,51,0,61,22811
1,29,8691,197,197,0,78,6085
0,48,200907,150,150,0,11,198367
1,8,15222,213,213,0,82,12538
0,70,867065,115,115,0,23,864531
1,39,1966199,102,102,0,31,1963551
0,104,557682,142,142,0,15,555076
0,82,1024944,232,232,0,31,1022305
0,94,556640,254,254,0,7,553878
0,102,1176004,166,166,0,32,1173581
1,82,156435,33,33,0,19,153649
1,63,447956,178,178,0,24,445458
0,72,735391,126,126,0,31,733043
0,76,1102343,226,226,0,24,1099539
0,110,1314205,90,90,0,32,1311887
1,5,1034195,210,210,0,23,1031508
1,37,650434,38,38,0,14,647633
1,72,1800605,107,107,0,31,1797939
1,46,125132,81,81,0,4,122370
0,63,17633,20,20,1,53,14982
0,66,4209,120,120,0,69,1423
0,36,187941,231,231,0,5,185287
0,108,1065877,200,200,0,26,1063010
0,17,432191,133,133,0,16,429708
0,84,536061,258,258,0,15,533287
1,2,568671,174,174,0,32,566338
0,91,1123469,221,221,1,24,1120611
0,103,443238,158,158,0,15,440629
0,32,422008,202,202,0,17,419294
1,67,86749,153,153,1,3,84020
1,51,50888,152,152,0,20,48174
0,71,107074,256,256,1,2,104540
0,10,622377,40,40,0,31,620053
0,84,404953,162,162,0,15,402317
1,108,352788,251,251,0,18,350182
0,129,185153,22,22,0,27,182502
0,127,389747,165,165,1,15,387120
1,26,373899,27,27,0,5,371611
0,112,475012,140,140,0,7,472298
0,45,7162,18,18,0,51,4697
0,84,378614,164,164,0,15,375975
1,72,23290,218,218,0,50,20606
0,95,9867,61,61,0,63,7462
0,121,473501,203,203,0,23,470631
0,83,1713823,7,7,0,30,1711409
0,17,381075,237,237,0,16,378301
0,50,14845,48,48,0,60,11996
0,43,8092,214,214,0,83,5759
1,0,13979,199,199,1,80,11352
0,3,1053239,111,111,0,23,1050549
0,45,15062,86,86,0,66,12438
1,38,1100880,196,196,1,23,1098211
1,44,8115,173,173,0,49,5269
1,51,379418,171,171,0,34,376740
1,78,2047179,186,186,0,31,2044399
1,22,665447,74,74,0,23,662586
0,73,519004,253,253,0,7,516413
0,60,1324430,89,89,0,32,1322082
0,30,1156973,235,235,0,31,1154469
1,37,9580,198,198,1,79,6749
0,81,428427,88,88,0,20,425755
1,98,1096585,234,234,0,31,1093946
0,123,810651,170,170,0,22,808318
0,45,12594,151,151,0,76,9967
1,23,9089,217,217,0,85,6579
0,25,45075,123,123,1,72,42286
1,80,1611964,99,99,1,30,1609262
