Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Id,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position
1,0,12909,144,144,112,10807
0,0,6110,102,101,100,3849
0,0,457048,92,91,9,454787
0,0,478833,231,231,6,476677
0,0,16869,153,153,115,14662
0,0,552888,219,219,15,550654
0,0,835809,99,98,28,833647
1,0,3770,52,51,88,732
1,0,828777,111,110,47,827212
1,0,9061,57,56,73,6806
0,0,2776,156,156,116,509
1,0,76342,180,180,33,73994
1,0,7765,31,30,42,5519
1,0,3747,25,24,71,1363
0,1,692573,72,71,19,690150
1,0,27924,8,7,17,26149
0,0,754574,176,176,26,752403
0,0,1178466,118,118,43,1176085
1,0,53359,117,117,39,52601
1,0,96434,222,222,5,94266
1,0,45480,198,198,121,43330
0,0,604953,83,82,20,602554
0,0,5633,14,13,61,4134
0,0,813661,183,183,37,811541
1,0,4215,74,73,19,1969
0,0,480713,40,39,4,478230
1,0,114439,10,9,3,112868
0,0,14957,66,65,75,12933
0,0,356577,109,108,52,354673
0,0,45278,103,102,18,42840
1,0,50723,122,122,105,48507
0,0,562476,174,174,10,560179
1,0,56175,87,86,5,53914
1,0,1621,67,66,94,2
1,0,4679,116,116,39,2307
1,0,11646,125,125,106,9286
0,0,487264,97,96,17,485114
1,0,47037,178,178,119,44773
0,0,371476,173,173,18,369323
0,0,477337,12,11,9,476408
1,0,828692,196,196,48,827244
0,0,909033,35,34,39,906619
0,0,1062,4,3,70,1
1,0,441740,95,94,29,439797
1,0,81519,13,12,5,79698
1,0,65232,218,218,51,62692
0,0,707127,50,49,23,704929
1,0,76316,30,29,51,74154
0,0,777368,224,224,31,775140
1,0,3230,129,129,22,921
1,0,2056,51,50,87,2
0,0,4947,48,47,85,2638
1,0,372955,230,230,29,370655
0,0,2326647,18,17,53,2325364
1,0,11060,143,143,31,8994
1,0,4184,235,235,35,1923
1,0,59089,43,42,56,56687
1,0,113111,169,169,15,111105
1,0,79561,119,119,56,77369
0,0,1451239,130,130,51,1449053
0,0,1009290,47,46,38,1006993
1,0,170211,124,124,49,168412
1,0,4516,55,54,90,3179
0,0,611448,113,113,10,610807
1,0,5046,161,161,117,2860
0,0,1375691,121,121,45,1373202
1,0,4025,167,167,16,1761
1,0,2650,26,25,34,386
0,0,689616,84,83,53,687517
1,0,335828,157,157,29,333633
0,0,1204656,199,199,45,1202680
1,0,7012,7,6,31,5501
1,0,2096,147,147,113,747
0,0,1138,6,5,107,2
1,0,8253,105,104,41,6340
0,0,1189025,190,190,51,1186812
0,0,496899,104,103,1,495853
1,0,15153,208,208,30,12949
0,0,1039862,79,78,37,1037046
1,0,20107,71,70,50,17801
0,0,799420,225,225,31,796943
1,0,391932,9,8,58,389746
0,0,3932,164,164,118,1401
0,0,914046,65,64,33,913312
0,0,244454,160,160,19,243822
0,0,394758,21,20,9,393970
0,0,574603,171,171,21,572120
1,0,4883,44,43,82,2628
0,0,252998,133,133,28,250869
0,0,2976,166,166,77,781
0,0,1159648,145,145,41,1157084
1,0,7454,54,53,89,5259
1,0,654471,78,77,52,652312
0,0,2907,38,37,72,667
1,0,4593,2,1,17,2230
1,0,1705791,91,90,53,1703299
0,0,598394,170,170,21,596190
0,0,2152,11,10,60,38
0,0,507624,193,193,3,505363
0,0,459000,175,175,10,456733
0,0,123424,232,232,8,121439
0,0,805063,181,181,38,803291
1,0,3147,45,44,83,535
0,0,7548,56,55,91,5362
0,0,11573,112,111,103,9210
1,0,81116,5,4,13,80040
0,0,703891,75,74,23,701787
1,0,351915,202,202,57,350539
1,0,6111,24,23,68,4843
1,0,299939,227,227,11,297915
1,0,115059,162,162,22,112891
1,0,1036,16,15,63,2
0,0,763015,85,84,37,760970
0,0,547726,136,136,7,545198
