Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Id,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position
0,0,1713823,11,11,28,1711409
1,0,32772,102,102,4,29866
1,0,373899,33,33,5,371611
1,0,721934,80,80,23,719244
0,0,428427,92,92,20,425755
0,0,1324430,94,94,30,1322082
0,0,465591,162,162,15,462814
1,0,11536,37,37,56,9554
1,0,952113,119,119,23,949273
0,0,1024944,233,233,29,1022305
1,0,199898,40,40,19,197364
0,0,404584,121,121,21,402206
0,0,473501,202,202,23,470631
0,0,246580,91,91,19,243767
1,0,6135,20,20,41,3451
0,0,355891,244,244,6,353552
0,0,602339,49,49,30,600009
1,0,1100880,194,194,23,1098211
0,0,1123469,221,221,24,1120611
1,0,1147282,168,168,30,1144757
1,0,32977,216,216,82,30248
0,0,65602,29,29,52,62846
0,0,184674,8,8,12,182293
1,0,1516533,47,47,30,1514173
0,0,553480,173,173,1,550610
1,0,33431,30,30,53,30843
1,0,292921,245,245,6,290183
0,0,256062,178,178,5,253732
1,0,2776,54,54,59,113
1,0,8691,195,195,75,6085
1,0,180436,213,213,11,177890
1,0,15222,212,212,79,12538
0,0,849988,205,205,23,847319
1,0,1919214,108,108,29,1916677
0,0,546874,144,144,15,544250
0,0,1014233,137,137,29,1011738
0,0,519004,251,251,7,516413
0,0,1161129,167,167,30,1158613
1,0,82609,140,140,19,79808
0,0,316755,122,122,24,314314
0,0,622377,45,45,29,620053
1,0,483376,101,101,24,480707
0,0,1176004,166,166,30,1173581
1,0,1015945,209,209,23,1013150
1,0,204433,68,68,14,201761
0,0,1745786,15,15,29,1743231
1,0,125132,86,86,4,122370
0,0,7271,27,27,51,4884
1,0,6553,123,123,66,4166
0,0,187941,232,232,5,185287
0,0,1035713,63,63,25,1032837
0,0,425184,138,138,16,422410
0,0,513629,257,257,15,510834
1,0,565358,88,88,30,563163
0,0,1115182,220,220,24,1112378
0,0,432436,159,159,15,429818
1,0,218715,60,60,17,215884
1,0,86749,153,153,3,84020
0,0,396102,75,75,19,393418
0,0,107074,254,254,2,104540
0,0,602587,46,46,29,600077
0,0,389747,164,164,15,387120
0,0,422008,200,200,17,419294
0,0,1065877,198,198,25,1063010
0,0,378614,163,163,15,375975
0,0,309384,113,113,5,306937
1,0,585607,87,87,6,583331
1,0,23290,218,218,48,20606
1,0,650434,44,44,14,647633
1,0,8115,172,172,47,5269
0,0,34218,65,65,60,31414
1,0,442799,201,201,23,439932
1,0,1695278,10,10,28,1692543
0,0,700388,17,17,15,697620
1,0,18963,48,48,57,16273
0,0,8092,214,214,80,5759
1,0,13979,197,197,77,11352
0,0,1045611,208,208,23,1042786
0,0,2542,90,90,63,2
0,0,1061168,115,115,23,1059124
1,0,7331,97,97,46,4482
1,0,10893,96,96,31,8359
1,0,1966199,107,107,29,1963551
0,0,585177,204,204,23,582301
0,0,475012,143,143,7,472298
0,0,1314205,95,95,30,1311887
1,0,1096585,235,235,29,1093946
1,0,9580,196,196,76,6749
1,0,50888,152,152,20,48174
1,0,1062895,234,234,29,1060310
0,0,758419,50,50,21,756089
0,0,12594,151,151,73,9967
1,0,9089,217,217,82,6579
0,0,23046,127,127,70,20260
1,0,1578209,104,104,28,1575672
0,0,1818146,112,112,29,1815771
0,0,466038,176,176,24,463714
0,0,1851640,110,110,29,1848668
0,0,139709,253,253,1,138117
0,0,290907,120,120,21,288478
1,0,1171520,43,43,27,1169280
1,0,2047179,184,184,29,2044399
0,0,800723,165,165,22,798375
1,0,7898,13,13,40,5274
0,0,9867,66,66,61,7462
0,0,488327,203,203,23,485541
0,0,454333,158,158,15,451748
0,0,262330,243,243,6,259847
0,0,568854,259,259,15,566233
1,0,8030,145,145,72,5538
1,0,180486,39,39,19,177754
0,0,1596686,185,185,29,1594209
0,0,301826,242,242,29,299487
0,0,736453,84,84,23,733583
0,0,1006971,2,2,30,1005142
1,0,34183,42,42,43,31349
0,0,22835,147,147,72,20457
1,0,629809,116,116,13,627020
0,0,1816759,189,189,30,1814429
0,0,590672,258,258,15,588504
0,0,16042,114,114,65,13142
0,0,1152306,222,222,24,1149583
1,0,13678,156,156,3,10931
0,0,468388,73,73,6,465485
0,0,476059,150,150,5,473501
1,0,1152001,179,179,28,1149578
1,0,1007699,206,206,23,1005114
1,0,1129346,169,169,30,1126764
0,0,696919,78,78,23,694046
0,0,1156973,236,236,29,1154469
1,0,221070,142,142,9,218443
0,0,463778,85,85,16,460986
1,0,7513,6,6,36,4757
1,0,1553361,181,181,28,1550629
0,0,280853,69,69,23,278046
0,0,546370,51,51,8,543824
0,0,399549,238,238,16,396772
0,0,20976,62,62,44,18310
0,0,817323,83,83,23,814468
0,0,408107,19,19,5,405750
1,0,60414,227,227,84,57859
1,0,988200,207,207,23,985546
0,0,25731,12,12,39,22858
0,0,245264,53,53,0,242583
0,0,7054,125,125,68,4541
0,0,35248,56,56,59,32438
0,0,45075,128,128,70,42286
0,0,428401,74,74,18,425663
1,0,950785,135,135,29,948302
0,0,21506,64,64,60,18858
0,0,2065088,105,105,29,2062416
0,0,15093,157,157,19,12226
0,0,1251196,180,180,28,1248512
1,0,352788,249,249,18,350182
1,0,565683,141,141,6,563344
0,0,11062,7,7,37,8450
1,0,212927,0,0,13,211077
0,0,1200167,193,193,23,1197396
0,0,652210,100,100,8,649424
1,0,2201057,59,59,30,2198634
0,0,16153,34,34,54,13502
0,0,119436,255,255,2,116878
1,0,14331,230,230,85,11776
0,0,1633076,186,186,29,1630521
1,0,9383,124,124,67,6849
1,0,456596,18,18,5,453903
1,0,3590,211,211,79,942
1,0,1757922,188,188,30,1755496
0,0,1984371,187,187,30,1981915
1,0,529696,175,175,1,526820
0,0,272153,70,70,23,269451
1,0,423886,71,71,6,421607
1,0,379418,170,170,32,376740
0,0,1189938,225,225,24,1187140
1,0,10603,9,9,38,7772
0,0,25495,55,55,59,22811
0,0,3982,4,4,34,1541
0,0,867065,118,118,23,864531
1,0,460231,149,149,13,457457
0,0,2113696,57,57,29,2111357
0,0,783613,82,82,23,780839
1,0,35322,191,191,74,32611
0,0,506933,23,23,23,504105
1,0,41459,219,219,83,38613
0,0,584285,174,174,1,581721
0,0,404953,161,161,15,402317
0,0,3012,93,93,64,175
1,0,574686,148,148,13,571897
1,0,596823,99,99,8,594229
0,0,71558,154,154,3,69066
0,0,1102343,226,226,24,1099539
0,0,556640,252,252,7,553878
1,0,16377,146,146,72,13513
0,0,17633,26,26,51,14982
1,0,2171498,182,182,29,2169063
0,0,21771,89,89,62,19363
1,0,2180588,58,58,30,2178147
0,0,1865809,109,109,29,1862957
1,0,2060220,183,183,29,2057611
1,0,23129,129,129,71,20358
0,0,33755,31,31,42,30969
1,0,12466,229,229,84,9926
1,0,1650945,14,14,29,1648582
0,0,1181628,224,224,24,1179322
1,0,580806,98,98,8,578836
0,0,321121,171,171,30,318503
1,0,880730,136,136,29,877992
0,0,37975,67,67,45,35192
1,0,156435,38,38,19,153649
1,0,249052,77,77,9,246272
1,0,344245,16,16,0,341906
1,0,194602,248,248,9,191840
0,0,536061,256,256,15,533287
0,0,1828534,111,111,29,1825916
1,0,450835,72,72,6,448496
0,0,7162,24,24,49,4697
0,0,417885,139,139,16,415123
1,0,237391,76,76,9,234584
0,0,14547,25,25,50,12235
1,0,1983,1,1,33,1
1,0,21057,155,155,3,18763
0,0,388287,239,239,16,385492
0,0,69594,36,36,56,66700
0,0,185153,28,28,26,182502
0,0,110238,228,228,84,107374
0,0,768058,81,81,23,765323
1,0,8573,215,215,81,6039
1,0,2099,5,5,35,3
1,0,191757,117,117,10,188965
1,0,205713,246,246,9,202903
1,0,1409461,103,103,28,1406588
1,0,775880,133,133,29,773208
1,0,12861,240,240,86,10087
0,0,735391,131,131,29,733043
0,0,1731005,190,190,27,1728183
0,0,171302,231,231,12,169443
1,0,187696,247,247,9,185057
1,0,2050620,21,21,30,2048281
1,0,54570,32,32,42,51787
0,0,222070,177,177,5,219359
0,0,1169591,223,223,24,1166769
0,0,14845,52,52,58,11996
1,0,935144,134,134,29,932427
0,0,4732,126,126,69,2051
0,0,63923,61,61,44,61338
0,0,42017,199,199,78,39222
1,0,1150558,192,192,23,1147775
1,0,665447,79,79,23,662586
0,0,276688,210,210,24,274223
1,0,396615,250,250,18,394090
0,0,381075,237,237,16,378301
1,0,2102129,106,106,29,2099463
0,0,255561,22,22,23,253126
1,0,22052,241,241,87,19278
0,0,198843,130,130,5,196225
0,0,763632,132,132,29,761305
0,0,421319,160,160,15,418704
1,0,167573,41,41,19,164778
1,0,4709,35,35,55,2067
1,0,597333,3,3,18,595705
