Gene_Subclass,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
0,123,5471,136,136,0,110,3207,1,1
0,123,5583,97,98,0,99,3223,1,0
1,41,457048,88,89,1,9,454787,0,0
0,138,478833,231,231,0,6,476677,1,0
1,137,2336,147,147,1,113,3,0,1
1,50,552888,219,219,1,15,550654,0,0
0,97,835809,95,96,0,28,833647,1,0
0,123,4603,49,50,0,87,2336,1,0
1,11,1069200,209,209,1,45,1067095,0,0
0,95,2907,36,37,0,71,667,1,0
0,42,2776,152,152,0,114,509,1,0
1,30,76342,177,177,1,33,73994,0,1
1,110,1167843,143,143,1,41,1165567,0,0
0,30,1026,4,5,0,69,22,3,1
0,90,692573,69,70,0,19,690150,1,0
0,89,27924,7,8,0,17,26149,3,1
0,0,754574,173,173,0,26,752403,1,0
1,51,1157625,116,116,1,42,1155433,0,0
1,37,12933,112,112,1,39,10912,0,1
1,25,96434,222,222,1,5,94266,0,1
1,24,45480,195,195,1,119,43330,0,1
0,66,604953,80,81,0,20,602554,1,0
0,53,2152,10,11,0,59,38,1,0
1,111,763015,83,84,1,37,760970,0,0
0,49,4215,71,72,0,19,1969,1,1
0,87,480713,38,39,0,4,478230,1,0
1,67,114439,9,10,1,3,112868,0,1
0,38,3201,59,60,0,73,2560,2,1
1,127,61722,221,221,1,51,61057,0,1
0,21,45278,100,101,0,18,42840,1,0
1,7,13918,121,121,1,104,11750,0,1
1,69,562476,171,171,1,10,560179,0,0
0,31,56175,84,85,0,5,53914,1,1
0,123,1518,58,59,0,93,1,3,1
0,116,1009290,45,46,0,38,1006993,1,0
1,56,50723,120,120,1,104,48507,0,1
0,71,487264,93,94,0,17,485114,1,0
0,1,47037,175,175,0,117,44773,1,1
0,21,371476,170,170,0,18,369323,1,0
0,133,477337,11,12,0,9,476408,3,0
0,105,1835184,67,68,0,46,1832923,1,0
1,37,53359,114,114,1,39,52601,0,1
1,5,1287,19,20,1,68,1,0,0
1,12,441740,91,92,1,29,439797,0,1
1,7,81519,12,13,1,5,79698,0,1
0,113,71686,213,213,0,49,69566,1,1
0,118,707127,48,49,0,23,704929,1,0
0,59,65232,218,218,0,50,62692,1,1
1,112,777368,224,224,1,31,775140,0,0
0,55,3230,127,127,0,22,921,1,1
0,123,1669,47,48,0,86,2,3,1
0,101,5540,44,45,0,84,3963,2,1
1,12,372955,230,230,1,29,370655,0,1
0,130,2191081,87,88,0,52,2188577,1,1
1,65,11060,140,140,1,31,8994,0,1
0,122,4184,235,235,0,35,1923,1,1
0,94,43304,155,155,0,55,40902,1,1
1,50,113111,165,165,1,15,111105,0,1
0,86,59089,41,42,0,55,56687,1,1
1,74,1189025,188,188,1,50,1186812,0,0
1,44,805063,178,178,1,38,803291,0,0
1,23,1835456,204,204,1,47,1833030,0,0
0,123,7454,52,53,0,89,5259,1,1
0,96,611448,110,110,0,10,610807,2,0
0,107,5046,157,157,0,115,2860,1,1
1,16,1204656,196,196,1,44,1202680,0,0
0,16,4025,163,163,0,16,1761,1,1
0,42,2650,24,25,0,34,386,1,1
1,19,560447,98,99,1,52,558669,0,1
1,9,335828,153,153,1,29,333633,0,1
1,64,480279,203,203,1,44,478171,0,0
1,65,7012,6,7,1,31,5501,0,1
0,2,12909,141,141,0,111,10807,1,1
0,123,11646,123,123,0,105,9286,1,1
1,39,1116077,150,150,1,40,1113876,0,0
0,99,76316,29,30,0,50,74154,1,1
1,126,496899,101,102,1,1,495853,0,0
0,60,15153,205,205,0,30,12949,1,1
0,97,1027491,76,77,0,37,1024990,1,0
1,91,170211,122,122,1,48,168412,0,1
1,65,799420,225,225,1,31,796943,0,0
0,119,377705,96,97,0,57,375522,1,0
0,78,3932,160,160,0,116,1401,1,0
0,13,914046,63,64,0,33,913312,3,0
0,125,244454,156,156,0,19,243822,2,0
0,133,394758,20,21,0,9,393970,2,0
0,35,574603,168,168,0,21,572120,1,0
1,100,5117,217,217,1,81,2943,0,0
1,121,252998,130,130,1,28,250869,0,0
1,102,1108,159,159,1,75,1,0,0
1,110,92964,92,93,1,41,90784,0,1
0,123,3133,51,52,0,89,824,1,1
1,68,470842,187,187,1,51,468923,0,0
1,4,4059,30,31,1,70,1852,0,0
0,45,4593,1,2,0,17,2230,1,1
1,10,689616,82,83,1,52,687517,0,0
1,9,598394,167,167,1,21,596190,0,0
1,84,185005,118,118,1,58,182789,0,0
0,31,507624,191,191,0,3,505363,1,0
1,69,459000,172,172,1,10,456733,0,0
1,57,123424,232,232,1,8,121439,0,0
0,120,53099,223,223,0,38,50910,1,1
1,11,4883,42,43,1,82,2628,0,1
0,123,4516,53,54,0,90,3179,3,1
1,129,17178,106,107,1,102,14941,0,1
0,59,81116,3,4,0,13,80040,2,1
0,21,703891,72,73,0,23,701787,2,0
0,86,79561,117,117,0,55,77369,1,1
0,136,3704,22,23,0,66,1446,1,1
1,79,299939,227,227,1,11,297915,0,1
0,114,115059,158,158,0,22,112891,1,1
0,116,827,13,14,0,61,3,2,0
0,133,28523,81,82,0,37,26538,1,1
1,20,547726,133,133,1,7,545198,0,0
0,116,19404,198,198,0,120,17227,1,0
0,133,1039862,77,78,0,37,1037046,1,0
1,19,1937904,25,26,1,52,1935421,0,0
1,27,52834,182,182,1,0,50840,0,0
0,123,28514,108,0,0,103,26043,1,0
0,123,1138,5,6,0,106,2,3,0
1,103,62927,148,148,1,24,60651,0,1
1,134,16106,73,74,1,96,14127,0,0
0,123,7548,54,55,0,91,5362,1,0
0,52,828692,193,193,0,47,827244,1,1
0,21,711734,32,33,0,23,710958,2,0
0,30,482055,111,111,0,10,479794,1,0
