Gene_Type,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,7608,41,89,6745,1
1,326018,102,22,323649,0
1,476915,37,3,476025,0
0,346408,204,60,346178,1
1,216862,124,54,214952,0
1,80177,230,13,78453,1
1,8014,84,10,5234,1
1,557,91,105,3,1
1,74182,14,21,73355,1
0,346850,203,60,346512,1
1,921959,64,35,919047,0
0,1130987,146,41,1130442,0
1,2216,40,88,1884,0
1,56787,222,63,55507,1
0,45867,21,43,45670,1
1,929,174,128,3,0
1,9109,152,27,6119,1
1,35665,150,27,33647,1
1,223303,155,24,221369,0
1,30441,195,131,27628,1
1,1839347,130,52,1836461,0
0,71748,32,51,71398,1
1,122795,35,8,121053,0
1,1122061,144,41,1121249,0
1,216652,229,26,216302,1
1,53404,239,37,53066,1
1,20561,119,40,20007,1
1,215357,61,25,214062,1
1,543960,136,6,542011,0
1,23503,234,5,21764,1
1,57738,223,63,56893,1
1,857583,109,32,854629,0
1,615828,186,24,612868,0
1,3521,175,84,564,0
1,640889,122,14,638082,0
1,119855,181,7,118959,1
1,351059,63,57,348930,0
1,4441,69,50,1115,1
0,218,154,122,3,0
1,578507,187,24,577500,0
1,835,4,87,1,0
1,12423,126,25,10753,1
1,100170,26,13,98553,1
1,76293,27,58,74227,1
1,17384,123,114,15111,1
1,395,200,85,3,1
1,1444050,22,45,1442287,0
1,229154,238,7,227562,0
1,64517,121,58,64071,1
1,10942,199,30,10619,1
1,58454,113,44,55821,1
1,10805,106,111,10074,0
1,706956,36,27,704473,0
0,4265,65,99,3411,0
1,8105,58,96,5802,1
1,1034156,73,38,1031220,0
0,157631,184,49,157230,0
1,7838,214,134,7741,1
1,794,8,65,3,0
0,1231,13,72,899,1
1,51751,107,21,49106,0
1,2332647,198,53,2330257,0
1,114401,62,59,112584,1
1,41471,156,53,39177,1
0,1415811,19,45,1415230,0
1,6985,82,102,4031,1
1,46358,92,15,44298,1
1,1129891,145,41,1128836,0
1,535,6,64,1,0
1,11717,176,129,11061,0
1,1338938,193,45,1337487,0
1,34648,29,37,31775,1
1,56420,157,53,55923,1
1,42976,227,39,42014,1
1,2400,166,125,211,0
1,3058,138,119,647,0
1,33980,164,52,31590,1
1,358301,172,56,355485,0
0,202126,76,57,201683,0
1,83691,196,2,83233,1
1,33312,79,38,32212,1
1,393196,81,47,390821,1
1,368350,49,56,367493,0
1,66037,94,41,63011,1
1,877,16,75,2,0
1,1381,103,109,2,0
1,1153652,147,41,1152030,0
1,33975,34,26,32362,1
1,47107,231,13,46339,1
1,25397,151,27,23602,1
1,2035,128,117,1445,0
1,254233,180,35,251879,1
0,282,117,83,1,1
1,903359,160,52,902475,0
1,3364,170,127,1112,0
1,8634,59,97,6310,0
1,6051,110,82,3256,0
1,88109,218,24,87465,0
1,147,10,66,1,0
1,36817,149,27,35931,1
1,15156,24,77,14362,1
1,944659,161,52,941918,1
1,513917,236,5,513297,0
1,24472,188,14,23342,1
1,46075,232,13,44094,1
1,1050263,158,46,1049748,0
1,1991,178,130,321,1
1,7580,87,103,6150,1
1,317768,192,53,315381,0
0,581031,237,19,580762,0
1,783875,67,29,783721,0
1,929,17,73,492,0
1,6341,60,98,3546,0
1,28634,141,17,28311,1
1,392192,105,28,389835,0
0,2270,57,95,1968,1
1,629366,207,45,627348,0
1,609376,206,11,606950,0
1,2735,215,135,1362,1
1,4117,224,46,1346,1
1,6226,11,67,4295,0
1,481120,108,0,478592,0
1,215,5,116,3,0
1,2208,143,120,1,1
1,15743,205,31,15195,1
1,4959,100,108,2632,0
1,38673,90,104,38134,1
1,2184398,86,53,2181870,1
1,781276,167,30,779186,0
1,46181,183,14,45609,1
1,703894,114,22,701207,0
0,2029693,139,50,2028950,0
1,4564,44,91,2810,1
1,1582,12,69,692,1
1,3052,55,94,605,0
1,498493,235,5,497942,0
1,6017,220,137,3066,0
1,4965,125,115,2173,1
1,585603,189,12,583600,0
1,2706,88,81,1,1
1,89160,182,3,86623,1
1,475584,96,41,473026,0
1,101201,25,13,100433,1
1,6087,15,70,4936,1
1,1639600,197,52,1637255,0
1,1686,2,74,1,1
1,10351,177,130,7736,1
1,1399795,23,45,1397420,0
1,699100,71,23,696140,0
0,17833,30,45,17345,1
1,612,70,42,103,1
1,32383,201,132,29822,0
1,69602,83,4,68706,1
1,71222,127,25,69540,1
1,18217,118,113,15659,0
1,57820,33,24,56951,0
1,73875,210,17,71692,1
1,5666,169,126,3972,0
1,267665,225,52,267153,0
1,578251,163,16,576644,0
1,1121147,213,41,1120731,0
1,583,159,123,2,0
1,2783,38,79,909,1
1,67398,221,51,66466,1
1,453362,131,11,452610,0
1,11981,104,110,9216,0
1,915785,191,36,913926,0
1,772241,47,26,769332,0
1,228,18,73,1,0
0,2248,20,76,1520,1
1,74451,228,15,72187,1
1,3080,53,92,735,1
1,45115,202,133,42281,0
1,2190,98,107,1,1
1,922,9,66,412,0
1,521339,134,6,518895,0
1,612431,132,17,611934,0
1,750468,66,29,747616,0
1,24991,115,112,22313,0
0,1238,212,86,288,1
1,4197,148,121,3526,1
0,1066,0,68,947,1
1,1161359,93,52,1159086,0
1,63967,209,17,63425,1
1,8168,48,80,5343,0
