Gene_Type,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,1160395,344,21,1159709,0
1,18293,401,94,17649,0
0,7200,132,44,6637,0
0,55025,356,82,54438,0
0,1464254,86,27,1463646,0
0,494817,199,22,494134,1
0,2016292,326,26,2015537,0
0,9057,385,89,8128,0
0,4555,130,63,3962,0
0,683253,96,27,682675,0
1,844685,365,21,844098,0
1,112468,398,93,111971,0
0,4870,337,77,4217,0
0,2682,259,75,1954,0
0,158502,17,8,158113,0
0,1955674,329,27,1955171,0
0,756041,97,27,755460,1
0,1368555,306,27,1367977,1
0,1487064,90,27,1486369,1
1,44362,297,14,43754,1
0,265007,253,22,264339,0
0,128464,413,13,128075,0
0,1921473,106,27,1920904,1
0,458814,349,16,458125,0
0,316703,368,15,316059,0
0,548591,220,18,548190,0
0,1604078,114,27,1603452,0
0,85370,59,57,84681,0
0,17407,256,73,16820,0
0,1033564,294,17,1032920,0
1,1738968,26,26,1738420,0
0,6677,376,85,6162,1
0,278070,217,3,277438,1
0,1731530,333,27,1730895,0
0,515441,202,6,514617,0
0,567879,378,19,567310,0
0,10321,124,60,9749,0
0,1686468,110,27,1685914,0
0,7629,224,69,6979,0
0,1645,353,82,1004,0
0,382637,55,3,382086,0
1,807869,23,26,807330,1
0,431207,424,4,430704,0
0,39701,50,56,39237,1
0,307213,254,22,306524,0
0,782,44,53,129,1
0,1132814,314,27,1132212,1
0,36247,70,14,35642,1
0,170789,66,13,170208,1
0,717564,265,26,716974,1
0,1637787,112,27,1637185,1
0,269583,417,4,268954,0
1,628319,180,12,627354,1
0,1932015,105,27,1931470,0
0,2027,38,51,1341,0
0,1743790,332,27,1743146,0
0,521226,203,6,520573,0
0,1118634,316,27,1117975,1
0,376974,53,3,376393,1
0,250738,320,3,250097,0
0,1579,2,33,1004,1
0,578960,74,7,578253,0
0,552848,142,21,552180,1
0,52129,260,75,51491,0
1,19103,377,85,18480,1
0,4829,252,72,4128,0
0,603114,233,9,602248,1
0,436400,10,15,435816,0
0,1148872,407,26,1148204,0
1,347837,16,3,347313,0
0,1581481,210,25,1580900,1
0,1081012,403,26,1080440,1
0,15668,341,78,15015,0
0,6518,300,1,5874,1
0,33001,18,13,32291,1
0,527500,426,4,526817,1
0,668902,146,21,668282,1
0,1995197,212,26,1994529,0
0,216763,319,3,216122,0
0,596495,157,4,595866,0
0,416038,380,30,415541,0
1,463493,99,0,462885,1
0,14001,391,91,13402,1
1,385637,19,21,384969,0
0,627298,98,6,626603,1
0,1845,386,90,1489,1
0,375081,120,11,374536,1
0,1473130,85,27,1472456,0
0,1134002,405,26,1133424,1
0,468801,293,3,468253,1
0,42175,383,87,41594,0
0,9261,126,61,8539,0
0,400683,54,3,400036,1
0,35038,299,1,34388,1
0,416102,242,15,415509,0
1,13194,346,80,12661,1
0,653543,82,10,652923,1
0,327963,422,4,327337,1
0,78452,296,14,77844,0
0,2893,381,86,2228,0
0,38888,77,13,38181,1
0,22995,301,13,22609,1
0,1066542,402,26,1065931,1
0,438865,348,16,438233,0
