Gene_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,3818,117,117,69,2061,1
0,497232,53,53,1,497002,0
1,1362603,66,66,34,1360342,0
1,10034,9,9,43,9492,0
1,705460,54,54,23,703286,0
1,720,118,118,48,1,0
1,560632,57,57,17,560198,0
1,161676,78,78,12,160684,1
1,2942,37,37,56,882,1
1,53693,61,61,28,52560,1
1,1058918,108,108,32,1056777,0
1,1193345,105,105,30,1191366,0
0,591642,59,59,15,591283,1
1,2356776,5,5,36,2355799,0
1,38921,64,64,11,36609,1
1,82404,8,8,37,80149,1
1,3053,22,22,50,873,0
1,501852,63,63,31,499696,1
1,195717,4,4,7,194815,0
1,454212,111,111,23,451945,1
1,1166328,33,33,33,1164352,1
1,114991,84,84,3,114542,1
0,302402,48,48,12,301785,1
1,2832,56,56,59,619,0
1,26356,45,45,57,24182,1
1,628270,40,40,15,627785,1
1,60797,32,32,16,58671,1
1,508321,36,36,2,506186,0
1,29015,29,29,54,27780,1
1,479217,79,79,14,477172,0
1,395040,110,110,23,392911,1
1,2179419,100,100,35,2176948,1
1,742170,80,80,23,739927,0
1,203063,81,81,6,200871,0
1,9199,104,104,66,7001,1
1,606833,39,39,36,604902,0
1,53186,23,23,0,51024,0
0,12912,2,2,41,12295,0
1,5374,107,107,67,4073,1
1,346367,44,44,23,344166,1
0,551749,34,34,17,551012,0
1,656983,73,73,30,654773,0
0,81636,76,76,13,81217,1
1,18169,7,7,16,16115,1
1,2355697,101,101,36,2354525,0
1,160581,126,126,12,159610,1
0,610706,91,91,11,610452,0
0,356850,24,24,39,356083,1
1,246323,70,70,26,244452,1
1,258202,88,88,25,255983,1
1,802663,62,62,27,801878,0
1,628874,60,60,15,628374,1
1,1105132,106,106,30,1103840,1
0,1157244,30,30,29,1157023,0
1,2001346,68,68,35,1998842,0
1,122127,120,120,70,120202,0
1,32651,28,28,53,31587,1
1,576256,1,1,17,575726,0
1,13846,11,11,44,12761,0
1,69895,3,3,21,67685,1
1,292285,128,128,24,290090,1
1,522056,129,129,14,520707,0
1,967593,58,58,36,965515,1
1,18788,27,27,40,16752,1
1,1431,21,21,49,1,0
1,843337,67,67,22,841178,0
1,27802,124,124,72,25553,1
0,521,0,0,51,3,1
1,149082,121,121,70,147823,0
1,630544,12,12,18,630077,0
1,85717,42,42,3,84713,1
1,2356,6,6,42,188,0
0,116089,77,77,2,115388,1
1,5373,103,103,65,3175,0
1,414917,92,92,18,412986,0
1,590889,96,96,15,588715,1
1,879776,20,20,25,877512,0
1,16562,25,25,25,16113,1
1,551038,41,41,15,548948,0
1,573072,94,94,17,571858,0
1,8796,47,47,4,6766,1
1,194168,89,89,17,192141,0
1,804175,49,49,23,801998,0
1,7341,15,15,45,5542,1
1,1092022,123,123,35,1090076,1
1,853635,114,114,30,852247,0
1,6731,38,38,27,4560,1
1,24063,90,90,64,21859,0
0,569,75,75,61,3,1
1,605835,113,113,30,604711,1
1,20468,95,95,5,18309,1
1,47761,116,116,69,45575,0
1,80858,13,13,36,80019,1
1,143770,130,130,8,141896,0
1,40865,17,17,21,38190,1
1,17708,31,31,55,16425,1
0,393868,87,87,10,393167,0
1,238993,71,71,24,236726,1
1,5239,52,52,58,3059,1
1,2117,26,26,52,3,1
1,45873,85,85,63,43711,1
1,305003,102,102,23,302736,0
1,724179,14,14,18,722086,0
1,564263,35,35,35,562332,1
1,487684,132,132,18,485708,0
1,9794,122,122,71,7884,1
1,395811,51,51,20,393328,0
1,399746,93,93,18,397836,0
1,510087,18,18,30,508918,0
1,5081,19,19,11,2874,1
1,630340,43,43,19,629867,0
1,45587,119,119,70,43530,1
1,12118,55,55,46,9896,0
1,603844,97,97,15,602780,1
1,28251,115,115,68,27310,0
1,15656,50,50,1,13635,1
1,551317,82,82,18,549344,0
1,2323,69,69,60,1850,0
1,17469,86,86,47,15220,0
1,2747,83,83,62,2046,0
1,1525088,99,99,34,1523784,1
1,1220025,98,98,34,1218841,0
1,1560715,16,16,36,1558235,1
1,8315,10,10,30,7779,1
1,415880,46,46,24,413892,0
0,352533,109,109,38,352018,1
1,429,127,127,73,1,0
1,640806,112,112,10,638620,0
1,216636,72,72,24,214564,1
1,61722,125,125,35,61057,1
1,111044,131,131,9,109113,0
0,875271,74,74,30,874933,0
1,1428134,65,65,34,1426182,0
