Gene_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,447558,84,84,13,447142,1
1,9446,79,79,38,7647,0
0,5255,73,73,19,2763,0
1,994934,12,12,12,993237,0
1,2113129,5,5,17,2112008,1
1,339503,95,95,5,338613,1
1,571876,59,59,5,570902,0
0,409340,94,94,17,408633,0
0,747945,60,60,9,745645,0
0,415,76,76,37,74,0
1,34900,81,81,40,34403,0
0,1568049,33,33,17,1567459,1
1,796821,75,75,11,795886,0
1,752839,23,23,17,752246,1
1,1037381,92,92,16,1036476,1
0,434997,7,7,4,434554,1
1,787501,69,69,12,786539,0
0,514049,83,83,10,513210,1
1,1751697,6,6,16,1751281,0
1,767190,26,26,11,766081,0
1,155295,90,90,41,154171,0
0,14817,15,15,25,14209,0
1,74492,20,20,3,73803,0
1,1021876,57,57,16,1021316,0
1,1605890,77,77,16,1605162,0
1,310242,36,36,13,309811,0
1,1067748,78,78,13,1067248,0
1,810033,67,67,12,808633,0
1,524283,28,28,6,523744,0
1,1162532,39,39,16,1161927,0
1,796791,68,68,12,795304,0
1,1226536,44,44,17,1225625,1
0,292232,51,51,4,291777,0
1,493953,85,85,13,493609,0
0,579,46,46,31,1,1
1,1575106,50,50,16,1574483,0
1,1285729,43,43,17,1284860,1
1,738027,48,48,11,736090,0
1,624101,24,24,6,623469,1
0,6256,13,13,23,4343,1
1,3678,42,42,29,1996,1
0,415202,8,8,4,414870,0
1,456990,37,37,5,456034,0
1,26464,56,56,33,24623,1
0,43740,65,65,2,43105,0
0,556441,27,27,6,555500,0
1,302448,34,34,13,301999,0
1,408301,93,93,17,407363,0
0,14261,88,88,20,11517,1
0,69017,91,91,4,68592,1
1,1643722,31,31,17,1642802,1
1,84542,19,19,27,84111,1
0,2665,11,11,22,1541,1
1,1145346,89,89,14,1144930,0
1,1078009,0,0,13,1077569,1
0,598,62,62,34,2,1
0,743148,40,40,13,742618,0
1,1445532,21,21,17,1444765,1
0,828817,3,3,16,828224,1
1,1493,80,80,39,471,1
1,1115404,70,70,17,1114712,1
1,2418,10,10,21,715,1
1,405646,53,53,13,404846,1
0,1735532,71,71,15,1734645,0
0,995699,86,86,13,995106,1
0,2026309,9,9,17,2025506,1
1,483,18,18,27,1,1
0,1708125,2,2,15,1707238,0
1,571767,74,74,17,570709,1
1,888037,87,87,11,886754,0
0,18905,64,64,36,17574,1
0,1735953,72,72,15,1735636,0
1,846780,4,4,16,844948,1
1,3924,63,63,35,2239,1
0,287968,35,35,13,286817,0
1,776048,25,25,11,775092,0
1,15756,45,45,30,14755,1
1,232541,29,29,0,231249,0
1,322283,55,55,14,321357,0
1,75990,1,1,8,74263,1
1,156954,97,97,1,155782,0
1,389254,82,82,10,388238,1
0,12112,17,17,26,11726,0
0,3821,14,14,24,1521,1
1,1680779,32,32,17,1680060,0
0,11816,47,47,32,9516,1
1,446968,58,58,17,445976,0
1,1658775,30,30,17,1658077,1
1,1430208,22,22,17,1429318,0
1,1217,96,96,42,24,0
1,145136,61,61,7,143469,1
1,703062,66,66,16,702091,0
1,1786875,49,49,16,1786159,1
1,1000,41,41,28,2,0
0,457660,38,38,5,457121,0
1,2307,52,52,18,1621,1
0,309976,54,54,14,309383,0
0,11716,16,16,26,11321,0
