Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Genomic_Start_Position
0,0,1160395,344,344,21,1159709
0,0,18293,401,401,94,17649
0,0,7200,132,132,44,6637
0,0,55025,356,356,82,54438
0,0,1464254,86,86,27,1463646
1,0,494817,199,199,22,494134
0,0,2016292,326,326,26,2015537
0,0,9057,385,385,89,8128
0,0,4555,130,130,63,3962
0,0,683253,96,96,27,682675
0,0,844685,365,365,21,844098
0,0,112468,398,398,93,111971
0,0,4870,337,337,77,4217
0,0,2682,260,260,75,1954
0,0,158502,17,17,8,158113
0,0,1955674,329,329,27,1955171
1,0,756041,97,97,27,755460
1,0,1368555,306,306,27,1367977
1,0,1487064,90,90,27,1486369
1,0,44362,297,297,14,43754
0,0,265007,254,254,22,264339
0,0,128464,413,413,13,128075
1,0,1921473,106,106,27,1920904
0,0,458814,349,349,16,458125
0,0,316703,368,368,15,316059
0,0,548591,221,221,18,548190
0,0,1604078,114,114,27,1603452
0,0,85370,59,59,57,84681
0,0,17407,257,257,73,16820
0,0,1033564,294,294,17,1032920
0,0,1738968,26,26,26,1738420
1,0,6677,376,376,85,6162
1,0,278070,217,217,3,277438
0,0,1731530,333,333,27,1730895
0,0,515441,202,202,6,514617
0,0,567879,378,378,19,567310
0,0,10321,124,124,60,9749
0,0,1686468,110,110,27,1685914
0,0,7629,225,225,69,6979
0,0,1645,353,353,82,1004
1,0,376974,53,53,3,376393
1,0,807869,23,23,26,807330
1,0,426818,134,134,4,426186
1,0,39701,50,50,56,39237
0,0,307213,255,255,22,306524
1,0,782,44,44,53,129
1,0,1132814,314,314,27,1132212
1,0,36247,70,70,14,35642
1,0,170789,66,66,13,170208
1,0,717564,266,266,26,716974
1,0,1637787,112,112,27,1637185
0,0,487905,166,166,3,487330
1,0,628319,180,180,12,627354
0,0,1932015,105,105,27,1931470
0,0,2027,38,38,51,1341
0,0,1743790,332,332,27,1743146
0,0,521226,203,203,6,520573
1,0,1118634,316,316,27,1117975
0,0,347837,16,16,3,347313
0,0,250738,320,320,3,250097
1,0,1579,2,2,33,1004
0,0,578960,74,74,7,578253
1,0,552848,142,142,21,552180
0,0,52129,261,261,75,51491
1,0,19103,377,377,85,18480
0,0,4829,253,253,72,4128
1,0,603114,234,234,9,602248
0,0,436400,10,10,15,435816
0,0,1148872,407,407,26,1148204
0,0,339516,220,220,3,338926
1,0,1581481,210,210,25,1580900
1,0,1081012,403,403,26,1080440
0,0,15668,341,341,78,15015
1,0,6518,300,300,1,5874
1,0,33001,18,18,13,32291
1,0,504309,425,425,4,503911
1,0,668902,146,146,21,668282
0,0,1995197,212,212,26,1994529
0,0,216763,319,319,3,216122
1,0,588625,154,154,4,587969
0,0,416038,380,380,30,415541
1,0,463493,99,99,0,462885
1,0,14001,391,391,91,13402
0,0,385637,19,19,21,384969
1,0,627298,98,98,6,626603
1,0,1845,386,386,90,1489
1,0,375081,120,120,11,374536
0,0,1473130,85,85,27,1472456
1,0,1134002,405,405,26,1133424
0,0,444695,30,30,3,444042
0,0,42175,383,383,87,41594
0,0,9261,126,126,61,8539
0,0,382637,55,55,3,382086
1,0,35038,299,299,1,34388
0,0,416102,243,243,15,415509
1,0,13194,346,346,80,12661
1,0,653543,82,82,10,652923
1,0,320021,420,420,4,319437
0,0,78452,296,296,14,77844
0,0,2893,381,381,86,2228
1,0,38888,77,77,13,38181
1,0,22995,301,301,13,22609
1,0,1066542,402,402,26,1065931
0,0,438865,348,348,16,438233
0,0,345916,151,151,15,345353
0,0,499409,363,363,21,498789
0,0,262228,36,36,21,261515
1,0,350824,411,411,13,350453
0,0,224418,163,163,16,223792
0,0,17055,46,46,55,16375
1,0,1049,280,280,47,204
1,0,807166,149,149,21,806492
1,0,874302,271,271,26,873739
