Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Genomic_Start_Position
1,0,12909,144,144,113,10807
0,0,6110,100,101,101,3849
0,0,457048,90,91,9,454787
0,0,478833,231,231,6,476677
0,0,16869,154,154,116,14662
1,0,4025,165,165,16,1761
1,0,20192,203,203,29,18165
1,0,3770,51,52,89,732
1,0,828777,109,110,48,827212
1,0,9061,56,57,74,6806
0,0,2776,157,157,117,509
1,0,211189,118,118,34,209180
1,0,7765,29,30,43,5519
1,0,3747,24,25,72,1363
0,0,555948,171,171,20,553549
0,0,487264,95,96,17,485114
0,0,763294,176,176,26,761027
0,0,1178466,117,117,44,1176085
1,0,53359,116,116,40,52601
1,0,96434,222,222,5,94266
1,0,45480,197,197,122,43330
0,0,609383,79,80,20,607077
0,0,5633,12,13,62,4134
0,0,813661,182,182,38,811541
0,0,243718,97,98,19,243449
0,0,480713,37,38,4,478230
1,0,114439,8,9,3,112868
0,0,14957,64,65,76,12933
0,0,356577,107,108,53,354673
0,0,371476,172,172,18,369323
1,0,50723,122,122,106,48507
0,0,562476,173,173,10,560179
1,0,56175,85,86,5,53914
1,0,1621,65,66,95,2
1,0,4679,115,115,40,2307
1,0,11646,125,125,107,9286
0,0,45278,101,102,18,42840
1,0,47037,178,178,120,44773
0,0,487691,30,31,18,485538
0,0,477337,10,11,9,476408
1,0,828692,195,195,49,827244
0,0,909033,32,33,40,906619
0,0,1062,3,4,71,1
1,0,15153,209,209,30,12949
1,0,81519,11,12,5,79698
1,0,65232,218,218,52,62692
0,0,710857,49,50,23,709519
1,0,76316,28,29,52,74154
0,0,799420,225,225,32,796943
1,0,7491,128,128,22,5182
1,0,2056,50,51,88,2
0,0,4947,45,46,86,2638
1,0,441740,93,94,29,439797
0,0,2326647,17,18,54,2325364
0,0,777368,224,224,32,775140
1,0,51771,234,234,36,49540
1,0,59089,40,41,57,56687
0,0,552888,219,219,15,550654
1,0,79561,119,119,57,77369
0,0,1451239,130,130,52,1449053
0,0,1009290,44,45,39,1006993
1,0,170211,124,124,50,168412
1,0,4516,54,55,91,3179
0,0,611448,112,112,10,610807
1,0,5046,159,159,118,2860
0,0,1375691,121,121,46,1373202
1,0,27070,142,142,16,24536
1,0,224206,202,202,35,222371
0,0,689616,82,83,54,687517
1,0,372955,230,230,29,370655
0,0,1204656,198,198,46,1202680
1,0,11060,143,143,32,8994
1,0,2096,147,147,114,747
0,0,1138,5,6,108,2
1,0,8253,103,104,42,6340
0,0,1189025,189,189,52,1186812
0,0,496899,102,103,1,495853
1,0,1474,16,17,31,101
0,0,1039862,77,78,38,1037046
1,0,20107,69,70,51,17801
1,0,14203,58,59,33,11819
1,0,391932,7,8,59,389746
0,0,3932,162,162,119,1401
0,0,915393,63,64,34,914149
0,0,682195,70,71,19,679628
0,0,394758,20,21,9,393970
0,0,580782,169,169,21,579763
1,0,4883,41,42,83,2628
1,0,519612,205,205,28,517492
0,0,2976,164,164,78,781
0,0,1159648,145,145,42,1157084
1,0,7454,53,54,90,5259
1,0,654471,76,77,53,652312
0,0,2907,35,36,73,667
1,0,27924,6,7,17,26149
1,0,1705791,89,90,54,1703299
1,0,3230,129,129,22,921
0,0,2152,9,10,61,38
0,0,507624,192,192,3,505363
0,0,459000,174,174,10,456733
0,0,123424,232,232,8,121439
0,0,805063,180,180,39,803291
1,0,3147,42,43,84,535
0,0,7548,55,56,92,5362
0,0,11573,110,111,104,9210
1,0,369509,62,63,13,367296
0,0,707127,48,49,23,704929
1,0,351915,201,201,58,350539
1,0,6111,23,24,69,4843
1,0,299939,227,227,11,297915
1,0,464804,166,166,22,462621
1,0,1036,14,15,64,2
0,0,763015,83,84,38,760970
0,0,547726,136,136,7,545198
