Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,320234,147,147,23,0,15,319014
1,81801,40,40,11,0,45,80905
1,15410,226,226,2,1,38,14340
0,2162466,66,66,11,0,19,2161639
0,779639,95,95,2,1,14,778437
1,1098996,239,239,3,0,18,1097833
1,444826,201,201,11,0,14,443996
0,1077230,227,227,11,0,15,1076451
1,33929,169,169,20,0,2,32910
0,1422032,55,55,15,0,19,1421220
1,652441,52,52,2,1,8,651695
0,402463,87,87,21,0,5,401243
0,18040,108,108,23,0,58,16886
1,402910,139,139,11,0,14,402068
0,1153229,240,240,22,0,18,1151997
1,750678,156,156,24,0,18,750031
1,9906,4,4,22,0,23,8728
1,12258,155,155,23,0,69,11053
1,2202990,65,65,24,0,19,2202343
0,1011398,159,159,1,0,18,1010715
0,375897,23,23,26,0,19,375253
1,992655,211,211,11,0,14,991897
1,4632,137,137,22,0,32,3406
0,581117,205,205,15,0,14,580287
1,493669,121,121,33,1,15,492404
1,749602,56,56,16,0,19,748862
0,1832,61,61,22,0,47,591
0,217780,244,244,12,0,5,216641
1,1088191,238,238,16,0,18,1087412
0,822069,208,208,18,0,14,821287
0,10709,218,218,2,1,78,9531
0,23056,193,193,18,0,74,22262
0,691455,92,92,11,0,14,690643
0,497406,34,34,2,1,4,496306
1,365512,36,36,23,0,4,364310
0,9985,151,151,0,0,66,9303
0,4174,29,29,2,1,42,2966
0,1070767,196,196,11,0,14,1069991
1,599280,204,204,11,0,14,598465
1,26139,27,27,11,0,42,25351
1,182780,42,42,2,1,12,181743
0,196658,242,242,14,0,5,195561
1,394684,22,22,1,0,14,394031
0,1897997,128,128,11,0,18,1897239
1,1860,163,163,0,0,70,1114
0,589228,206,206,23,0,14,588062
0,400728,176,176,0,0,15,399566
0,617253,207,207,11,0,14,616495
0,745129,162,162,2,1,9,744176
0,1428734,54,54,26,0,19,1428093
1,1968229,126,126,11,0,18,1967444
0,13702,26,26,2,1,41,12743
0,1193619,232,232,1,0,15,1192936
0,210588,243,243,20,0,5,209491
0,17599,79,79,2,1,51,16553
0,1057942,133,133,22,0,14,1056725
1,663709,105,105,11,0,18,662936
0,1471918,183,183,5,0,17,1470884
1,884301,141,141,2,1,14,883339
0,18090,97,97,29,0,53,17131
1,1783506,130,130,11,0,18,1782673
0,1194158,233,233,0,0,15,1193721
1,5205,98,98,2,1,54,4201
0,177073,106,106,2,1,20,175745
0,153559,235,235,29,0,80,152606
0,4472,216,216,23,0,76,3321
1,979496,116,116,29,0,19,978543
1,1905082,69,69,11,0,19,1904309
1,27009,45,45,2,1,28,25858
0,38006,197,197,11,0,75,37197
0,1221966,178,178,14,0,17,1220947
1,226729,43,43,0,0,12,226322
0,76658,39,39,0,1,45,76494
1,987733,114,114,0,0,19,987176
1,937169,158,158,2,1,18,936387
1,416187,122,122,23,0,15,415021
1,983808,115,115,29,0,19,982858
1,497744,120,120,33,1,15,496932
1,3831,170,170,2,1,73,3070
