Entity_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,6912,10,10,40,1,0,36,4054,1
1,166284,41,41,12,3,1,5,162214,0
0,3512,39,39,43,1,0,45,570,1
1,2374,42,42,41,3,1,46,2,0
0,613086,35,35,38,1,0,11,611617,1
0,39716,20,20,39,1,0,14,38265,1
1,106904,21,21,24,3,1,4,101847,0
0,2321780,60,60,33,1,0,20,2320431,0
1,2321637,22,22,6,3,1,21,2320534,0
1,513352,29,29,47,3,1,12,509741,1
1,5459,11,11,3,3,1,37,369,1
0,588483,38,38,9,1,0,3,586278,0
1,6009,72,72,8,3,1,56,1594,1
0,574606,47,47,27,1,0,2,573398,0
0,10189,66,66,19,1,0,55,8723,0
0,12357,13,13,22,1,0,39,7624,1
1,13981,7,7,2,3,1,16,12296,1
0,219070,16,16,10,1,0,6,217661,0
0,2470,33,33,45,1,0,43,2,0
1,48747,75,75,16,3,1,15,45235,1
0,14382,54,54,49,1,0,3,9970,1
0,1879,4,4,1,2,0,24,2,1
0,826483,26,26,18,1,0,10,824891,0
0,22057,57,57,26,1,0,7,19652,1
0,3165,36,36,44,2,0,44,1,1
0,528926,68,68,18,1,0,10,526836,1
1,2326,12,12,19,3,1,38,2,0
1,72456,17,17,30,3,1,5,65872,1
1,467386,67,67,42,0,1,10,461438,1
1,576641,69,69,38,3,1,1,572922,0
0,515521,32,32,6,1,0,6,512909,1
1,1251315,40,40,0,3,1,18,1250056,1
1,85207,71,71,13,3,1,3,81746,1
1,31870,56,56,14,3,1,50,22712,1
0,585395,46,46,11,1,0,2,582072,0
0,2053,50,50,8,1,0,32,2,0
1,13747,18,18,31,3,1,17,12191,1
1,6974,53,53,17,3,1,49,1995,1
0,1537,1,1,17,2,0,26,2,1
0,1556,2,2,22,2,0,59,3,1
0,1997,5,5,32,1,0,25,1,0
0,26175,24,24,51,2,0,20,23011,1
1,375450,15,15,33,3,1,22,373273,0
1,11280,8,8,25,3,1,34,2713,1
0,72487,45,45,50,1,0,21,68564,1
0,3322,9,9,48,2,0,35,2,0
0,2309,31,31,29,1,0,31,3,0
0,5982,0,0,13,1,0,58,4234,1
0,4784,27,27,46,1,0,42,3,0
0,1059473,74,74,7,1,0,19,1058121,0
0,2868,25,25,16,1,0,28,1600,1
0,348754,59,59,5,1,0,21,344585,1
0,4686,63,63,36,2,0,53,1,1
0,24031,23,23,9,1,0,27,21731,1
0,478366,55,55,26,1,0,13,476669,1
0,4676,65,65,35,1,0,54,3,0
0,1271,28,28,15,1,0,29,3,0
1,8695,51,51,47,3,1,33,5075,0
0,2498,43,43,23,1,0,47,3,0
1,1119042,64,64,4,3,1,18,1112740,1
0,595601,34,34,4,1,0,11,591036,1
0,78154,48,48,20,1,0,0,73799,1
0,37338,37,37,23,1,0,23,35617,1
0,799963,44,44,20,1,0,8,796517,0
0,89064,49,49,21,1,0,0,84641,1
0,769652,6,6,29,1,0,9,767703,0
0,5803,62,62,28,1,0,52,896,1
0,4720,19,19,3,1,0,41,2,0
0,4039,61,61,10,1,0,51,1,1
0,2312,52,52,34,1,0,48,2,0
0,35785,3,3,26,1,0,7,34078,1
0,5221,30,30,11,1,0,30,2141,1
1,4653,14,14,15,3,1,40,1,0
0,152656,70,70,37,1,0,5,149750,0
0,2190,73,73,13,1,0,57,1,0
0,21673,58,58,24,1,0,23,20189,1
