Entity_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1713823,10,10,86,2,0,28,1711409,0
1,32772,101,101,116,1,1,4,29866,1
0,373899,32,32,26,2,0,5,371611,1
0,721934,79,79,33,2,0,23,719244,1
0,428427,92,92,83,3,0,20,425755,0
0,1324430,93,93,61,2,0,30,1322082,0
0,465591,162,162,112,2,0,15,462814,0
0,54199,35,35,45,2,0,55,51578,1
1,952113,118,118,38,1,1,23,949273,1
0,1024944,233,233,85,2,0,29,1022305,0
1,199898,39,39,93,1,1,19,197364,1
0,404584,120,120,92,2,0,21,402206,0
0,473501,202,202,121,3,0,23,470631,0
0,246580,91,91,4,2,0,19,243767,0
0,33755,30,30,55,2,0,41,30969,0
0,355891,244,244,116,2,0,6,353552,0
0,602339,48,48,61,2,0,30,600009,0
1,1100880,194,194,38,1,1,23,1098211,1
1,1123469,221,221,94,1,1,24,1120611,0
0,1147282,168,168,61,2,0,30,1144757,1
1,32977,216,216,114,1,1,82,30248,1
0,33431,29,29,98,2,0,52,30843,1
0,184674,7,7,95,2,0,12,182293,0
0,1516533,47,47,61,2,0,30,1514173,1
0,553480,173,173,65,3,0,1,550610,0
0,16153,33,33,45,2,0,53,13502,0
0,292921,245,245,118,2,0,6,290183,1
0,256062,178,178,120,2,0,5,253732,0
0,25495,54,54,98,2,0,58,22811,0
0,8691,195,195,29,2,0,75,6085,1
0,180436,213,213,43,2,0,11,177890,1
0,15222,212,212,6,2,0,79,12538,1
0,849988,205,205,79,2,0,23,847319,0
0,1919214,107,107,73,2,0,29,1916677,1
0,546874,143,143,105,2,0,15,544250,0
1,1014233,136,136,28,1,1,29,1011738,0
0,519004,251,251,74,2,0,7,516413,0
0,1161129,167,167,111,2,0,30,1158613,0
0,82609,139,139,41,3,0,19,79808,1
1,316755,121,121,94,1,1,24,314314,0
0,622377,45,45,8,2,0,29,620053,0
0,483376,100,100,107,2,0,24,480707,1
0,1176004,166,166,104,2,0,30,1173581,0
0,1015945,209,209,71,2,0,23,1013150,1
0,204433,67,67,44,2,0,14,201761,1
0,1745786,15,15,73,2,0,29,1743231,0
0,125132,85,85,46,2,0,4,122370,1
1,17633,25,25,64,1,1,50,14982,0
0,4209,123,123,67,2,0,66,1423,0
0,187941,232,232,36,2,0,5,185287,0
0,1035713,62,62,49,2,0,25,1032837,0
0,425184,137,137,53,2,0,16,422410,0
0,513629,257,257,82,3,0,15,510834,0
0,565358,87,87,111,2,0,30,563163,1
0,1115182,220,220,77,2,0,24,1112378,0
1,432436,159,159,61,1,1,15,429818,0
0,218715,59,59,70,2,0,17,215884,1
1,86749,153,153,68,1,1,3,84020,1
1,396102,74,74,93,1,1,19,393418,0
1,107074,254,254,72,1,1,2,104540,0
0,602587,46,46,85,2,0,29,600077,0
1,389747,164,164,125,1,1,15,387120,0
0,422008,200,200,31,2,0,17,419294,0
0,1065877,198,198,110,2,0,25,1063010,0
0,378614,163,163,87,2,0,15,375975,0
0,309384,112,112,120,2,0,5,306937,0
0,585607,86,86,118,2,0,6,583331,1
0,7162,23,23,45,2,0,48,4697,0
0,650434,43,43,37,3,0,14,647633,1
0,23290,218,218,73,2,0,47,20606,1
0,9867,65,65,98,2,0,60,7462,0
1,442799,201,201,47,1,1,23,439932,1
0,1695278,9,9,40,2,0,28,1692543,1
0,700388,17,17,106,2,0,15,697620,0
0,14845,51,51,50,3,0,57,11996,0
0,8092,214,214,42,2,0,80,5759,0
1,13979,197,197,0,1,1,77,11352,1
0,1045611,208,208,71,3,0,23,1042786,0
0,15062,90,90,45,2,0,63,12438,0
0,1061168,114,114,71,4,0,23,1059124,0
0,8115,172,172,44,3,0,46,5269,1
0,10893,95,95,59,2,0,31,8359,1
0,1966199,106,106,39,2,0,29,1963551,1
0,585177,204,204,22,3,0,23,582301,0
0,475012,142,142,113,2,0,7,472298,0
0,1314205,94,94,111,2,0,30,1311887,0
0,1096585,235,235,101,2,0,29,1093946,1
1,9580,196,196,37,1,1,76,6749,1
0,50888,152,152,51,2,0,20,48174,1
0,1062895,234,234,85,2,0,29,1060310,1
0,758419,49,49,21,2,0,21,756089,0
0,12594,151,151,45,2,0,73,9967,0
0,9089,217,217,23,2,0,82,6579,1
1,45075,126,126,25,1,1,69,42286,0
1,1578209,103,103,109,1,1,28,1575672,1
0,1818146,111,111,101,2,0,29,1815771,0
0,466038,176,176,64,2,0,24,463714,0
0,1851640,109,109,80,2,0,29,1848668,0
0,139709,253,253,90,2,0,1,138117,0
1,290907,119,119,17,1,1,21,288478,0
0,1171520,42,42,7,2,0,27,1169280,1
0,2047179,184,184,80,2,0,29,2044399,1
0,800723,165,165,3,2,0,22,798375,0
0,12158,13,13,54,2,0,40,9363,1
0,21771,88,88,45,2,0,61,19363,0
0,488327,203,203,22,3,0,23,485541,0
0,454333,158,158,106,2,0,15,451748,0
0,262330,243,243,83,2,0,6,259847,0
0,568854,259,259,105,2,0,15,566233,0
0,16377,145,145,45,2,0,71,13513,1
0,180486,38,38,41,2,0,19,177754,1
0,1596686,185,185,39,2,0,29,1594209,0
0,301826,242,242,89,2,0,29,299487,0
0,736453,83,83,71,3,0,23,733583,0
0,1006971,1,1,81,5,0,30,1005142,0
0,20976,61,61,8,2,0,43,18310,0
0,5331,150,150,98,2,0,72,2932,0
0,629809,115,115,5,3,0,13,627020,1
0,1816759,189,189,111,2,0,30,1814429,0
1,590672,258,258,61,1,1,15,588504,0
0,6553,122,122,62,2,0,65,4166,1
0,1152306,222,222,115,2,0,24,1149583,0
0,13678,156,156,15,2,0,3,10931,1
0,468388,72,72,79,3,0,6,465485,0
1,476059,149,149,103,1,1,5,473501,0
1,1152001,179,179,109,1,1,28,1149578,1
0,1007699,206,206,71,2,0,23,1005114,1
0,1129346,169,169,61,2,0,30,1126764,1
0,696919,77,77,22,2,0,23,694046,0
0,1156973,236,236,30,2,0,29,1154469,0
0,221070,141,141,85,2,0,9,218443,1
0,463778,84,84,34,2,0,16,460986,0
0,11062,6,6,35,2,0,36,8450,0
0,1553361,181,181,40,2,0,28,1550629,1
0,280853,68,68,126,2,0,23,278046,0
0,546370,50,50,95,2,0,8,543824,0
0,399549,238,238,53,2,0,16,396772,0
0,57145,60,60,91,3,0,43,54284,0
0,817323,82,82,71,2,0,23,814468,0
1,408107,19,19,23,1,1,5,405750,0
0,60414,227,227,12,2,0,84,57859,1
0,988200,207,207,33,2,0,23,985546,1
0,7898,12,12,63,2,0,39,5274,1
0,245264,52,52,2,2,0,0,242583,0
0,4732,125,125,98,2,0,68,2051,0
0,21506,63,63,98,2,0,59,18858,0
0,23129,128,128,98,3,0,70,20358,1
0,428401,73,73,75,2,0,18,425663,0
0,950785,134,134,39,2,0,29,948302,1
0,34218,64,64,98,2,0,59,31414,0
1,2065088,104,104,28,1,1,29,2062416,0
0,15093,157,157,127,3,0,19,12226,0
0,1251196,180,180,119,2,0,28,1248512,0
0,352788,249,249,110,2,0,18,350182,1
0,565683,140,140,116,2,0,6,563344,1
0,10603,8,8,1,3,0,37,7772,1
0,212927,0,0,24,5,0,13,211077,1
0,1200167,193,193,33,2,0,23,1197396,0
0,652210,99,99,11,2,0,8,649424,0
0,2201057,58,58,111,2,0,30,2198634,1
0,4709,34,34,50,2,0,54,2067,1
0,119436,255,255,13,2,0,2,116878,0
0,14331,230,230,24,2,0,85,11776,1
1,1633076,186,186,28,1,1,29,1630521,0
0,7054,124,124,50,2,0,67,4541,0
0,456596,18,18,36,2,0,5,453903,1
0,3590,211,211,29,2,0,79,942,1
0,1757922,188,188,32,2,0,30,1755496,1
