Gene_Type,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,3,12909,144,113,10807,1
0,0,124,6110,100,101,3849,0
1,0,39,457048,89,9,454787,0
0,0,136,478833,231,6,476677,0
0,0,93,16869,154,116,14662,0
0,0,15,4025,165,16,1761,1
1,0,13,20192,203,29,18165,1
0,0,124,3770,50,89,732,1
1,0,21,828777,109,48,827212,1
1,0,41,9061,55,74,6806,1
0,0,40,2776,157,117,509,0
1,0,29,211189,118,34,209180,1
1,0,47,7765,28,43,5519,1
0,0,1,3747,24,72,1363,1
0,0,54,555948,171,20,553549,0
0,0,70,487264,95,17,485114,0
0,0,7,763294,176,26,761027,0
0,0,37,1178466,117,44,1176085,0
1,0,35,53359,116,40,52601,1
1,0,24,96434,222,5,94266,1
1,0,23,45480,197,122,43330,1
1,0,40,609383,78,20,607077,0
1,0,2,5633,12,62,4134,0
1,0,112,813661,182,38,811541,0
0,0,57,243718,97,19,243449,0
0,0,88,480713,36,4,478230,0
1,0,67,114439,8,3,112868,1
0,0,62,14957,63,76,12933,0
1,0,28,356577,107,53,354673,0
0,0,20,371476,172,18,369323,0
1,0,55,50723,122,106,48507,1
0,0,98,611448,112,10,610807,0
0,0,30,56175,84,5,53914,1
1,0,86,1621,64,95,2,1
0,0,129,4679,115,40,2307,1
0,0,124,11646,125,107,9286,1
0,0,20,45278,101,18,42840,0
0,0,1,47037,178,120,44773,1
0,0,122,487691,29,18,485538,0
0,0,131,477337,10,9,476408,0
0,0,51,828692,195,49,827244,1
1,0,89,909033,31,40,906619,0
0,0,92,1062,3,71,1,0
0,0,61,15153,209,30,12949,1
1,0,8,81519,11,5,79698,1
0,0,60,65232,218,52,62692,1
0,0,20,710857,48,23,709519,0
0,0,101,76316,27,52,74154,1
1,0,65,799420,225,32,796943,0
0,0,124,7491,128,22,5182,1
0,0,124,2056,49,88,2,1
0,0,124,4947,44,86,2638,0
1,0,13,441740,92,29,439797,1
0,0,111,2326647,17,54,2325364,0
1,0,113,777368,224,32,775140,0
1,0,130,51771,234,36,49540,1
0,0,87,59089,39,57,56687,1
1,0,50,552888,219,15,550654,0
0,0,87,79561,119,57,77369,1
1,0,71,1451239,130,52,1449053,0
0,0,117,1009290,43,39,1006993,0
1,0,93,170211,124,50,168412,1
0,0,124,4516,53,91,3179,1
1,0,95,122003,229,11,119982,1
0,0,109,5046,159,118,2860,1
1,0,15,1375691,121,46,1373202,0
0,0,85,27070,142,16,24536,1
1,0,37,224206,202,35,222371,1
1,0,11,689616,81,54,687517,0
1,0,13,372955,230,29,370655,1
1,0,15,1204656,198,46,1202680,0
1,0,65,11060,143,32,8994,1
1,0,118,2096,147,114,747,1
0,0,124,1138,5,108,2,0
1,0,30,8253,103,42,6340,1
1,0,73,1189025,189,52,1186812,0
1,0,125,496899,102,1,495853,0
0,0,100,1474,16,31,101,1
0,0,131,1039862,76,38,1037046,0
0,0,49,20107,68,51,17801,1
0,0,45,14203,57,33,11819,1
0,0,3,391932,7,59,389746,1
0,0,78,3932,162,119,1401,0
0,0,68,915393,62,34,914149,0
0,0,91,682195,69,19,679628,0
0,0,131,394758,20,9,393970,0
0,0,33,580782,169,21,579763,0
1,0,12,4883,40,83,2628,1
1,0,44,519612,205,28,517492,1
0,0,74,2976,164,78,781,0
0,0,132,1159648,145,42,1157084,0
0,0,124,7454,52,90,5259,1
1,0,28,654471,75,53,652312,1
0,0,97,2907,34,73,667,0
0,0,90,27924,6,17,26149,1
0,0,111,1705791,88,54,1703299,1
0,0,54,3230,129,22,921,1
0,0,52,2152,9,61,38,0
0,0,30,507624,192,3,505363,0
0,0,29,482055,113,10,479794,0
1,0,58,123424,232,8,121439,0
1,0,42,805063,180,39,803291,0
0,0,76,3147,41,84,535,1
0,0,124,7548,54,92,5362,0
0,0,124,11573,110,104,9210,0
1,0,27,369509,61,13,367296,1
0,0,119,707127,47,23,704929,0
0,0,5,351915,201,58,350539,1
0,0,9,6111,23,69,4843,1
0,0,77,307939,226,11,306221,1
1,0,59,464804,166,22,462621,1
0,0,53,1036,14,64,2,1
1,0,112,763015,82,38,760970,0
1,0,19,547726,136,7,545198,0
0,0,117,19404,200,123,17227,0
0,0,121,53099,223,39,50910,1
0,0,128,2191081,87,54,2188577,1
1,0,26,52834,184,0,50840,0
1,0,8,13918,123,106,11750,1
1,0,31,18062,135,109,16122,1
1,0,114,436942,177,24,434816,0
1,0,116,34512,90,98,32440,1
0,0,124,5683,56,93,3845,0
1,0,22,1835456,208,49,1833030,0
1,0,19,731499,30,23,729406,0
1,0,68,562476,173,10,560179,0
0,0,85,560608,181,16,558551,0
0,0,26,92121,141,41,90979,1
0,0,99,7735,186,80,5258,1
0,0,26,2352753,132,54,2351474,0
1,0,102,5117,217,82,2943,0
0,0,81,120751,187,3,119534,1
0,0,16,9642,214,125,7252,0
0,0,124,28514,111,105,26043,0
0,0,59,1699,85,8,101,1
1,0,16,3774,18,66,1570,0
1,0,131,468090,38,2,465892,0
0,0,61,3637,163,34,1680,1
1,0,39,619207,206,9,617003,0
0,0,32,369971,60,56,367785,0
1,0,64,10067,26,46,8418,1
1,0,105,1108,161,77,1,0
0,0,124,3468,70,96,1171,0
0,0,131,1009265,77,38,1006986,0
1,0,95,609450,134,16,607396,0
0,0,131,28523,80,38,26538,1
0,0,40,2650,25,35,386,1
0,0,113,6868,185,121,4559,1
0,0,133,50074,190,3,47909,1
1,0,63,669243,188,18,667156,0
1,0,127,17178,108,103,14941,1
0,0,43,4593,1,17,2230,1
0,0,107,161779,94,12,159506,1
0,0,94,798,167,79,1,1
1,0,111,1167843,146,42,1165567,0
1,0,79,299939,227,11,297915,1
1,0,46,18493,45,34,16673,1
0,0,124,5471,139,112,3207,1
0,0,49,5333,21,67,3093,1
0,0,56,59387,93,42,57738,1
0,0,40,477141,199,7,476586,0
0,0,124,5583,99,100,3223,0
