Gene_Type,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,3,12909,146,113,10807,1
0,0,124,6110,102,101,3849,0
1,0,40,457048,92,9,454787,0
0,0,137,478833,231,6,476677,0
0,0,93,16869,155,116,14662,0
1,0,51,552888,219,15,550654,0
0,0,100,835809,99,28,833647,0
0,0,124,3770,52,89,732,1
1,0,22,828777,111,48,827212,1
1,0,42,9061,57,74,6806,1
0,0,41,2776,158,117,509,0
1,0,30,211189,120,34,209180,1
1,0,48,7765,30,43,5519,1
0,0,1,3747,24,72,1363,1
0,1,91,692573,71,19,690150,0
0,0,90,27924,6,17,26149,1
0,0,0,754574,177,26,752403,0
0,0,38,1178466,119,44,1176085,0
1,0,36,53359,118,40,52601,1
1,0,25,96434,222,5,94266,1
1,0,24,45480,198,122,43330,1
0,0,67,604953,82,20,602554,0
1,0,2,5633,12,62,4134,0
1,0,113,813661,183,38,811541,0
0,0,50,4215,73,19,1969,1
0,0,88,480713,39,4,478230,0
1,0,68,114439,8,3,112868,1
0,0,62,14957,65,76,12933,0
1,0,29,356577,109,53,354673,0
0,0,21,45278,103,18,42840,0
1,0,56,50723,124,106,48507,1
1,0,69,562476,175,10,560179,0
0,0,31,56175,87,5,53914,1
1,0,86,1621,66,95,2,1
0,0,130,4679,117,40,2307,1
0,0,124,11646,127,107,9286,1
0,0,71,487264,97,17,485114,0
0,0,1,47037,179,120,44773,1
0,0,21,371476,174,18,369323,0
0,0,132,477337,10,9,476408,0
0,0,52,828692,196,49,827244,1
1,0,89,909033,34,40,906619,0
0,0,92,1062,3,71,1,0
0,0,61,15153,208,30,12949,1
1,0,7,81519,11,5,79698,1
0,0,60,65232,218,52,62692,1
0,0,119,707127,50,23,704929,0
0,0,102,76316,29,52,74154,1
1,0,66,799420,225,32,796943,0
0,0,55,3230,131,22,921,1
0,0,124,2056,51,88,2,1
0,0,124,4947,47,86,2638,0
1,0,12,441740,95,29,439797,1
0,0,112,2326647,17,54,2325364,0
1,0,114,777368,224,32,775140,0
1,0,131,51771,234,36,49540,1
0,0,87,59089,42,57,56687,1
1,0,51,113111,170,15,111105,1
0,0,87,79561,121,57,77369,1
1,0,72,1451239,132,52,1449053,0
0,0,117,1009290,46,39,1006993,0
1,0,93,170211,126,50,168412,1
0,0,124,4516,55,91,3179,1
0,0,98,611448,114,10,610807,0
0,0,110,5046,162,118,2860,1
1,0,16,1375691,123,46,1373202,0
0,0,16,4025,168,16,1761,1
1,0,38,224206,203,35,222371,1
1,0,10,689616,84,54,687517,0
1,0,12,372955,230,29,370655,1
1,0,16,1204656,199,46,1202680,0
1,0,66,11060,145,32,8994,1
1,0,118,2096,149,114,747,1
0,0,124,1138,5,108,2,0
1,0,31,8253,105,42,6340,1
1,0,74,1189025,190,52,1186812,0
1,0,126,496899,104,1,495853,0
0,0,101,1474,16,31,101,1
0,0,132,1039862,78,38,1037046,0
0,0,50,20107,70,51,17801,1
0,0,46,14203,59,33,11819,1
0,0,3,391932,7,59,389746,1
0,0,78,3932,165,119,1401,0
0,0,69,915393,64,34,914149,0
0,0,125,244454,161,19,243822,0
0,0,132,394758,20,9,393970,0
0,0,34,574603,172,21,572120,0
1,0,11,4883,43,83,2628,1
1,0,122,252998,135,28,250869,0
0,0,75,2976,167,78,781,0
0,0,133,1159648,147,42,1157084,0
0,0,124,7454,54,90,5259,1
1,0,29,654471,77,53,652312,1
0,0,97,2907,37,73,667,0
0,0,44,4593,1,17,2230,1
0,0,112,1705791,91,54,1703299,1
1,0,9,598394,171,21,596190,0
0,0,53,2152,9,61,38,0
0,0,31,507624,193,3,505363,0
1,0,69,459000,176,10,456733,0
1,0,58,123424,232,8,121439,0
1,0,43,805063,181,39,803291,0
0,0,77,3147,44,84,535,1
0,0,124,7548,56,92,5362,0
0,0,124,11573,112,104,9210,0
0,0,60,81116,4,13,80040,1
0,0,21,703891,74,23,701787,0
0,0,4,351915,202,58,350539,1
0,0,8,6111,23,69,4843,1
1,0,79,299939,227,11,297915,1
0,0,115,115059,163,22,112891,1
0,0,54,1036,14,64,2,1
1,0,113,763015,85,38,760970,0
1,0,20,547726,138,7,545198,0
0,0,117,19404,201,123,17227,0
0,0,121,53099,223,39,50910,1
0,0,129,2191081,90,54,2188577,1
1,0,27,52834,185,0,50840,0
1,0,7,13918,125,106,11750,1
1,0,32,18062,137,109,16122,1
1,0,106,62927,153,24,60651,1
1,0,116,34512,93,98,32440,1
0,0,124,5683,58,93,3845,0
1,0,23,1835456,207,49,1833030,0
0,0,21,711734,32,23,710958,0
0,0,30,482055,115,10,479794,0
1,0,95,89110,209,16,86993,1
0,0,27,92121,143,41,90979,1
0,0,99,7735,187,80,5258,1
0,0,27,2352753,134,54,2351474,0
1,0,103,5117,217,82,2943,0
0,0,81,120751,188,3,119534,1
0,0,17,9642,212,125,7252,0
0,0,124,28514,113,105,26043,0
0,0,59,1699,88,8,101,1
1,0,17,3774,18,66,1570,0
1,0,132,468090,41,2,465892,0
0,0,61,3637,166,34,1680,1
1,0,40,619207,205,9,617003,0
0,0,33,369971,62,56,367785,0
1,0,65,10067,28,46,8418,1
1,0,105,1108,164,77,1,0
0,0,124,3468,72,96,1171,0
0,0,132,1009265,79,38,1006986,0
0,0,85,560608,182,16,558551,0
0,0,132,28523,83,38,26538,1
0,0,41,2650,25,35,386,1
0,0,114,6868,186,121,4559,1
0,0,134,50074,191,3,47909,1
0,0,122,487691,31,18,485538,0
1,0,128,17178,110,103,14941,1
0,0,13,669010,136,16,666635,0
0,0,15,2335,173,12,101,1
0,0,94,798,169,79,1,1
1,0,112,1167843,148,42,1165567,0
0,0,67,140815,228,11,140096,1
