Gene_Classification,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1174010,188,188,102,2,0,43,1168695,0
0,7614,0,2,3,0,0,61,1030,1
0,609988,155,155,125,1,0,10,605538,1
1,1168419,160,160,37,3,1,50,1158055,1
0,1169344,40,40,28,1,0,44,1158920,0
1,18759,149,149,76,3,1,108,8548,1
0,52109,58,58,60,1,0,5,41772,1
0,18044,37,37,11,1,0,30,13358,1
0,424181,138,138,64,1,0,10,413739,0
0,225503,222,222,117,1,0,8,215040,0
0,940675,89,89,36,1,0,50,930293,1
0,330111,107,107,73,1,0,15,322282,0
0,458221,52,52,111,1,0,10,447770,1
0,328819,66,66,68,1,0,30,318764,0
0,18045,173,173,65,1,0,111,7588,0
0,83617,100,100,91,1,0,27,73238,1
1,743366,12,12,94,3,1,28,733188,0
1,723117,129,129,8,3,1,33,714922,0
1,796435,42,42,136,3,1,32,786038,0
1,296067,108,108,75,3,1,33,288610,0
0,7780,8,8,124,2,0,64,2,1
0,818767,118,118,122,1,0,29,810066,0
0,573981,156,156,125,1,0,10,563530,0
0,390898,218,218,73,1,0,34,380639,1
1,5380,26,26,29,3,1,76,2,1
0,46065,190,190,72,1,0,38,35644,1
0,842551,211,211,7,1,0,35,832124,0
0,63253,174,174,78,1,0,112,52823,1
0,78813,196,196,141,1,0,52,72588,1
0,149649,113,113,28,2,0,23,143326,0
0,816094,68,68,93,1,0,33,805796,0
0,11492,32,32,57,1,0,79,5925,1
0,26884,63,63,53,1,0,16,16478,1
0,22907,2,1,23,2,0,51,17262,1
0,13390,158,158,126,1,0,71,2987,0
0,193120,183,183,98,2,0,23,183374,0
0,9732,191,191,20,1,0,117,1,0
0,970184,184,184,85,1,0,46,959784,1
0,213628,99,99,130,1,0,53,203258,0
1,647211,114,114,137,3,1,46,636820,0
0,138304,215,215,51,1,0,13,127910,1
0,13701,150,150,81,1,0,109,3220,1
0,328850,47,47,16,1,0,29,318795,0
0,5595,7,7,138,2,0,63,1,1
0,2345195,165,165,141,1,0,52,2334792,0
1,24168,110,110,25,3,1,99,13795,0
0,459416,64,64,140,1,0,34,449073,1
0,3034,91,91,88,2,0,96,2,0
0,252973,111,111,140,1,0,34,245186,1
0,62951,93,93,87,1,0,54,52593,1
0,347060,219,219,140,2,0,34,339083,1
0,45907,205,205,18,2,0,51,38978,1
0,141214,130,130,41,1,0,27,130814,1
1,789447,212,212,114,3,1,35,779023,0
0,475972,78,78,84,2,0,2,470489,0
0,409474,179,179,26,1,0,33,399029,1
0,47512,123,123,16,1,0,29,39092,1
0,802151,13,13,116,1,0,51,791817,1
0,33876,199,199,69,1,0,122,23431,0
0,1717944,170,170,83,2,0,49,1709332,1
0,745319,39,39,135,1,0,32,734937,0
0,891588,19,19,24,1,0,37,881293,0
1,934030,201,201,30,3,1,49,926063,1
0,127475,171,171,90,1,0,55,117093,1
0,13163,67,67,50,1,0,88,2601,0
0,31191,119,119,55,1,0,35,20812,1
0,7954,192,192,66,2,0,118,2,0
0,229560,213,213,95,1,0,28,219184,1
0,571102,14,14,106,1,0,39,563645,0
0,69531,217,217,51,1,0,13,59128,1
0,5243,70,70,47,1,0,89,2,0
0,9826,23,23,115,2,0,75,2831,0
1,12411,133,133,4,3,1,103,1858,1
0,6482,4,4,66,2,0,62,3,0
0,54831,125,125,99,1,0,52,44338,1
0,2370774,163,163,96,1,0,51,2360422,0
