Gene_Classification,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,320234,147,23,0,15,319014,0
0,81801,40,11,0,45,80905,1
1,15410,226,2,1,38,14340,1
0,2162466,66,11,0,19,2161639,0
1,779639,95,2,1,14,778437,0
0,1098996,239,3,0,18,1097833,1
0,444826,201,11,0,14,443996,1
0,1077230,227,11,0,15,1076451,0
0,33929,169,20,0,2,32910,1
0,1422032,55,15,0,19,1421220,0
1,652441,52,2,1,8,651695,1
0,402463,87,21,0,5,401243,0
0,18040,108,23,0,58,16886,0
0,402910,139,11,0,14,402068,1
0,1153229,240,22,0,18,1151997,0
0,750678,156,24,0,18,750031,1
0,9906,4,22,0,23,8728,1
0,12258,155,23,0,69,11053,1
0,2202990,65,24,0,19,2202343,1
0,1011398,159,1,0,18,1010715,0
0,375897,23,26,0,19,375253,0
0,992655,211,11,0,14,991897,1
0,4632,137,22,0,32,3406,1
0,581117,205,15,0,14,580287,0
1,493669,121,33,1,15,492404,1
0,749602,56,16,0,19,748862,1
0,1832,61,22,0,47,591,0
0,217780,244,12,0,5,216641,0
0,1088191,238,16,0,18,1087412,1
0,822069,208,18,0,14,821287,0
1,10709,218,2,1,78,9531,0
0,23056,193,18,0,74,22262,0
0,691455,92,11,0,14,690643,0
1,497406,34,2,1,4,496306,0
0,365512,36,23,0,4,364310,1
0,9985,151,0,0,66,9303,0
1,4174,29,2,1,42,2966,0
0,1070767,196,11,0,14,1069991,0
0,599280,204,11,0,14,598465,1
0,26139,27,11,0,42,25351,1
1,182780,42,2,1,12,181743,1
0,196658,242,14,0,5,195561,0
0,394684,22,1,0,14,394031,1
0,1897997,128,11,0,18,1897239,0
0,1860,163,0,0,70,1114,1
0,589228,206,23,0,14,588062,0
0,400728,176,0,0,15,399566,0
0,617253,207,11,0,14,616495,0
1,745129,162,2,1,9,744176,0
0,1428734,54,26,0,19,1428093,0
0,1968229,126,11,0,18,1967444,1
1,13702,26,2,1,41,12743,0
0,1193619,232,1,0,15,1192936,0
0,210588,243,20,0,5,209491,0
1,17599,79,2,1,51,16553,0
0,1057942,133,22,0,14,1056725,0
0,663709,105,11,0,18,662936,1
0,1471918,183,5,0,17,1470884,0
1,884301,141,2,1,14,883339,1
0,18090,97,29,0,53,17131,0
0,1783506,130,11,0,18,1782673,1
0,1194158,233,0,0,15,1193721,0
1,5205,98,2,1,54,4201,1
1,177073,106,2,1,20,175745,0
0,153559,235,29,0,80,152606,0
0,4472,216,23,0,76,3321,0
0,979496,116,29,0,19,978543,1
0,1905082,69,11,0,19,1904309,1
1,27009,45,2,1,28,25858,1
0,38006,197,11,0,75,37197,0
0,1221966,178,14,0,17,1220947,0
0,226729,43,0,0,12,226322,1
1,76658,39,0,1,45,76494,0
0,987733,114,0,0,19,987176,1
1,937169,158,2,1,18,936387,1
0,416187,122,23,0,15,415021,1
0,983808,115,29,0,19,982858,1
1,497744,120,33,1,15,496932,1
1,3831,170,2,1,73,3070,1
1,3587,164,2,1,71,2544,0
0,10011,38,11,0,44,9199,1
0,1474427,53,27,0,19,1473666,0
0,36547,223,9,0,37,35690,0
0,531335,174,0,0,1,530982,1
1,477748,119,2,1,15,476525,1
1,1925877,68,2,1,19,1925107,1
0,1564778,74,16,0,19,1564014,1
0,1106541,228,22,0,15,1105297,0
0,15525,110,8,0,31,14710,1
1,2102,112,2,1,59,1101,1
0,178084,111,21,0,16,176870,1
0,712890,93,18,0,14,712129,1
0,77581,8,20,0,8,76523,1
0,855470,140,7,0,14,854496,0
0,1677,77,28,0,49,712,1
0,301271,148,18,0,15,300510,0
1,11639,198,2,1,75,10170,0
0,2202884,185,24,0,18,2202237,1
0,1487286,181,14,0,17,1486264,1
0,2879,135,11,0,62,2091,1
0,12102,220,0,0,35,11231,0
1,563168,90,2,1,14,561921,1
0,12897,5,0,0,24,11857,1
0,878597,143,11,0,14,877761,0
1,2640,172,2,1,33,1327,0
0,2089274,125,24,0,18,2088630,1
0,384191,37,14,0,4,383100,0
0,323886,161,25,0,11,323095,1
0,571633,48,11,0,7,570836,0
0,684782,58,29,0,19,683826,0
0,914563,157,26,0,18,913814,0
0,31139,62,22,0,48,29922,0
1,1247221,180,2,1,17,1246121,0
0,1222996,107,16,0,19,1222181,1
0,297062,81,22,0,14,295851,0
0,1049347,134,15,0,14,1048619,0
0,36628,46,23,0,28,35402,1
1,1131697,171,2,1,19,1130438,1
0,31870,222,11,0,37,31118,0
1,295086,101,2,1,12,293887,1
0,946792,6,22,0,14,945539,1
1,2901,221,2,1,36,1762,0
0,1639752,124,19,0,17,1638709,0
0,644758,118,25,0,6,643769,0
0,17814,236,28,0,80,16873,1
0,826530,12,18,0,18,825718,1
0,335,10,0,0,25,3,0
1,7239,184,2,1,0,5971,1
1,41030,153,2,1,68,39978,0
0,19059,168,11,0,72,18244,0
0,1188618,194,30,0,14,1187623,0
0,1745136,192,16,0,19,1744339,0
1,2521,109,2,1,58,1283,1
0,250812,146,22,0,15,249592,0
0,731234,57,11,0,19,730422,0
0,1075329,3,1,0,14,1075195,1
1,137805,160,2,1,12,136807,0
0,492438,202,22,0,14,491209,0
0,1604402,189,17,0,18,1603254,0
0,11189,50,23,0,46,10047,1
1,13960,13,2,1,26,13361,1
0,39296,63,22,0,48,38151,0
0,375903,35,20,0,4,374896,1
0,12268,237,22,0,81,10958,0
0,2097143,191,11,0,19,2096334,1
0,13009,154,23,0,68,11804,0
0,550504,49,11,0,7,549704,0
0,11743,224,11,0,37,10985,1
1,556235,173,2,1,1,555144,0
0,1165493,230,11,0,15,1164663,0
1,381597,14,2,1,10,380962,0
0,9178,76,11,0,29,8375,1
0,2165485,186,24,0,18,2164835,1
1,41345,80,32,1,30,40839,0
1,29968,166,2,1,72,28721,0
0,358168,103,24,0,18,357524,0
1,517373,21,2,1,14,516597,1
0,37518,31,11,0,27,36670,0
0,1588977,123,30,0,17,1588012,0
0,1147481,177,7,0,17,1146423,1
0,15379,219,11,0,78,14528,0
0,77977,41,11,0,3,77144,0
0,658646,91,11,0,14,657867,0
0,3650,150,6,0,65,2478,1
1,551759,89,2,1,14,550737,1
1,35179,44,2,1,13,34406,1
0,614,51,0,0,46,222,1
1,1921338,127,2,1,18,1920505,1
1,287088,100,2,1,12,285889,1
0,1173402,231,18,0,15,1172566,0
0,37248,167,23,0,72,35989,1
1,55904,32,2,1,27,55386,1
1,1887968,129,2,1,18,1886823,0
0,432927,247,14,0,5,431740,0
0,13082,113,0,0,60,12327,1
0,386514,175,22,0,15,385279,0
0,832741,210,22,0,14,831566,0
0,28969,25,1,0,40,28568,0
0,738,2,0,0,22,1,0
0,5008,9,11,0,25,4142,0
0,227094,18,1,0,12,226831,1
0,14090,64,22,0,48,12945,0
0,1026,225,0,0,79,841,1
0,1863,104,18,0,57,1015,0
0,2029082,19,22,0,19,2027874,1
1,445921,17,2,1,4,445157,0
0,251858,20,0,0,14,251211,0
0,1022329,213,18,0,14,1021526,1
0,23025,136,0,0,63,22318,0
0,1675,215,11,0,34,854,1
1,26635,165,33,1,72,25832,0
