Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Orthologous_Gene,Genomic_Start_Position
1,1662950,13,13,17,17,1661937
0,384182,75,75,7,13,382887
0,1957918,57,57,19,52,1956215
0,740372,23,23,15,22,739299
1,1356346,48,48,19,29,1354634
0,401051,45,45,6,1,400292
0,545819,22,22,15,25,544815
0,807440,72,72,13,37,806025
0,120630,14,14,3,50,119065
0,2350,5,5,25,6,965
1,183296,63,63,4,5,181743
1,96204,71,71,37,6,95182
1,2122182,2,2,19,13,2120788
0,434782,74,74,7,35,433358
1,373406,51,51,20,26,371496
1,276965,34,34,2,12,276033
1,2133734,55,55,18,0,2133172
0,1720929,30,30,17,2,1719919
0,802557,79,79,12,27,801154
0,432759,19,19,9,8,431323
0,428550,44,44,6,42,427162
0,406809,78,78,19,18,405529
0,423414,18,18,9,34,422794
0,488962,26,26,2,43,488378
1,603942,61,61,15,25,602953
1,649350,3,3,19,24,647746
1,1053526,27,27,19,14,1052240
0,428424,40,40,7,54,427006
0,532018,81,81,6,38,530630
0,6897,4,4,24,21,5479
0,413826,41,41,7,28,412408
1,1480218,11,11,19,55,1478512
0,1111176,69,69,16,15,1109698
0,168069,0,0,5,9,166519
0,406516,39,39,7,13,405110
1,5338,43,43,1,23,4406
0,461547,46,46,6,42,460189
1,21584,9,9,11,49,19890
0,489416,6,6,2,43,489063
0,3277,17,17,21,31,1805
1,375903,7,7,2,4,374896
0,445437,42,42,19,11,444157
1,464293,20,20,9,48,462872
1,5790,24,24,29,33,4375
1,17774,66,66,23,47,16488
0,1623870,29,29,17,44,1622425
0,1178108,70,70,16,3,1176633
0,1206373,50,50,19,11,1204937
0,915863,35,35,15,22,915636
1,10843,64,64,34,51,9875
0,2077637,31,31,18,40,2076276
1,161,65,65,35,39,3
0,4346,59,59,32,7,2898
0,411951,36,36,14,29,410611
0,1613551,56,56,18,23,1612028
1,486119,28,28,16,15,484647
1,21672,12,12,28,20,20227
1,848504,1,1,18,25,847224
1,1885991,15,15,19,29,1884423
0,229325,58,58,8,45,227910
0,42175,60,60,33,47,40730
0,1861827,33,33,18,10,1860490
1,2138530,54,54,18,23,2137184
1,6645,68,68,36,19,5179
0,401095,21,21,10,3,399644
0,440871,73,73,7,28,439477
0,129767,80,80,0,32,128835
1,1181813,53,53,17,46,1181490
0,377047,76,76,7,41,375671
1,407538,25,25,0,30,407386
0,395492,77,77,7,9,394080
0,19699,10,10,27,16,17999
0,1461,38,38,31,36,1
0,1673448,16,16,19,29,1672462
1,56906,8,8,26,53,55425
0,5370,62,62,22,47,3925
0,587224,82,82,6,15,585836
0,1876953,32,32,18,0,1875676
1,1345315,49,49,19,29,1343381
0,385849,47,47,6,42,384458
0,18574,37,37,30,8,17966
0,1142020,52,52,17,44,1140743
1,39044,67,67,36,9,37485
