Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Location,Orthologous_Gene,Genomic_Start_Position
1,7608,43,43,90,100,6745
0,326018,104,104,22,117,323649
0,476915,38,38,3,15,476025
1,346408,206,206,61,52,346178
0,216862,126,126,55,144,214952
1,80177,231,231,13,144,78453
1,8014,86,86,10,94,5234
1,557,93,93,106,64,3
1,74182,14,14,21,75,73355
1,346850,205,205,61,87,346512
0,890682,192,192,36,101,889150
0,1130987,148,148,42,95,1130442
0,2216,42,42,89,11,1884
1,56787,223,223,64,78,55507
1,45867,21,21,44,57,45670
0,929,176,176,129,139,3
1,9109,154,154,27,122,6119
1,35665,152,152,27,122,33647
0,223303,157,157,24,35,221369
1,30441,197,197,132,89,27628
0,1839347,132,132,53,77,1836461
1,71748,33,33,52,26,71398
0,122795,36,36,8,67,121053
0,1122061,146,146,42,111,1121249
1,216652,230,230,26,133,216302
1,33312,81,81,38,129,32212
1,17807,29,29,41,7,16818
1,215357,64,64,25,7,214062
0,543960,138,138,6,107,542011
1,23503,235,235,5,90,21764
1,57738,224,224,64,59,56893
0,870832,54,54,32,30,869711
0,615828,188,188,24,35,612868
0,3521,177,177,85,23,564
0,640889,124,124,14,116,638082
1,119855,183,183,7,12,118959
0,351059,66,66,58,105,348930
1,4441,71,71,51,140,1115
0,218,156,156,123,47,3
0,578507,189,189,24,65,577500
0,835,4,4,88,104,1
1,12423,128,128,25,61,10753
1,100170,26,26,13,144,98553
1,76293,27,27,59,20,74227
1,17384,125,125,115,63,15111
1,395,202,202,86,15,3
0,1444050,22,22,46,110,1442287
0,229154,239,239,7,136,227562
1,64517,123,123,59,24,64071
0,747484,169,169,30,134,746714
1,58454,115,115,45,108,55821
0,10805,108,108,112,141,10074
0,706956,37,37,27,122,704473
0,4265,68,68,100,130,3411
1,8105,61,61,97,100,5802
1,42976,228,228,39,137,42014
0,157631,186,186,50,37,157230
1,7838,216,216,135,21,7741
0,794,8,8,66,46,3
1,1231,13,13,73,102,899
0,51751,109,109,21,75,49106
0,2332647,200,200,54,93,2330257
1,114401,65,65,60,74,112584
1,41471,158,158,54,93,39177
0,1415811,19,19,46,97,1415230
1,6985,84,84,103,61,4031
1,46358,94,94,15,30,44298
0,1129891,147,147,42,8,1128836
0,535,6,6,65,15,1
0,11717,178,178,130,124,11061
0,1338938,195,195,46,110,1337487
1,36096,30,30,37,135,35452
1,56420,159,159,54,1,55923
1,20561,121,121,40,15,20007
0,2400,168,168,126,33,211
0,3058,140,140,120,42,647
1,33980,166,166,53,77,31590
0,358301,174,174,57,56,355485
0,202126,78,78,58,112,201683
1,83691,198,198,2,59,83233
0,1034156,75,75,38,18,1031220
1,393196,83,83,48,127,390821
0,368350,51,51,57,86,367493
1,66037,96,96,42,123,63011
0,877,16,16,76,38,2
0,1381,105,105,110,40,2
0,1153652,149,149,42,123,1152030
1,33975,35,35,26,133,32362
1,47107,232,232,13,85,46339
1,25397,153,153,27,121,23602
0,2035,130,130,118,6,1445
0,921959,67,67,35,80,919047
1,282,119,119,84,50,1
0,903359,162,162,53,77,902475
0,3364,172,172,128,46,1112
0,8634,62,62,98,3,6310
0,6051,112,112,83,45,3256
0,88109,220,220,24,65,87465
0,147,10,10,67,10,1
1,36817,151,151,27,121,35931
1,15156,24,24,78,27,14362
1,944659,163,163,53,77,941918
0,513917,237,237,5,3,513297
1,24472,190,190,14,53,23342
1,46075,233,233,13,144,44094
0,1050263,160,160,47,91,1049748
1,1991,180,180,131,118,321
1,7580,89,89,104,26,6150
0,317768,194,194,54,1,315381
0,581031,238,238,19,55,580762
1,10942,201,201,30,9,10619
0,929,17,17,74,41,492
0,6341,63,63,99,143,3546
1,28634,143,143,17,138,28311
0,392192,107,107,28,125,389835
1,2270,60,60,96,60,1968
0,629366,209,209,46,110,627348
0,609376,208,208,11,74,606950
1,2735,217,217,136,14,1362
1,4117,225,225,47,32,1346
0,6226,11,11,68,36,4295
0,481120,110,110,0,82,478592
0,215,5,5,117,39,3
1,2208,145,145,121,69,1
0,857583,111,111,32,88,854629
0,4959,102,102,109,2,2632
1,38673,92,92,105,38,38134
1,2184398,88,88,54,1,2181870
0,821170,101,101,30,6,818471
1,46181,185,185,14,53,45609
0,703894,116,116,22,18,701207
0,2029693,141,141,51,83,2028950
1,4564,46,46,92,0,2810
1,1582,12,12,70,13,692
0,3052,58,58,95,66,605
0,498493,236,236,5,3,497942
0,6017,221,221,138,76,3066
1,4965,127,127,116,132,2173
0,585603,191,191,12,92,583600
1,2706,90,90,82,84,1
1,89160,184,184,3,15,86623
0,475584,98,98,42,123,473026
1,101201,25,25,13,85,100433
1,6087,15,15,71,120,4936
0,1639600,199,199,53,77,1637255
1,1686,2,2,75,131,1
1,10351,179,179,131,22,7736
0,1399795,23,23,46,21,1397420
0,699100,73,73,23,142,696140
1,17833,31,31,46,22,17345
1,612,72,72,43,124,103
0,32383,203,203,133,43,29822
1,69602,85,85,4,86,68706
1,71222,129,129,25,7,69540
0,18217,120,120,114,12,15659
0,57820,34,34,24,65,56951
1,73875,212,212,17,78,71692
0,5666,171,171,127,128,3972
0,267665,226,226,53,4,267153
0,578251,165,165,16,29,576644
0,1121147,215,215,42,8,1120731
0,583,161,161,124,108,2
1,2783,39,39,80,99,909
1,67398,222,222,52,6,66466
0,453362,133,133,11,16,452610
0,11981,106,106,111,28,9216
0,935665,193,193,36,62,933350
0,772241,49,49,26,133,769332
0,228,18,18,74,49,1
1,2248,20,20,77,34,1520
1,74451,229,229,15,30,72187
1,3080,56,56,93,129,735
0,45115,204,204,134,98,42281
1,2190,100,100,108,57,1
0,922,9,9,67,19,412
0,521339,136,136,6,128,518895
0,612431,134,134,17,138,611934
0,783875,69,69,29,58,783721
0,24991,117,117,113,81,22313
1,1238,214,214,87,76,288
1,4197,150,150,122,13,3526
1,1066,0,0,69,103,947
0,1161359,95,95,53,77,1159086
1,63967,211,211,17,138,63425
0,8168,50,50,81,15,5343
0,1842055,210,210,49,71,1840004
1,40883,52,52,63,109,38052
1,9729,91,91,82,25,7402
0,17064,79,79,101,2,15238
0,521580,40,40,2,59,519241
1,207218,122,122,35,80,204852
1,34273,7,7,20,68,33176
1,957,170,170,46,21,103
0,504842,74,74,1,29,502038
1,45868,114,114,45,73,44981
1,18211,55,55,34,106,15392
0,112160,87,87,18,146,109194
0,752571,48,48,26,133,750136
0,1411,1,1,72,119,1097
0,630925,173,173,13,85,630173
1,35958,41,41,29,1,35374
0,587282,70,70,19,73,586959
0,617,57,57,94,5,1
0,478396,137,137,6,128,477242
0,822273,213,213,27,122,821002
1,28437,219,219,54,115,25624
0,4194,218,218,137,124,3232
1,16367,32,32,46,21,13620
1,13228,196,196,132,89,10472
1,1874,59,59,96,48,3
0,640440,118,118,20,96,637990
1,963,77,77,19,114,103
0,184333,76,76,56,48,183608
0,382722,103,103,62,51,380155
