Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Chromosome_Location,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation,Host_Taxon
0,691121,78,26,1,0,45,690219,0,7
0,13686177,101,58,1,0,6,13681198,0,8
1,243279,51,20,3,1,30,239581,1,7
0,68272,3,3,1,0,7,58754,0,3
1,429433,60,11,3,1,17,427442,0,7
1,350186,25,19,3,1,12,346785,1,7
0,66842,1,1,1,0,4,57327,0,1
1,335949,42,13,3,1,40,332707,0,7
0,691157,94,25,1,0,47,690288,0,7
1,2438,54,48,3,1,32,6,1,7
1,66045,92,31,3,1,46,62704,1,7
1,515535,65,11,3,1,10,511714,0,7
1,1065895,86,28,3,1,9,1062773,0,7
1,213136,66,13,3,1,55,209912,0,7
1,523896,83,19,3,1,25,520486,1,7
0,682558,13,25,1,0,51,680154,0,7
1,9411,30,35,3,1,20,5572,0,7
0,13341943,99,4,2,0,40,13338355,0,6
1,75404,53,24,3,1,40,71586,1,7
1,74860,88,55,3,1,38,71606,1,7
0,5300473,98,4,1,0,7,5299394,0,6
0,15212101,100,4,2,0,28,15211018,0,6
0,683957,10,25,2,0,0,682659,0,7
1,259348,93,14,3,1,11,255518,0,7
1,2692,73,51,3,1,32,2,0,7
1,605221,46,15,3,1,39,603080,0,7
1,2082,75,36,3,1,36,1,0,7
0,66669,0,0,1,0,2,58960,0,0
1,608315,33,20,3,1,45,604602,1,7
0,1167562,7,7,1,0,55,1158722,0,5
0,681513,79,26,2,0,26,680680,0,7
1,1109524,77,27,3,1,50,1105571,1,7
1,300213,44,19,3,1,12,298375,0,7
1,337613,96,20,3,1,23,336009,1,7
1,45188,12,18,3,1,27,41949,1,7
1,581064,64,11,3,1,10,577246,0,7
1,142018,89,55,3,1,19,138758,0,7
1,602157,20,17,3,1,13,598276,0,7
1,1379419,39,30,3,1,34,1376159,1,7
1,469174,16,9,3,1,24,465341,0,7
1,458499,82,19,3,1,12,454699,1,7
1,506172,35,28,3,1,25,503089,1,7
1,7274,21,41,3,1,10,4287,1,7
1,22348,47,45,3,1,42,18539,1,7
1,469188,90,10,3,1,49,465982,0,7
1,430849,59,11,3,1,17,429539,0,7
1,53929,26,34,3,1,48,50219,0,7
0,3249490,5,6,1,0,5,3247895,1,4
1,605437,63,11,3,1,17,602729,1,7
1,250445,45,19,3,1,15,248646,0,7
1,956510,84,27,3,1,52,952710,1,7
1,5940,17,38,3,1,6,2836,1,7
1,89728,24,8,3,1,44,86798,1,7
1,1287934,38,30,3,1,31,1284098,1,7
1,37473,49,47,3,1,9,33883,1,7
1,12430,56,49,3,1,26,10808,0,7
1,1219117,102,57,3,1,14,1216267,0,8
1,377243,97,20,3,1,45,373542,1,7
1,10865,76,53,3,1,23,9594,1,7
1,24589,81,20,3,1,45,20873,1,7
1,19296,41,43,3,1,21,16819,0,7
1,1054897,58,23,3,1,44,1051832,0,7
0,8248,8,56,1,0,1,38,1,7
1,1056376,80,29,3,1,8,1052489,0,7
1,13394,85,54,3,1,12,10149,1,7
1,65270,55,32,3,1,29,61929,1,7
1,337509,70,19,3,1,12,335044,0,7
1,233680,61,21,3,1,14,230456,1,7
1,788786,11,31,3,1,16,784983,1,7
1,296568,95,20,3,1,45,292768,1,7
1,1671383,23,30,3,1,31,1667499,1,7
1,11129,48,46,3,1,5,7485,1,7
1,80768,62,21,3,1,14,77490,1,7
1,31420,91,28,3,1,9,29030,1,7
1,507690,37,16,3,1,37,504439,0,7
1,26933,87,55,3,1,38,23172,1,7
1,280505,28,21,3,1,14,278556,1,7
1,81642,29,25,3,1,41,72760,1,7
1,7843,43,44,3,1,33,4586,1,7
1,248545,71,19,3,1,12,245762,0,7
1,643039,72,15,3,1,35,641519,0,7
1,50200,57,50,3,1,19,46979,1,7
0,1413533,6,5,1,0,3,1404693,0,4
1,587652,32,20,3,1,45,583996,1,7
1,43248,36,12,3,1,26,39526,1,7
0,3247776,4,6,1,0,3,3246661,1,4
1,247107,67,13,3,1,40,243913,0,7
1,8539,19,40,3,1,53,4712,0,7
1,4154,15,37,3,1,15,495,1,7
1,1529406,69,30,3,1,31,1525576,1,7
1,49886,74,52,3,1,29,46212,1,7
1,1372594,34,27,3,1,50,1368890,0,7
1,1448442,40,30,3,1,31,1444648,0,7
1,1217402,68,30,3,1,22,1214406,0,7
0,68055,2,2,1,0,3,58540,0,2
0,6687,14,12,0,0,54,6370,1,7
1,250771,50,22,3,1,52,246869,1,7
1,654188,52,27,3,1,50,650496,0,7
1,25042,31,42,3,1,21,22061,0,7
1,444498,22,11,3,1,10,440737,1,7
1,3051,9,33,3,1,43,1,0,7
1,446032,27,20,3,1,45,442286,1,7
1,22025,18,39,3,1,18,18780,1,7
