Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Chromosome_Location,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation,Host_Taxon
1,654188,51,28,3,1,53,650496,0,7
1,1056376,78,30,3,1,8,1052489,0,7
1,296568,95,20,3,1,49,292768,1,7
0,68272,3,3,1,0,7,58754,0,3
1,429433,59,11,3,1,18,427442,0,7
1,458499,79,19,3,1,12,454699,1,7
0,66842,1,1,1,0,4,57327,0,1
1,335949,41,13,3,1,43,332707,0,7
0,681513,76,27,2,0,26,680680,0,7
1,12430,55,51,3,1,26,10808,0,7
1,788786,12,33,3,1,17,784983,1,7
1,515535,64,11,3,1,10,511714,0,7
0,13686177,101,61,1,0,6,13681198,0,8
1,213136,65,13,3,1,57,209912,0,7
1,558080,81,19,3,1,25,554382,1,7
0,683957,10,26,2,0,0,682659,0,7
1,11747,61,38,3,1,18,8811,1,7
0,13341943,99,4,2,0,43,13338355,0,6
1,81642,29,26,3,1,45,72760,1,7
1,142018,86,57,3,1,20,138758,0,7
0,5300473,98,4,1,0,7,5299394,0,6
0,15212101,100,4,2,0,28,15211018,0,6
0,691157,93,26,1,0,51,690288,0,7
1,259348,91,14,3,1,11,255518,0,7
1,49886,72,54,3,1,29,46212,1,7
1,605221,45,15,3,1,42,603080,0,7
1,4154,14,39,3,1,16,495,1,7
0,66669,0,0,1,0,2,58960,0,0
1,1219117,102,60,3,1,15,1216267,0,8
0,1167562,7,7,1,0,57,1158722,0,5
0,682808,75,27,1,0,39,681615,0,7
1,1372594,33,28,3,1,53,1368890,0,7
1,302144,68,19,3,1,12,300315,0,7
1,377243,97,20,3,1,49,373542,1,7
1,55820,11,18,3,1,27,54921,1,7
1,581064,63,11,3,1,10,577246,0,7
1,44223,87,58,3,1,33,37483,0,7
1,602157,19,17,3,1,14,598276,0,7
1,1448442,38,32,3,1,33,1444648,0,7
1,469174,16,9,3,1,24,465341,0,7
1,523896,80,19,3,1,25,520486,1,7
1,1065895,83,29,3,1,9,1062773,0,7
1,5940,30,44,3,1,37,2119,1,7
1,11129,47,48,3,1,5,7485,1,7
1,469188,88,10,3,1,52,465982,0,7
1,430849,58,11,3,1,18,429539,0,7
1,1515,26,37,3,1,58,1,1,7
0,3249490,5,6,1,0,5,3247895,1,4
1,605437,62,11,3,1,18,602729,1,7
1,300213,43,19,3,1,12,298375,0,7
1,1109524,74,28,3,1,53,1105571,1,7
1,22025,17,41,3,1,19,18780,1,7
1,89728,24,8,3,1,48,86798,1,7
1,1359008,39,32,3,1,22,1356018,0,7
1,2438,53,50,3,1,34,6,1,7
1,1560,56,52,3,1,44,1,0,7
1,796455,94,21,3,1,13,792637,0,7
1,446032,27,20,3,1,49,442286,1,7
1,8619,77,56,3,1,31,6454,1,7
1,243279,50,20,3,1,30,239581,1,7
1,7843,42,46,3,1,36,4586,1,7
1,75404,52,25,3,1,43,71586,1,7
0,8248,8,59,1,0,1,38,1,7
1,1708705,69,31,3,1,5,1705583,1,7
1,26933,84,57,3,1,41,23172,1,7
1,3051,9,35,3,1,47,1,0,7
1,350186,25,19,3,1,12,346785,1,7
1,280505,28,22,3,1,15,278556,1,7
1,65270,54,34,3,1,29,61929,1,7
1,337613,96,20,3,1,23,336009,1,7
1,66045,90,33,3,1,50,62704,1,7
1,37473,48,49,3,1,9,33883,1,7
1,233680,60,22,3,1,15,230456,1,7
1,506172,34,29,3,1,25,503089,1,7
1,507690,36,16,3,1,40,504439,0,7
1,74860,85,57,3,1,41,71606,1,7
1,250771,49,23,3,1,54,246869,1,7
0,680050,92,26,2,0,0,678353,0,7
1,22348,46,47,3,1,46,18539,1,7
1,250445,44,19,3,1,16,248646,0,7
1,643039,70,15,3,1,38,641519,0,7
1,2692,71,53,3,1,34,2,0,7
0,1413533,6,5,1,0,3,1404693,0,4
1,608315,32,20,3,1,49,604602,1,7
1,43248,35,12,3,1,26,39526,1,7
0,3247776,4,6,1,0,3,3246661,1,4
1,247107,66,13,3,1,43,243913,0,7
1,7274,20,43,3,1,10,4287,1,7
1,4357,15,40,3,1,32,527,1,7
1,1671383,23,32,3,1,33,1667499,1,7
1,10865,73,55,3,1,23,9594,1,7
1,31420,89,29,3,1,9,29030,1,7
1,1529406,67,32,3,1,33,1525576,1,7
1,1287934,37,32,3,1,33,1284098,1,7
0,68055,2,2,1,0,3,58540,0,2
0,6687,13,12,0,0,56,6370,1,7
1,1054897,57,24,3,1,48,1051832,0,7
1,956510,82,28,3,1,54,952710,1,7
1,19296,40,45,3,1,21,16819,0,7
1,444498,22,11,3,1,10,440737,1,7
1,1690,21,36,3,1,35,2,0,7
1,587652,31,20,3,1,49,583996,1,7
1,8539,18,42,3,1,55,4712,0,7
