Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Chromosome_Location,Encoded_Protein,Gene_Type,Genomic_Start_Position,Strand_Orientation
1,1474,50,39,9,1,24,0
1,34744,158,11,9,1,33178,0
0,4776857,71,14,8,0,4776225,1
0,673514,116,13,7,0,671973,1
1,192280,162,11,9,1,190928,0
1,2991723,155,11,9,1,2990299,1
0,98113,62,14,11,0,96665,1
0,234927,105,13,7,0,233464,1
0,28198,37,31,7,0,26588,0
1,117932,4,16,9,1,116413,1
1,194108,16,18,9,1,192547,1
1,45373,137,10,9,1,43850,0
0,1673892,128,7,0,0,1672390,1
1,56811,2,16,9,1,55260,1
1,34085,99,13,11,1,32568,0
1,13747,44,34,10,1,12274,0
1,4722977,91,15,9,1,4721453,1
1,55488,41,32,9,1,53963,1
1,6514,23,23,9,1,4976,1
1,1182456,119,4,9,1,1180816,1
1,397,21,21,9,1,120,0
1,268059,141,11,9,1,266604,0
0,1338858,64,14,8,0,1337821,0
0,140801,161,11,7,0,139203,0
0,3300734,68,14,7,0,3299619,0
1,147206,101,13,9,1,145692,1
0,4874210,75,14,7,0,4872705,1
1,54617,121,5,9,1,53031,0
1,1134,48,38,9,1,394,1
1,5469370,56,14,9,1,5468462,0
0,4658068,88,15,7,0,4656557,0
1,189308,103,13,9,1,187760,0
1,147872,14,18,9,1,146312,1
0,4811681,74,14,7,0,4810350,1
1,43444,100,13,12,1,41978,0
1,4055896,83,12,9,1,4054376,0
0,26455,58,14,11,0,24893,1
1,87159,61,14,11,1,85747,1
1,2653794,144,11,9,1,2652725,1
1,3085393,156,11,9,1,3083824,1
0,96632,122,5,7,0,95058,0
1,1587516,123,6,9,1,1585925,1
0,4967327,78,14,7,0,4966602,1
1,4097911,86,12,9,1,4096637,0
1,4785610,92,15,6,1,4785032,1
1,1565211,133,8,9,1,1563723,1
1,926246,63,14,13,1,924816,1
0,4542881,69,14,7,0,4541535,0
1,2900714,152,11,9,1,2899262,1
0,31216,38,32,8,0,29741,1
0,593688,113,13,7,0,592108,1
1,135030,13,18,9,1,133507,0
1,13271,46,36,9,1,11830,0
0,2161844,66,14,7,0,2161053,0
0,138222,160,11,8,0,136702,0
1,32771,49,38,9,1,31464,0
