Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,1160395,347,347,1,22,1159709
0,18293,404,404,1,95,17649
0,7200,134,134,0,45,6637
0,55025,359,359,0,83,54438
0,1464254,88,88,0,28,1463646
1,494817,203,203,0,23,494134
0,2016292,329,329,0,27,2015537
0,9057,388,388,0,90,8128
0,4555,132,132,0,64,3962
0,683253,98,98,0,28,682675
0,844685,368,368,1,22,844098
0,112468,401,401,1,94,111971
0,4870,340,340,0,78,4217
0,2682,264,264,0,76,1954
1,163066,8,8,0,8,162521
0,1955674,332,332,0,28,1955171
1,756041,99,99,0,28,755460
1,1368555,309,309,0,28,1367977
1,1487064,92,92,0,28,1486369
1,44362,301,301,1,15,43754
0,265007,258,258,0,23,264339
0,128464,416,416,0,14,128075
1,1921473,108,108,0,28,1920904
0,458814,352,352,0,17,458125
0,316703,371,371,0,16,316059
0,548591,226,226,0,19,548190
0,1604078,116,116,0,28,1603452
0,85370,62,62,0,58,84681
0,17407,261,261,0,74,16820
0,1033564,298,298,0,18,1032920
0,1738968,28,28,1,27,1738420
1,6677,379,379,0,86,6162
1,278070,222,222,0,3,277438
0,1731530,336,336,0,28,1730895
0,477620,206,206,0,6,476973
0,567879,381,381,0,20,567310
0,10321,126,126,0,61,9749
0,1686468,112,112,0,28,1685914
0,7629,230,230,0,70,6979
0,1645,356,356,0,83,1004
1,376974,56,56,0,3,376393
1,807869,25,25,1,27,807330
1,426818,137,137,0,4,426186
1,39701,53,53,0,57,39237
0,307213,259,259,0,23,306524
1,782,47,47,0,54,129
1,1132814,317,317,0,28,1132212
1,36247,73,73,0,15,35642
1,170789,69,69,0,14,170208
1,717564,270,270,0,27,716974
1,1637787,114,114,0,28,1637185
0,487905,170,170,0,3,487330
1,628319,184,184,1,13,627354
0,1932015,107,107,0,28,1931470
0,2027,40,40,0,52,1341
0,1743790,335,335,0,28,1743146
0,515441,207,207,0,6,514617
1,1118634,319,319,0,28,1117975
0,347837,18,18,1,3,347313
0,250738,323,323,0,3,250097
1,1579,3,3,0,34,1004
0,570400,77,77,0,7,569783
1,552848,145,145,0,22,552180
0,52129,265,265,0,76,51491
1,19103,380,380,1,86,18480
0,4829,257,257,0,73,4128
1,599763,233,233,0,10,598996
0,436400,12,12,0,16,435816
0,1148872,410,410,0,27,1148204
0,339516,225,225,0,3,338926
1,1581481,215,215,0,26,1580900
1,1081012,406,406,0,27,1080440
0,15668,344,344,0,79,15015
1,6518,304,304,0,1,5874
1,33001,20,20,0,14,32291
1,504309,428,428,1,4,503911
1,668902,149,149,0,22,668282
0,1995197,217,217,0,27,1994529
0,216763,322,322,0,3,216122
1,588625,157,157,1,4,587969
0,416038,383,383,0,31,415541
1,463493,101,101,1,0,462885
1,14001,394,394,0,92,13402
0,385637,21,21,1,22,384969
1,602338,320,320,0,6,601643
1,1845,389,389,0,91,1489
1,375081,122,122,0,12,374536
0,1473130,87,87,0,28,1472456
1,1134002,408,408,0,27,1133424
0,444695,32,32,0,3,444042
0,42175,386,386,0,88,41594
0,9261,128,128,0,62,8539
0,382637,58,58,0,3,382086
1,35038,303,303,0,1,34388
0,416102,247,247,0,16,415509
1,13194,349,349,1,81,12661
1,653543,84,84,0,11,652923
1,320021,423,423,0,4,319437
0,78452,300,300,0,15,77844
0,2893,384,384,0,87,2228
1,38888,80,80,0,14,38181
1,22995,305,305,0,14,22609
1,1066542,405,405,0,27,1065931
0,438865,351,351,0,17,438233
0,345916,154,154,0,16,345353
0,499409,366,366,1,22,498789
0,262228,38,38,0,22,261515
1,350824,414,414,0,14,350453
0,224418,167,167,0,17,223792
0,17055,49,49,0,56,16375
1,1049,284,284,0,48,204
1,807166,152,152,0,22,806492
1,874302,275,275,1,27,873739
1,281,10,10,0,36,3
0,16035,342,342,0,78,15472
1,311595,412,412,0,14,311224
1,6125,11,11,0,36,5631
0,578960,78,78,0,7,578253
0,1670681,29,29,0,27,1670067
0,544317,147,147,1,22,543658
0,285006,246,246,0,16,284026
0,482096,254,254,0,16,481446
0,16573,165,165,0,66,15977
0,1236,125,125,0,44,691
1,2152710,106,106,0,28,2152117
0,218124,166,166,0,17,217234
1,497850,295,295,0,10,497083
0,314714,123,123,0,12,314181
0,729959,96,96,0,28,729363
1,358436,278,278,0,14,358038
1,584282,133,133,0,10,583626
1,22696,74,74,0,15,22061
0,1261581,324,324,1,26,1260970
0,160801,403,403,0,94,160181
0,10872,104,104,1,60,10210
1,412598,280,280,0,30,411981
1,514088,294,294,0,10,513441
1,667099,4,4,0,10,666332
0,253563,288,288,0,16,252895
0,237931,286,286,0,16,237338
0,266589,177,177,0,17,265723
0,1078119,193,193,0,28,1077559
1,198335,43,43,0,10,197730
1,1243238,187,187,0,28,1242540
0,1176204,399,399,0,23,1175530
0,6197,387,387,0,89,5628
1,47042,81,81,0,14,46335
0,374682,42,42,0,28,374062
0,1420673,91,91,0,28,1420101
1,388432,195,195,0,29,388043
0,70633,60,60,0,58,70109
0,11230,374,374,0,49,10535
0,694973,307,307,0,27,694383
0,1677970,118,118,0,28,1677395
0,5761,375,375,0,50,5141
0,1886263,218,218,0,27,1885670
1,311313,422,422,0,4,310645
1,282372,174,174,0,14,281740
0,456160,321,321,0,23,455483
1,36542,385,385,0,88,35961
0,541203,103,103,0,6,540331
1,377041,363,363,0,12,376496
1,1142859,409,409,0,27,1142287
1,1481322,93,93,0,28,1480762
1,1306828,209,209,0,26,1306226
1,1739,6,6,0,33,1236
0,410649,141,141,0,14,410251
0,1587490,212,212,0,26,1586741
1,2442,285,285,0,48,1612
1,327963,424,424,0,4,327337
0,1411596,22,22,0,28,1410949
0,260483,178,178,0,17,259935
0,917604,274,274,0,27,916954
