Gene_Type,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,3818,117,70,2061,1
0,497232,50,1,497002,0
1,1220025,98,36,1218841,0
1,2356,7,44,188,0
1,553680,111,24,551527,1
1,17469,87,49,15220,0
0,551749,32,18,551012,0
1,160581,125,12,159610,1
1,17708,30,57,16425,1
1,802663,58,29,801878,0
1,501852,59,33,499696,1
1,1105132,106,32,1103840,1
1,590889,96,15,588715,1
1,2355697,100,38,2354525,0
1,5081,19,11,2874,1
1,2356776,6,38,2355799,0
1,1431,21,51,1,0
1,1193345,105,32,1191366,0
1,195717,5,7,194815,0
1,395040,110,24,392911,1
1,1058918,108,34,1056777,0
1,114991,85,3,114542,1
1,161676,78,12,160684,1
1,5239,49,60,3059,1
1,2942,34,58,882,1
1,603844,97,15,602780,1
1,18169,8,16,16115,1
1,508321,33,2,506186,0
1,32651,27,55,31587,1
1,646319,103,13,643902,0
1,346367,41,24,344166,1
1,2001346,64,37,1998842,0
1,705460,51,24,703286,0
1,203063,81,6,200871,0
1,5373,104,67,3175,0
1,80858,14,38,80019,1
1,53186,22,0,51024,0
1,18788,26,42,16752,1
1,5374,107,68,4073,1
1,305003,101,24,302736,0
1,194168,89,18,192141,0
1,605835,113,32,604711,1
0,302402,44,12,301785,1
1,628874,56,15,628374,1
1,1560715,16,38,1558235,1
1,141673,126,12,140918,1
1,38921,60,11,36609,1
0,352533,109,40,352018,1
1,879776,20,27,877512,0
1,229342,93,27,227192,1
1,6731,35,29,4560,1
1,628270,37,15,627785,1
0,875271,71,32,874933,0
1,53693,57,30,52560,1
1,1092022,122,37,1090076,1
1,122127,119,71,120202,0
1,2117,25,54,3,1
1,573072,94,18,571858,0
1,10034,9,45,9492,0
1,64228,75,22,62066,1
1,238993,67,25,236726,1
1,479217,79,14,477172,0
1,606833,36,38,604902,0
0,356850,24,41,356083,1
1,6331,18,50,3935,0
1,69895,4,22,67685,1
1,27802,123,73,25553,1
1,4270,23,52,3989,1
1,149082,120,71,147823,0
1,551317,83,19,549344,0
1,85717,39,3,84713,1
0,12912,3,43,12295,0
0,116089,76,2,115388,1
1,24063,90,66,21859,0
1,399746,92,19,397836,0
1,551038,38,15,548948,0
1,258202,88,27,255983,1
1,7513,2,26,7115,1
1,522056,129,14,520707,0
1,560632,53,18,560198,0
1,8796,43,4,6766,1
0,242101,45,17,241769,0
1,742170,80,24,739927,0
1,13846,12,46,12761,0
1,886828,77,37,884852,1
1,656983,70,32,654773,0
1,29812,132,28,28472,1
1,45873,86,65,43711,1
1,2323,66,62,1850,0
1,510087,17,32,508918,0
1,20468,95,5,18309,1
1,47761,116,70,45575,0
1,2179419,99,37,2176948,1
1,143770,130,8,141896,0
1,395811,48,21,393328,0
1,50190,28,56,48196,0
1,107570,31,10,105642,1
1,216636,68,25,214564,1
1,26356,42,59,24182,1
0,521,0,53,3,1
1,2747,84,64,2046,0
1,843337,63,23,841178,0
1,630544,13,19,630077,0
1,61722,124,37,61057,1
1,414917,91,19,412986,0
1,9794,121,72,7884,1
1,630340,40,20,629867,0
1,576256,1,18,575726,0
1,8315,11,32,7779,1
1,640806,112,10,638620,0
1,808511,73,19,806334,0
1,45587,118,71,43530,1
1,7341,15,47,5542,1
0,591642,55,15,591283,1
1,28251,115,69,27310,0
1,15656,47,1,13635,1
1,495949,82,19,493973,0
1,33070,65,61,31073,1
1,12118,52,48,9896,0
0,569,74,63,3,1
1,1428134,62,36,1426182,0
1,2001160,72,35,1999253,0
1,967593,54,38,965515,1
0,1157244,29,31,1157023,0
1,292285,128,25,290090,1
1,131468,102,39,129252,1
1,429,127,74,1,0
0,461012,69,10,460530,0
1,804175,46,24,801998,0
1,1718373,10,36,1716442,0
1,111044,131,9,109113,0
1,853635,114,32,852247,0
1,1375094,61,36,1372983,1
