Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
1,30,3818,117,1,69,2061
0,67,497232,53,0,1,497002
0,40,1362603,66,1,34,1360342
0,3,10034,9,1,43,9492
0,51,705460,54,1,23,703286
0,16,720,118,1,48,1
0,57,560632,57,1,17,560198
1,17,161676,78,1,12,160684
1,54,2942,37,1,56,882
1,4,53693,61,1,28,52560
0,69,1058918,108,1,32,1056777
0,17,1193345,105,1,30,1191366
1,21,591642,59,0,15,591283
0,60,2356776,5,1,36,2355799
1,66,38921,64,1,11,36609
1,27,82404,8,1,37,80149
0,46,3053,22,1,50,873
1,53,501852,63,1,31,499696
0,45,195717,4,1,7,194815
1,62,454212,111,1,23,451945
1,61,1166328,33,1,33,1164352
1,10,114991,84,1,3,114542
1,48,302402,48,0,12,301785
0,37,2832,56,1,59,619
1,32,26356,45,1,57,24182
1,47,628270,40,1,15,627785
1,22,60797,32,1,16,58671
0,59,508321,36,1,2,506186
1,9,29015,29,1,54,27780
0,40,479217,79,1,14,477172
1,62,395040,110,1,23,392911
1,63,2179419,100,1,35,2176948
0,62,742170,80,1,23,739927
0,39,203063,81,1,6,200871
1,20,9199,104,1,66,7001
0,13,606833,39,1,36,604902
0,68,53186,23,1,0,51024
0,49,12912,2,0,41,12295
1,2,5374,107,1,67,4073
1,62,346367,44,1,23,344166
0,64,551749,34,0,17,551012
0,38,656983,73,1,30,654773
1,20,81636,76,0,13,81217
1,1,18169,7,1,16,16115
0,13,2355697,101,1,36,2354525
1,65,160581,126,1,12,159610
0,4,610706,91,0,11,610452
1,53,356850,24,0,39,356083
1,1,246323,70,1,26,244452
1,42,258202,88,1,25,255983
0,2,802663,62,1,27,801878
1,47,628874,60,1,15,628374
1,38,1105132,106,1,30,1103840
0,33,1157244,30,0,29,1157023
0,63,2001346,68,1,35,1998842
0,42,122127,120,1,70,120202
1,67,32651,28,1,53,31587
0,57,576256,1,1,17,575726
0,1,13846,11,1,44,12761
1,15,69895,3,1,21,67685
1,6,292285,128,1,24,290090
0,40,522056,129,1,14,520707
1,60,967593,58,1,36,965515
1,30,18788,27,1,40,16752
0,38,1431,21,1,49,1
0,34,843337,67,1,22,841178
1,11,27802,124,1,72,25553
1,54,521,0,0,51,3
0,42,149082,121,1,70,147823
0,12,630544,12,1,18,630077
1,10,85717,42,1,3,84713
0,36,2356,6,1,42,188
1,14,116089,77,0,2,115388
0,20,5373,103,1,65,3175
0,12,414917,92,1,18,412986
1,47,590889,96,1,15,588715
0,31,879776,20,1,25,877512
1,42,16562,25,1,25,16113
0,18,551038,41,1,15,548948
0,56,573072,94,1,17,571858
1,49,8796,47,1,4,6766
0,56,194168,89,1,17,192141
0,51,804175,49,1,23,801998
1,23,7341,15,1,45,5542
1,63,1092022,123,1,35,1090076
0,17,853635,114,1,30,852247
1,2,6731,38,1,27,4560
0,5,24063,90,1,64,21859
1,28,569,75,0,61,3
1,17,605835,113,1,30,604711
1,25,20468,95,1,5,18309
0,30,47761,116,1,69,45575
1,60,80858,13,1,36,80019
0,43,143770,130,1,8,141896
1,19,40865,17,1,21,38190
1,5,17708,31,1,55,16425
0,8,393868,87,0,10,393167
1,50,238993,71,1,24,236726
1,24,5239,52,1,58,3059
1,52,2117,26,1,52,3
1,1,45873,85,1,63,43711
0,51,305003,102,1,23,302736
0,56,724179,14,1,18,722086
1,32,564263,35,1,35,562332
0,12,487684,132,1,18,485708
1,23,9794,122,1,71,7884
0,29,395811,51,1,20,393328
0,56,399746,93,1,18,397836
0,17,510087,18,1,30,508918
1,39,5081,19,1,11,2874
0,44,630340,43,1,19,629867
1,13,45587,119,1,70,43530
0,7,12118,55,1,46,9896
1,18,603844,97,1,15,602780
0,41,28251,115,1,68,27310
1,58,15656,50,1,1,13635
0,56,551317,82,1,18,549344
0,28,2323,69,1,60,1850
0,16,17469,86,1,47,15220
0,24,2747,83,1,62,2046
1,49,1525088,99,1,34,1523784
0,40,1220025,98,1,34,1218841
1,60,1560715,16,1,36,1558235
1,17,8315,10,1,30,7779
0,6,415880,46,1,24,413892
1,0,352533,109,0,38,352018
0,61,429,127,1,73,1
0,35,640806,112,1,10,638620
1,6,216636,72,1,24,214564
1,63,61722,125,1,35,61057
0,55,111044,131,1,9,109113
0,26,875271,74,0,30,874933
0,40,1428134,65,1,34,1426182
