Strand_Orientation,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
1,38,391137,85,1,8,389704
1,42,257891,48,0,8,256881
1,45,273888,84,0,9,272725
0,2,220225,37,1,13,218687
1,12,587198,69,0,3,585768
1,53,2377,103,0,23,1157
1,54,1381990,67,0,17,1381346
1,10,360740,118,0,9,359730
0,9,340298,28,0,8,339360
1,14,3259,101,1,34,2075
0,29,2882,65,1,22,2106
1,28,441837,112,1,2,440959
0,52,431585,89,0,8,430644
1,38,604409,96,1,8,603339
1,50,14514,79,0,31,13402
0,39,762518,23,0,17,761364
0,43,217615,120,1,6,216422
0,14,553985,24,0,3,552546
0,59,2612,3,0,19,1824
0,57,690506,66,1,16,689499
0,33,245389,39,0,13,244757
1,3,86161,13,0,26,85631
1,56,547086,18,0,11,545914
1,54,1253659,43,0,17,1252076
0,19,705562,22,0,17,704282
1,24,272650,49,0,8,271751
0,26,117411,119,1,0,116032
0,60,449733,1,0,13,448939
0,13,626457,20,0,16,625132
1,16,368482,27,0,8,367493
1,52,507159,92,0,8,506107
1,9,575815,95,0,8,574721
1,4,531481,17,1,11,530381
1,48,669822,42,1,16,668569
0,52,307709,75,0,8,306750
1,31,267266,50,1,8,266289
0,20,976612,61,0,16,975470
1,42,502004,91,0,8,500910
0,14,29669,78,0,31,28731
1,56,20974,80,1,32,19538
1,16,625575,98,0,8,624448
1,41,1127958,106,0,16,1127086
0,54,1798125,74,0,17,1796725
0,6,463276,59,1,12,461756
0,62,437122,86,0,8,436220
0,63,2899,108,1,36,1952
1,41,1973004,46,0,16,1972075
1,53,514925,15,0,11,513729
0,25,400165,2,0,14,399113
1,30,1027129,100,0,14,1026155
1,58,315559,117,0,9,315128
0,1,514203,113,0,2,514066
1,50,747400,60,0,16,746270
1,57,1905561,47,1,16,1904098
1,10,229688,53,0,9,228501
1,5,450224,88,0,8,449385
0,40,263994,8,0,14,262717
0,43,283947,38,1,13,282400
1,9,444750,87,0,8,443839
1,37,1855873,26,0,17,1854422
0,7,518865,114,0,2,517981
1,9,549818,99,0,8,548385
0,43,347997,34,1,12,346477
1,47,28060,81,0,32,27086
1,57,714,40,1,21,1
0,51,924009,56,1,14,922486
1,44,14110,51,1,29,13145
0,49,21643,52,0,30,20600
1,57,1564652,0,0,15,1564452
0,1,622717,35,0,2,621833
1,10,496985,115,0,4,495984
1,11,16755,12,0,20,15559
0,12,17420,32,0,28,16842
0,1,284733,111,0,2,283762
0,2,218013,31,0,7,216889
1,42,496221,90,0,8,495283
0,6,427442,57,1,12,425919
1,58,1562,19,0,27,393
0,34,514924,62,0,2,514307
1,17,19265,76,0,31,18156
1,50,1080003,105,0,16,1078741
0,36,67859,14,0,1,66546
1,18,523271,16,0,11,522144
1,45,318674,63,0,9,317781
0,55,2003523,73,0,16,2002453
1,45,235050,54,0,9,234100
1,54,1862763,25,0,17,1861267
1,24,617521,97,0,8,616619
1,48,2058209,7,0,17,2056686
1,3,64367,64,1,11,62844
0,43,25674,102,0,35,24613
0,33,493306,83,0,13,491759
0,8,317984,107,0,10,317091
1,35,1698039,4,0,15,1696570
1,42,515623,93,0,8,514700
1,45,579257,41,0,9,578298
0,28,1593162,44,0,15,1591861
1,10,212824,55,0,9,211883
1,61,1556126,72,0,15,1554660
1,16,220328,29,0,8,219990
1,45,437723,33,0,9,436782
0,27,3154,82,0,33,2129
1,22,48657,10,0,24,47974
1,62,489099,94,0,8,488107
0,15,24337,77,0,31,23213
1,21,546194,70,1,0,544968
1,10,288343,116,0,9,287549
0,0,9331,11,0,25,7841
1,57,1706820,5,1,16,1705558
1,41,1056372,104,0,16,1055425
0,54,1505678,21,0,17,1504257
0,57,1263503,71,0,15,1262121
0,59,213667,36,0,13,212129
1,23,381686,68,1,18,380409
0,46,8433,109,0,36,7429
1,42,212508,30,0,8,211570
0,6,400752,58,1,12,399232
0,41,1977944,45,0,16,1976967
1,17,197165,9,0,5,196203
0,32,319749,110,0,16,318496
0,32,1679690,6,0,16,1678407
