Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation,Host_Taxon
0,0,16460955,213,206,6,0,43,16457260,0,9
0,0,138161,119,112,22,0,26,134502,0,6
0,0,203930,66,61,19,0,17,200193,0,5
0,0,4553753,46,0,6,0,23,4549992,0,5
0,0,4840,0,6,27,0,1,914,1,0
0,0,9582610,175,168,6,0,13,9579467,1,7
0,0,334096,70,65,19,0,17,330365,0,5
0,0,3840387,88,81,19,0,30,3836677,0,6
0,0,1195742,53,5,1,0,15,1191876,1,5
0,0,8313586,171,164,6,0,13,8309909,0,7
0,0,1910663,203,196,19,0,43,1906803,0,9
0,0,1668281,29,32,19,0,22,1666599,0,5
0,0,2060217,125,118,31,0,28,2056039,0,6
0,0,4813930,142,135,6,0,8,4810370,0,7
0,0,65541,112,105,19,0,25,61918,1,6
0,0,2103880,130,123,6,0,29,2100152,0,6
0,0,10589213,180,173,6,0,13,10585548,0,7
0,0,4340768,36,39,19,0,22,4339005,0,5
0,0,83566,55,50,32,0,16,79856,1,5
0,0,20151480,214,207,20,0,43,20150096,1,9
0,0,10591984,181,174,7,0,13,10589706,0,7
0,0,44719,19,18,27,0,6,40601,1,4
1,0,11229,116,109,17,1,26,7763,1,6
0,0,239685,17,16,12,0,5,237098,0,4
0,0,4000548,153,146,6,0,13,3997084,1,7
0,0,2481188,85,79,19,0,19,2479680,0,5
0,0,11959711,183,176,7,0,13,11956169,0,7
0,2,12656039,185,178,7,0,13,12654074,1,7
0,0,338864,71,66,19,0,17,335124,0,5
0,0,10008881,178,171,7,0,13,10006623,0,7
0,0,3815,91,84,4,0,31,90,1,6
0,0,628721,41,43,19,0,21,624993,1,5
0,0,47239,3,9,29,0,1,43805,1,0
0,0,4278879,154,147,6,0,13,4275136,1,7
0,0,4939976,157,150,6,0,13,4936233,1,7
0,0,154797,63,58,19,0,17,150979,0,5
0,0,587534,136,129,33,0,38,585909,0,8
0,0,4522804,37,40,19,0,22,4521833,0,5
0,0,9064696,172,165,7,0,13,9062672,1,7
0,0,27954,114,107,19,0,26,24217,0,6
0,0,279004,131,124,32,0,36,275159,0,8
0,0,1147490,108,101,26,0,24,1145631,1,6
0,0,7007346,163,156,6,0,13,7005166,1,7
1,0,1139483,105,98,21,1,24,1135756,1,6
0,0,5598267,158,151,6,0,13,5595391,0,7
0,0,1143911,106,99,19,0,24,1140042,1,6
0,0,583704,135,128,32,0,38,582196,0,8
0,0,1703058,30,33,19,0,22,1701376,1,5
0,0,3105,111,104,24,0,25,838,1,6
0,0,4513,23,26,32,0,14,785,0,5
0,0,990197,101,94,19,0,24,986493,1,6
0,0,4293498,35,38,19,0,22,4292311,1,5
0,0,1152291,109,102,15,0,24,1148608,1,6
0,0,1678839,95,88,15,0,31,1675105,1,6
0,0,2259949,199,192,7,0,11,2258465,1,7
0,0,77533,20,19,29,0,6,73331,1,4
0,0,422887,110,103,19,0,25,419138,1,6
0,0,3622347,92,85,19,0,31,3618703,0,6
0,0,5954817,160,153,6,0,13,5951374,1,7
0,0,15790203,194,187,6,0,13,15786472,0,7
0,0,2626786,34,37,19,0,22,2624759,0,5
0,0,1698923,120,113,19,0,27,1695120,1,6
0,0,129819,62,57,19,0,17,126013,1,5
0,0,15794397,195,188,7,0,13,15790722,0,7
0,0,10244238,179,172,6,0,13,10240936,1,7
0,0,278985,137,130,32,0,37,276142,0,8
0,0,4527437,94,87,5,0,31,4523676,0,6
0,0,39991,2,8,33,0,1,37926,1,0
0,0,78806,14,22,29,0,4,75012,1,3
0,0,209762,113,106,19,0,25,205917,0,6
0,0,2452752,86,4,13,0,20,2449024,0,5
0,0,3071,198,191,7,0,10,1,1,7
0,0,6067584,161,154,7,0,13,6064796,1,7
0,0,1313993,28,31,34,0,22,1312530,0,5
0,0,2385281,147,140,7,0,13,2382667,0,7
0,0,3663817,42,3,11,0,23,3660173,0,5
0,0,5949017,159,152,7,0,13,5946681,1,7
0,0,1171908,49,5,1,0,15,1168174,1,5
0,0,324588,68,63,19,0,17,320857,0,5
0,0,89469,61,56,19,0,17,85705,0,5
0,0,12740701,186,179,6,0,13,12737024,0,7
0,0,3058427,87,80,19,0,30,3054798,0,6
0,0,2318413,81,75,19,0,19,2314616,0,5
0,0,72448,18,17,27,0,6,68270,1,4
0,0,15188591,189,182,7,0,13,15186471,1,7
0,0,7124284,165,158,7,0,13,7121353,0,7
0,0,1643702,74,69,19,0,18,1639890,1,5
0,0,1049774,216,209,22,0,40,1047327,1,9
0,0,6072691,162,155,6,0,13,6068918,1,7
0,0,2216609,129,122,19,0,28,2212887,0,6
0,0,45538,59,54,19,0,17,41732,0,5
0,0,62173,9,22,29,0,3,61124,1,2
0,0,3879497,89,82,6,0,30,3875733,0,6
0,0,3998549,219,212,9,0,42,3996303,0,9
0,0,47179,21,24,19,0,0,43448,0,5
0,0,651422,202,195,19,0,43,647718,1,9
0,0,970358,98,91,15,0,24,968556,1,6
0,0,14872107,188,181,7,0,13,14870101,0,7
0,0,95167,134,127,32,0,32,91325,0,8
0,0,933349,96,89,19,0,24,929525,0,6
0,0,329342,69,64,19,0,17,325611,0,5
0,0,333473,24,27,0,0,22,329763,1,5
0,0,2401,140,133,6,0,8,65,1,7
0,0,9578594,174,167,7,0,13,9577091,1,7
0,0,3049087,149,142,7,0,13,3047831,0,7
0,0,1021293,48,48,19,0,15,1017589,1,5
0,0,50499,8,13,32,0,3,46531,1,2
0,0,660379,138,131,32,0,35,656534,1,8
0,0,75831,60,55,19,0,17,72196,1,5
0,0,7120666,164,157,6,0,13,7119032,0,7
0,0,64291,12,14,32,0,4,60047,1,3
0,0,128558,117,110,22,0,26,125670,0,6
0,0,166154,65,60,19,0,17,162348,0,5
0,0,3579565,151,144,7,0,13,3578197,1,7
0,0,820521,145,138,6,0,13,819496,1,7
0,0,4285337,156,149,6,0,13,4284348,1,7
0,0,36414,5,10,28,0,2,33385,1,1
0,0,577054,90,83,19,0,30,573326,1,6
0,0,388457,25,28,19,0,22,386850,1,5
0,0,2071573,128,121,23,0,28,2069770,0,6
0,0,1705473,121,114,19,0,27,1701874,1,6
0,0,53020,4,22,29,0,1,48803,1,0
1,0,431084,201,194,25,1,43,427217,1,9
0,0,1849714,31,34,19,0,22,1845908,1,5
0,0,2296751,218,211,9,0,41,2295359,0,9
0,0,1309324,27,30,19,0,22,1307483,0,5
0,0,2151123,76,1,11,0,18,2147506,1,5
0,0,9462057,173,166,6,0,13,9458497,1,7
0,0,972317,197,190,6,0,9,970326,1,7
0,1,1637142,73,68,19,0,18,1633333,1,5
0,0,132277,118,111,19,0,26,129494,0,6
0,0,15693180,192,185,7,0,13,15692143,0,7
0,0,4312155,141,134,6,0,8,4308352,0,7
0,0,1402028,57,52,19,0,16,1398297,0,5
0,0,892036,215,208,19,0,40,888083,0,9
0,0,15710916,193,186,6,0,13,15707113,0,7
0,0,35572,45,46,19,0,23,31850,1,5
0,0,1630586,72,67,19,0,18,1626783,1,5
0,0,10005750,177,170,6,0,13,10002838,0,7
0,0,7732801,209,202,19,0,43,7728989,0,9
0,0,2191903,77,71,19,0,19,2188100,0,5
0,0,63847,16,15,32,0,6,59612,1,4
0,0,2186645,217,210,6,0,41,2182830,0,9
0,0,2804198,205,198,22,0,43,2802744,1,9
0,0,726058,144,137,6,0,13,722345,1,7
0,0,1657273,75,70,19,0,18,1653761,1,5
0,0,431513,93,86,15,0,31,427800,0,6
0,0,7783560,169,162,7,0,13,7780308,0,7
0,0,9357129,210,203,19,0,43,9353467,0,9
0,0,52090,13,20,27,0,4,47957,1,3
0,0,1124935,102,95,15,0,24,1121207,1,6
0,0,2332044,83,77,19,0,19,2328241,0,5
0,0,2065035,126,119,19,0,28,2061388,0,6
0,0,53721,22,25,19,0,0,49990,0,5
0,0,652903,132,125,32,0,34,648881,1,8
0,0,985033,100,93,24,0,24,981335,1,6
0,0,2307206,79,73,19,0,19,2303436,0,5
0,0,1908029,146,139,7,0,13,1905427,0,7
0,0,28839,43,44,14,0,23,25132,1,5
0,0,11683010,182,175,7,0,13,11680997,0,7
0,0,319829,67,62,19,0,17,316098,0,5
0,0,4004773,206,199,20,0,43,4003152,0,9
0,0,91293,15,23,29,0,4,86278,1,3
0,0,3620418,152,145,6,0,13,3616747,1,7
0,0,9779285,176,169,6,0,13,9775560,0,7
0,0,9382536,211,204,10,0,43,9381414,1,9
0,0,1145528,107,100,26,0,24,1144470,1,6
1,0,5331246,38,41,17,1,22,5328981,0,5
0,0,447807,44,45,20,0,23,446937,0,5
0,0,2191719,122,115,15,0,27,2188102,1,6
0,0,2327068,82,76,19,0,19,2323274,0,5
1,0,159443,64,59,18,1,17,155850,0,5
0,0,977090,47,47,11,0,15,973266,0,5
0,0,1181603,51,5,1,0,15,1177872,1,5
0,0,3942314,40,42,19,0,21,3938604,0,5
1,0,1176752,50,49,2,1,15,1173039,1,5
