Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation,Host_Taxon
0,0,16460955,213,206,6,0,43,16457260,0,9
0,0,138161,118,111,21,0,25,134502,0,6
0,0,203930,66,61,18,0,16,200193,0,5
0,0,4553753,46,0,6,0,22,4549992,0,5
0,0,4840,0,6,26,0,1,914,1,0
0,0,9779285,176,169,6,0,12,9775560,0,7
0,0,334096,70,65,18,0,16,330365,0,5
0,0,3840387,88,81,18,0,29,3836677,0,6
0,0,1195742,53,5,1,0,14,1191876,1,5
0,0,8918600,172,165,6,0,12,8914875,0,7
0,0,1910663,203,196,18,0,43,1906803,0,9
0,0,1668281,29,32,18,0,21,1666599,0,5
0,0,2060217,124,117,30,0,27,2056039,0,6
0,0,970300,197,190,6,0,9,969404,1,7
0,0,65541,111,104,18,0,24,61918,1,6
0,0,2103880,129,122,6,0,28,2100152,0,6
0,0,10591984,181,174,7,0,12,10589706,0,7
0,0,4340768,36,39,18,0,21,4339005,0,5
0,0,83566,55,50,31,0,15,79856,1,5
0,0,20151480,214,207,19,0,43,20150096,1,9
0,0,11683010,182,175,7,0,12,11680997,0,7
0,0,44719,19,18,26,0,6,40601,1,4
1,0,11229,115,108,16,1,25,7763,1,6
0,0,239685,17,16,11,0,5,237098,0,4
0,0,4278879,154,147,6,0,12,4275136,1,7
0,0,2481188,85,79,18,0,18,2479680,0,5
0,0,12013049,184,177,6,0,12,12009273,1,7
0,0,12740701,186,179,6,0,12,12737024,0,7
0,0,338864,71,66,18,0,16,335124,0,5
0,0,10244238,179,172,6,0,12,10240936,1,7
0,0,3815,91,84,4,0,30,90,1,6
0,0,628721,41,43,18,0,20,624993,1,5
0,0,47239,3,9,28,0,1,43805,1,0
0,0,4283484,155,148,6,0,12,4279741,1,7
0,0,5598267,158,151,6,0,12,5595391,0,7
0,0,154797,63,58,18,0,16,150979,0,5
0,0,587534,136,129,32,0,38,585909,0,8
0,0,4522804,37,40,18,0,21,4521833,0,5
0,0,9462057,173,166,6,0,12,9458497,1,7
0,0,27954,113,106,18,0,25,24217,0,6
0,0,279004,130,123,31,0,36,275159,0,8
0,0,1147490,107,100,25,0,23,1145631,1,6
0,0,7120666,164,157,6,0,12,7119032,0,7
1,0,1139483,104,97,20,1,23,1135756,1,6
0,0,5949017,159,152,7,0,12,5946681,1,7
0,0,1143911,105,98,18,0,23,1140042,1,6
0,0,583704,135,128,31,0,38,582196,0,8
0,0,1703058,30,33,18,0,21,1701376,1,5
0,0,3105,110,103,23,0,24,838,1,6
0,0,4513,23,26,31,0,13,785,0,5
0,0,990197,100,93,18,0,23,986493,1,6
0,0,4293498,35,38,18,0,21,4292311,1,5
0,0,1152291,108,101,14,0,23,1148608,1,6
0,0,3622347,92,85,18,0,30,3618703,0,6
0,0,2264107,200,193,6,0,11,2260442,1,7
0,0,77533,20,19,28,0,6,73331,1,4
0,0,422887,109,102,18,0,24,419138,1,6
0,0,4527437,93,86,5,0,30,4523676,0,6
0,0,5971756,161,154,6,0,12,5968445,0,7
0,0,15794397,194,187,7,0,12,15790722,0,7
0,0,2626786,34,37,18,0,21,2624759,0,5
0,0,1698923,119,112,18,0,26,1695120,1,6
0,0,129819,62,57,18,0,16,126013,1,5
0,0,16013824,195,188,6,0,12,16010084,1,7
0,0,10462169,180,173,6,0,12,10459962,1,7
0,0,278985,137,130,31,0,37,276142,0,8
0,0,629638,196,189,6,0,7,626021,1,7
0,0,39991,2,8,32,0,1,37926,1,0
0,0,78806,14,22,28,0,4,75012,1,3
0,0,209762,112,105,18,0,24,205917,0,6
0,0,2452752,86,4,12,0,19,2449024,0,5
0,0,2259949,199,192,7,0,11,2258465,1,7
0,0,6072691,162,155,6,0,12,6068918,1,7
0,0,1313993,28,31,33,0,21,1312530,0,5
