Entity_Type,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Gene_Category,Strand_Orientation
0,320234,144,23,14,319014,0,0
0,81801,39,11,44,80905,0,1
1,15410,226,2,37,14340,1,1
0,2162466,64,11,18,2161639,0,0
1,779639,93,2,13,778437,1,0
0,1098996,239,3,17,1097833,0,1
0,444826,201,11,13,443996,0,1
0,1077230,227,11,14,1076451,0,0
0,46924,168,18,2,46142,0,0
0,1422032,53,15,18,1421220,0,0
1,745129,160,2,7,744176,1,0
0,432927,247,14,4,431740,0,0
0,18040,106,23,57,16886,0,0
0,402910,136,11,13,402068,0,1
0,1153229,240,22,17,1151997,0,0
0,750678,153,24,17,750031,0,1
0,9906,4,22,22,8728,0,1
0,12258,152,23,68,11053,0,1
0,2202990,63,24,18,2202343,0,1
0,1011398,156,1,17,1010715,0,0
0,375897,23,26,18,375253,0,0
0,992655,211,11,13,991897,0,1
0,4632,134,22,31,3406,0,1
0,581117,205,15,13,580287,0,0
1,493669,118,34,14,492404,1,1
0,749602,54,16,18,748862,0,1
0,1832,59,22,46,591,0,0
1,223492,245,34,4,222386,1,0
0,1088191,238,16,17,1087412,0,1
0,822069,208,18,13,821287,0,0
1,10709,218,2,77,9531,1,0
0,23056,193,18,73,22262,0,0
0,691455,90,11,13,690643,0,0
0,196658,242,14,4,195561,0,0
0,375903,35,20,3,374896,0,1
0,9985,148,0,65,9303,0,0
1,4174,29,2,41,2966,1,0
0,1070767,196,11,13,1069991,0,0
0,599280,204,11,13,598465,0,1
0,26139,27,11,41,25351,0,1
0,226729,41,0,11,226322,0,1
0,204825,243,12,4,203728,0,0
0,394684,22,1,13,394031,0,1
0,1897997,125,11,17,1897239,0,0
0,1860,161,0,69,1114,0,1
0,589228,206,23,13,588062,0,0
0,400728,175,0,14,399566,0,0
0,617253,207,11,13,616495,0,0
1,381597,14,2,8,380962,1,0
0,1428734,52,26,18,1428093,0,0
0,1968229,123,11,17,1967444,0,1
1,13702,26,2,40,12743,1,0
0,1193619,232,1,14,1192936,0,0
0,217780,244,12,4,216641,0,0
1,17599,77,2,50,16553,1,0
0,1057942,130,22,13,1056725,0,0
0,663709,103,11,17,662936,0,1
0,1471918,183,5,16,1470884,0,0
1,884301,138,2,13,883339,1,1
0,18090,95,30,52,17131,0,0
0,1783506,127,11,17,1782673,0,1
0,1194158,233,0,14,1193721,0,0
1,5205,96,2,53,4201,1,1
1,177073,104,2,19,175745,1,0
0,153559,235,30,79,152606,0,0
0,4472,216,23,75,3321,0,0
0,979496,114,30,18,978543,0,1
0,1905082,67,11,18,1904309,0,1
1,27009,43,2,27,25858,1,1
0,38006,197,11,74,37197,0,0
0,1221966,178,14,16,1220947,0,0
0,227094,18,1,11,226831,0,1
1,76658,38,0,44,76494,1,0
0,987733,112,0,18,987176,0,1
1,937169,155,2,17,936387,1,1
0,416187,119,23,14,415021,0,1
0,983808,113,30,18,982858,0,1
1,497744,117,34,14,496932,1,1
1,3831,169,2,72,3070,1,1
1,3587,162,2,70,2544,1,0
0,10011,37,11,43,9199,0,1
0,1474427,51,27,18,1473666,0,0
0,36547,223,9,36,35690,0,0
0,531335,173,0,1,530982,0,1
1,477748,116,2,14,476525,1,1
1,1925877,66,2,18,1925107,1,1
0,1564778,72,16,18,1564014,0,1
0,1106541,228,22,14,1105297,0,0
0,15525,108,8,30,14710,0,1
1,2102,110,2,58,1101,1,1
0,178084,109,21,15,176870,0,1
0,712890,91,18,13,712129,0,1
1,652441,50,2,6,651695,1,1
0,855470,137,7,13,854496,0,0
0,1677,75,29,48,712,0,1
0,301271,145,18,14,300510,0,0
1,11639,198,2,74,10170,1,0
0,2202884,185,24,17,2202237,0,1
0,1487286,181,14,16,1486264,0,1
0,2879,132,11,61,2091,0,1
0,12102,220,0,34,11231,0,0
1,563168,88,2,13,561921,1,1
0,12897,5,0,23,11857,0,1
0,878597,140,11,13,877761,0,0
1,2640,171,2,32,1327,1,0
0,2089274,122,24,17,2088630,0,1
0,422034,16,14,3,420934,0,0
1,137805,158,2,11,136807,1,0
0,77581,8,20,6,76523,0,1
0,684782,56,30,18,683826,0,0
0,914563,154,26,17,913814,0,0
0,31139,60,22,47,29922,0,0
1,1247221,180,2,16,1246121,1,0
0,1222996,105,16,18,1222181,0,1
0,297062,79,22,13,295851,0,0
0,1049347,131,15,13,1048619,0,0
0,36628,44,23,27,35402,0,1
1,1131697,170,2,18,1130438,1,1
0,31870,222,11,36,31118,0,0
0,363876,157,0,11,363610,0,1
0,946792,6,22,13,945539,0,1
1,2901,221,2,35,1762,1,0
0,1639752,121,19,16,1638709,0,0
0,550504,47,11,5,549704,0,0
0,17814,236,29,79,16873,0,1
0,826530,12,18,17,825718,0,1
0,335,10,0,24,3,0,0
1,7239,184,2,0,5971,1,1
1,41030,150,2,67,39978,1,0
0,19059,166,11,71,18244,0,0
0,1188618,194,31,13,1187623,0,0
0,1745136,192,16,18,1744339,0,0
1,2521,107,2,57,1283,1,1
0,250812,143,22,14,249592,0,0
0,731234,55,11,18,730422,0,0
0,1075329,3,1,13,1075195,0,1
1,182780,40,2,11,181743,1,1
0,492438,202,22,13,491209,0,0
0,1604402,189,17,17,1603254,0,0
0,11189,48,23,45,10047,0,1
1,13960,13,2,25,13361,1,1
0,39296,61,22,47,38151,0,0
0,384191,36,14,3,383100,0,0
0,12268,237,22,80,10958,0,0
0,2097143,191,11,18,2096334,0,1
0,13009,151,23,67,11804,0,0
0,571633,46,11,5,570836,0,0
0,11743,224,11,36,10985,0,1
1,556235,172,2,1,555144,1,0
0,1165493,230,11,14,1164663,0,0
1,613080,200,2,9,611866,1,1
0,9178,74,11,28,8375,0,1
0,2165485,186,24,17,2164835,0,1
1,41345,78,33,29,40839,1,0
1,29968,164,2,71,28721,1,0
0,358168,101,24,17,357524,0,0
1,517373,21,2,13,516597,1,1
0,37518,31,11,26,36670,0,0
0,1588977,120,31,16,1588012,0,0
0,1147481,177,7,16,1146423,0,1
0,15379,219,11,77,14528,0,0
0,252454,176,3,3,251303,0,0
0,658646,89,11,13,657867,0,0
0,3650,147,6,64,2478,0,1
1,551759,87,2,13,550737,1,1
0,79682,167,28,12,78918,0,0
0,614,49,0,45,222,0,1
1,1921338,124,2,17,1920505,1,1
1,295086,99,2,11,293887,1,1
0,1173402,231,18,14,1172566,0,0
0,37248,165,23,71,35989,0,1
1,55904,32,2,26,55386,1,1
1,1887968,126,2,17,1886823,1,0
1,489292,86,2,4,488510,1,1
0,13082,111,0,59,12327,0,1
0,386514,174,22,14,385279,0,0
0,832741,210,22,13,831566,0,0
0,28969,25,1,39,28568,0,0
0,738,2,0,21,1,0,0
0,5008,9,11,24,4142,0,0
1,287088,98,2,11,285889,1,1
0,14090,62,22,47,12945,0,0
0,1026,225,0,78,841,0,1
0,1863,102,18,56,1015,0,0
0,2029082,19,22,18,2027874,0,1
1,497406,34,2,3,496306,1,0
0,251858,20,0,13,251211,0,0
0,1022329,213,18,13,1021526,0,1
0,23025,133,0,62,22318,0,0
0,1675,215,11,33,854,0,1
1,26635,163,34,71,25832,1,0
0,2151652,65,9,18,2150759,0,1
0,2155792,187,24,17,2155145,0,0
1,35179,42,2,12,34406,1,1
0,19523,45,23,27,18321,0,1
0,1687805,69,4,18,1687044,0,0
0,10624,94,32,51,9845,0,0
0,266241,141,11,14,265438,0,0
0,313431,83,11,13,312547,0,0
0,486743,57,14,1,485586,0,0
0,285745,81,11,13,284939,0,0
1,827468,209,2,13,826311,1,1
0,1047,1,25,20,259,0,0
0,323886,159,25,10,323095,0,1
0,18784,97,18,54,18002,0,0
0,997273,212,11,13,996476,0,1
0,305564,84,8,13,304740,0,0
1,13592,100,2,55,12324,1,1
0,30765,28,11,41,29968,0,1
1,445921,17,2,3,445157,1,0
0,941707,7,11,13,940901,0,1
0,12388,135,0,63,11468,0,0
1,269718,146,2,18,269074,1,1
0,65754,234,29,79,64810,0,1
0,1522877,182,25,16,1521903,0,1
0,17173,217,23,76,16040,0,1
0,13948,30,10,42,13148,0,0
0,387281,11,23,13,386064,0,0
1,290434,80,2,13,289571,1,0
0,975187,115,30,18,974237,0,1
0,1679298,71,25,18,1678525,0,0
1,6002,241,2,81,5043,1,0
1,1592913,73,34,18,1591840,1,1
1,663114,15,2,18,662260,1,0
1,432941,203,0,13,432381,1,1
0,277578,82,11,13,276769,0,0
1,4723,24,2,38,4340,1,1
0,23810,58,22,46,22572,0,1
0,402463,85,21,4,401243,0,0
0,2142542,188,25,17,2141583,0,0
0,13418,149,16,66,12669,0,0
0,1694274,68,24,18,1693627,0,0
1,25842,199,2,74,24370,1,0
1,9998,76,2,49,9753,1,0
0,1577124,190,12,17,1576114,0,0
0,1229889,179,20,16,1228786,0,0
0,1778534,128,13,17,1777443,0,0
1,1152958,195,2,13,1151783,1,1
0,907521,139,22,13,906301,0,0
1,23852,33,34,26,23046,1,0
0,1148502,229,11,14,1147669,0,0
1,655,0,2,82,2,1,1
0,231201,246,27,4,230431,0,0
0,1631767,70,24,18,1631120,0,0
1,667923,92,2,13,666610,1,1
0,272963,214,16,14,272211,0,0
1,11872,129,2,60,11348,1,0
0,247509,142,11,14,246700,0,0
