Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,1713823,10,2,28,1711409,0
1,0,32772,101,1,4,29866,1
0,0,373899,32,2,5,371611,1
0,0,721934,79,2,23,719244,1
0,0,428427,92,3,20,425755,0
0,0,1324430,93,2,30,1322082,0
0,0,465591,162,2,15,462814,0
0,0,54199,35,2,55,51578,1
1,0,952113,118,1,23,949273,1
0,0,1024944,233,2,29,1022305,0
1,0,199898,39,1,19,197364,1
0,0,404584,120,2,21,402206,0
0,0,473501,202,3,23,470631,0
0,0,246580,91,2,19,243767,0
0,0,33755,30,2,41,30969,0
0,0,355891,244,2,6,353552,0
0,0,602339,48,2,30,600009,0
1,0,1100880,194,1,23,1098211,1
1,0,1123469,221,1,24,1120611,0
0,0,1147282,168,2,30,1144757,1
1,0,32977,216,1,82,30248,1
0,0,33431,29,2,52,30843,1
0,0,184674,7,2,12,182293,0
0,0,1516533,47,2,30,1514173,1
0,0,553480,173,3,1,550610,0
0,0,16153,33,2,53,13502,0
0,0,292921,245,2,6,290183,1
0,0,256062,178,2,5,253732,0
0,0,25495,54,2,58,22811,0
0,0,8691,195,2,75,6085,1
0,0,180436,213,2,11,177890,1
0,0,15222,212,2,79,12538,1
0,0,849988,205,2,23,847319,0
0,0,1919214,107,2,29,1916677,1
0,0,546874,143,2,15,544250,0
1,0,1014233,136,1,29,1011738,0
0,0,519004,251,2,7,516413,0
0,0,1161129,167,2,30,1158613,0
0,0,82609,139,3,19,79808,1
1,0,316755,121,1,24,314314,0
0,0,622377,45,2,29,620053,0
0,0,483376,100,2,24,480707,1
0,0,1176004,166,2,30,1173581,0
0,0,1015945,209,2,23,1013150,1
0,0,204433,67,2,14,201761,1
0,0,1745786,15,2,29,1743231,0
0,0,125132,85,2,4,122370,1
1,0,17633,25,1,50,14982,0
0,0,4209,123,2,66,1423,0
0,0,187941,232,2,5,185287,0
0,0,1035713,62,2,25,1032837,0
0,0,425184,137,2,16,422410,0
0,0,513629,257,3,15,510834,0
0,0,565358,87,2,30,563163,1
0,0,1115182,220,2,24,1112378,0
1,0,432436,159,1,15,429818,0
0,0,218715,59,2,17,215884,1
1,0,86749,153,1,3,84020,1
1,0,396102,74,1,19,393418,0
1,0,107074,254,1,2,104540,0
0,0,602587,46,2,29,600077,0
1,0,389747,164,1,15,387120,0
0,0,422008,200,2,17,419294,0
0,0,1065877,198,2,25,1063010,0
0,0,378614,163,2,15,375975,0
0,0,309384,112,2,5,306937,0
0,0,585607,86,2,6,583331,1
0,0,7162,23,2,48,4697,0
0,0,650434,43,3,14,647633,1
0,0,23290,218,2,47,20606,1
0,0,9867,65,2,60,7462,0
