Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,1330,9,9,51,2,0
0,0,30308,48,7,2,27168,1
1,0,56857,120,2,22,54575,1
0,0,1097,10,8,52,1,0
1,0,5564,34,2,36,2433,1
1,0,2735,75,2,75,246,1
1,0,929052,122,2,31,925927,0
0,0,52289,82,7,38,48939,1
0,0,581462,110,6,4,578019,0
0,0,212280,147,9,10,211864,0
1,0,38881,130,2,87,36347,0
0,0,297517,76,7,14,294389,0
1,0,81368,19,2,22,80808,1
0,0,720,140,9,93,1,1
1,0,742903,101,2,23,741965,0
1,0,28960,0,2,31,27503,1
0,0,429068,81,7,25,425925,0
1,0,118859,95,2,9,115842,1
1,0,69438,35,2,67,67273,0
0,0,6138,37,8,69,5206,0
0,0,315827,124,7,15,312663,0
0,0,639,65,9,73,1,1
1,0,99546,108,2,12,97369,0
1,0,32123,55,2,10,29739,1
0,0,48514,137,7,31,47612,1
1,0,3506,77,2,76,2283,1
0,0,116617,51,7,13,113450,0
0,0,541,43,3,70,26,0
0,0,4229,136,7,90,1371,1
0,0,33235,5,9,9,30782,1
0,0,763,7,1,53,5,0
1,0,767496,93,2,29,766105,0
0,0,567659,24,1,33,567123,0
1,0,99066,111,2,1,97825,1
0,0,318588,152,7,14,315535,0
0,0,1011,6,9,49,1,0
0,0,546,142,9,95,1,1
1,0,4884,47,2,47,1753,1
1,0,213521,148,2,10,212382,0
1,0,11203,39,2,42,8075,1
1,0,74545,150,2,8,72053,1
0,0,2066,18,9,59,3,1
0,0,704,12,4,58,18,1
0,0,81855,145,7,10,78709,1
1,0,341238,26,2,4,338959,1
1,0,306062,91,2,43,305283,0
0,0,300,98,8,79,1,0
1,0,99079,49,2,2,97820,1
0,0,35758,4,8,9,35156,1
0,0,33620,83,7,38,30504,1
0,0,521345,22,7,1,518232,0
0,1,54155,54,7,10,50976,1
0,0,48145,1,5,30,47690,1
0,0,1005,15,9,55,1,1
0,0,9252,126,9,86,7177,0
0,0,1242,14,8,54,3,0
1,0,573456,41,2,3,572590,0
0,0,632799,45,7,19,629461,0
1,0,53098,125,2,34,49949,1
0,0,1771,17,9,56,5,0
0,0,55385,128,7,0,52233,1
1,0,5181,104,2,80,4192,0
1,0,3425,117,2,85,855,1
0,0,765509,31,7,22,762384,0
0,0,716461,42,7,38,713525,0
0,0,153763,102,6,21,151067,1
0,0,307836,151,9,14,304756,0
0,0,227216,74,9,44,225387,0
0,0,43791,67,7,9,40663,1
1,0,100486,50,2,13,98009,0
0,0,975350,133,6,40,972864,1
1,0,1651,92,2,63,830,1
0,0,4790,123,7,64,1644,1
0,0,30678,113,8,9,29548,1
0,0,642289,106,7,8,639173,0
0,0,40231,109,8,83,38468,1
0,0,1291,11,9,57,11,1
1,0,694715,132,2,26,691713,0
0,0,5115,52,6,38,2545,1
1,0,5807,129,2,26,3882,1
1,0,762911,103,2,26,760413,0
0,0,100844,29,8,12,99663,0
1,0,506465,68,2,19,504186,1
1,0,1242856,78,2,40,1242191,1
1,0,57661,38,2,42,55166,1
1,0,824374,60,2,26,822413,0
1,0,672501,85,2,24,670264,0
0,0,484,139,9,92,2,1
0,0,7732,62,7,72,4595,0
0,0,506906,99,0,14,503742,0
1,0,96937,119,2,30,96035,1
0,0,3141,88,8,62,982,1
0,0,302755,57,9,14,301802,0
0,0,1289,8,9,50,3,0
1,0,492209,21,2,1,489726,0
0,0,703218,16,9,36,701626,0
1,0,7840,64,2,16,6842,1
1,0,383983,3,2,47,383429,1
1,0,1482,105,2,81,1,0
0,0,304,127,8,65,2,0
0,0,40333,118,7,85,37199,1
0,0,6322,40,7,15,3197,1
1,0,673825,80,2,26,670661,0
1,0,201983,146,2,10,197949,0
1,0,232598,154,2,3,230508,0
1,0,46653,84,2,38,44743,1
1,0,789292,94,2,29,788021,0
1,0,714709,100,2,26,711560,0
0,0,11360,89,7,78,8184,1
0,0,11460,143,8,96,9091,1
0,0,772874,149,7,28,769737,0
1,0,341160,155,2,3,338881,1
0,0,135805,156,7,5,132644,0
0,0,326955,28,7,18,323962,0
1,0,4234,73,2,74,3116,1
1,0,371763,2,10,46,371065,1
0,0,562767,56,7,6,559651,0
1,0,676357,27,2,23,675068,0
0,0,4123,87,6,77,1628,1
0,0,24175,33,7,48,21059,1
1,0,8113,61,2,71,5945,0
0,0,696,114,8,84,1,0
1,0,552643,116,2,20,550361,1
0,0,225838,90,7,17,222980,0
0,0,46094,72,6,37,43491,1
0,0,296392,23,7,15,293633,0
1,0,36371,141,2,94,34218,1
0,0,220362,115,6,18,217744,0
1,0,532553,153,2,14,531252,0
0,0,34862,86,1,28,34431,1
1,0,638513,69,2,7,636579,0
1,0,685611,66,2,17,683131,0
0,0,9728,36,7,68,6585,0
0,0,5438,138,8,91,3198,1
0,0,13944,59,6,45,11467,1
0,0,37772,134,7,11,34755,1
0,0,7310,32,7,66,4179,1
1,0,8362,131,2,88,5834,0
0,0,96112,112,7,1,92984,1
1,0,6579,63,2,16,5257,1
1,0,8781,25,2,60,5653,0
0,0,8449,121,7,46,5315,1
0,0,34018,53,6,61,31541,0
0,0,1015710,30,7,35,1014604,0
1,0,93861,97,2,32,92599,1
0,0,905463,46,7,39,902746,0
1,0,673601,71,2,27,670680,0
1,0,741862,157,2,23,740972,0
0,0,559272,79,7,41,556483,0
1,0,12199,144,2,97,10430,0
1,0,631461,70,2,7,630235,0
0,0,2165,135,8,89,1,1
0,0,68231,96,7,23,65097,1
0,0,704396,13,9,36,703461,0
1,0,301337,20,2,5,298548,1
1,0,796646,58,2,29,794730,0
0,0,11508,107,6,82,8902,1
1,0,1017672,44,2,34,1015075,0
