Gene_Subclass,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
0,0,23,65081,87,0,24,62292,0,1
1,0,185,4679,184,1,134,1893,3,0
1,0,13,308397,304,1,58,305485,3,0
1,0,70,847503,312,1,39,845194,3,0
0,0,138,502030,131,0,0,499289,0,0
1,0,96,79193,80,1,3,76656,3,1
1,0,141,2449,0,1,152,11,3,0
0,0,140,7010,292,0,148,4233,0,1
1,0,129,491613,134,1,40,488857,3,1
1,0,26,21822,317,1,13,18838,3,1
1,0,84,3014,97,1,66,228,3,1
1,0,93,639965,258,1,23,637563,3,0
1,0,91,570499,252,1,26,567725,3,0
1,0,158,7457,214,1,40,4911,3,1
1,0,92,6673,233,1,139,3815,3,0
0,0,106,716265,36,0,29,713932,0,0
1,0,83,29749,162,1,28,26915,3,1
1,0,144,1133115,272,1,52,1130755,3,1
1,0,136,60671,176,1,46,58218,3,1
1,0,153,2940,212,1,136,73,3,1
0,0,19,8383,219,0,137,7271,0,0
0,0,183,17724,294,0,59,14986,1,1
1,0,173,13435,274,1,144,10745,3,0
0,0,162,86361,189,0,15,83876,0,1
1,0,4,510295,141,1,26,507728,3,1
1,0,91,628364,102,1,26,625434,3,0
1,0,27,504140,269,1,2,500865,3,0
1,0,26,636457,213,1,13,635763,3,0
1,0,1,848494,163,1,34,847454,3,0
1,0,167,492362,28,1,1,490971,3,0
1,0,47,236472,223,1,3,233641,3,0
0,0,94,782600,206,0,30,781197,0,0
1,0,109,7188,125,1,121,4384,3,0
1,0,110,8831,111,1,119,6234,3,1
1,0,91,654938,253,1,26,652152,3,0
1,0,107,984,306,1,151,31,3,0
1,0,106,1094,24,1,75,159,3,1
0,0,133,24358,275,0,144,21590,0,0
0,0,90,1225,54,0,79,1,0,1
1,0,123,628999,143,1,12,626735,3,0
1,0,11,13990,116,1,16,11384,3,1
1,0,134,28068,66,1,67,25282,3,1
1,0,68,3158,255,1,93,408,3,1
1,0,132,2351295,266,1,58,2348338,3,0
0,0,29,9939,58,0,102,8926,0,0
1,0,76,10214,242,1,25,7875,3,1
1,0,14,9052,247,1,142,7148,3,1
0,0,46,811998,313,0,39,810235,0,0
1,0,112,4342,85,1,31,1385,3,1
1,0,87,3790,210,1,89,806,3,0
1,0,13,1721524,41,1,58,1718519,3,1
0,0,154,2010044,11,0,56,2009265,2,0
0,0,143,4119,43,0,33,967,0,1
1,0,13,1008775,190,1,58,1006142,3,0
0,0,165,66235,248,0,40,64469,0,1
1,0,36,556405,240,1,27,554000,3,1
1,0,169,8756,145,1,45,5919,3,1
0,0,61,4216,133,0,47,1460,0,1
1,0,174,430057,186,1,32,427406,3,0
0,0,155,1137976,137,0,57,1133828,0,0
