Gene_Subclass,Gene_Description,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
0,0,3,12909,143,0,112,10807,1,1
0,0,121,6110,100,0,100,3849,1,0
1,0,40,457048,91,1,9,454787,0,0
0,0,134,478833,231,0,6,476677,1,0
0,0,90,16869,152,0,115,14662,1,0
1,0,50,552888,219,1,15,550654,0,0
0,0,97,835809,97,0,28,833647,1,0
0,0,121,3770,50,0,88,732,2,1
1,0,22,828777,109,1,47,827212,0,1
1,0,42,9061,55,1,73,6806,0,1
0,0,41,2776,155,0,116,509,1,0
1,0,30,76342,180,1,33,73994,0,1
1,0,47,7765,30,1,42,5519,0,1
0,0,1,3747,24,0,71,1363,1,1
0,1,88,692573,70,0,19,690150,1,0
0,0,87,27924,7,0,17,26149,3,1
0,0,0,754574,176,0,26,752403,1,0
0,0,38,1178466,117,0,43,1176085,1,0
1,0,36,12933,114,1,39,10912,0,1
1,0,25,96434,222,1,5,94266,0,1
1,0,24,45480,198,1,121,43330,0,1
0,0,65,604953,81,0,20,602554,1,0
1,0,2,5633,13,1,61,4134,0,0
1,0,110,763015,84,1,37,760970,0,0
0,0,49,4215,72,0,19,1969,1,1
0,0,86,480713,38,0,4,478230,1,0
1,0,66,114439,9,1,3,112868,0,1
0,0,60,14957,64,0,75,12933,1,0
1,0,29,356577,107,1,52,354673,0,0
0,0,21,45278,101,0,18,42840,1,0
1,0,55,50723,121,1,105,48507,0,1
1,0,67,562476,174,1,10,560179,0,0
0,0,31,56175,86,0,5,53914,1,1
1,0,84,1621,65,1,94,2,0,1
0,0,114,1009290,45,0,38,1006993,1,0
0,0,121,11646,124,0,106,9286,1,1
0,0,69,487264,95,0,17,485114,1,0
0,0,1,47037,178,0,119,44773,1,1
0,0,21,371476,173,0,18,369323,1,0
0,0,129,477337,11,0,9,476408,3,0
0,0,51,828692,196,0,48,827244,1,1
1,0,36,53359,116,1,39,52601,0,1
0,0,89,1062,3,0,70,1,3,0
1,0,12,441740,94,1,29,439797,0,1
1,0,7,81519,12,1,5,79698,0,1
0,0,58,65232,218,0,51,62692,1,1
0,0,116,707127,48,0,23,704929,1,0
0,0,99,76316,29,0,51,74154,1,1
1,0,111,777368,224,1,31,775140,0,0
0,0,54,3230,128,0,22,921,1,1
0,0,121,2056,49,0,87,2,3,1
0,0,121,4947,46,0,85,2638,1,0
1,0,12,372955,230,1,29,370655,0,1
0,0,109,2326647,17,0,53,2325364,3,0
1,0,64,11060,142,1,31,8994,0,1
0,0,120,4184,235,0,35,1923,1,1
0,0,85,59089,41,0,56,56687,1,1
1,0,50,113111,168,1,15,111105,0,1
0,0,85,79561,118,0,56,77369,1,1
1,0,70,1451239,129,1,51,1449053,0,0
1,0,43,805063,181,1,38,803291,0,0
1,0,90,170211,123,1,49,168412,0,1
0,0,121,4516,53,0,90,3179,3,1
0,0,95,611448,112,0,10,610807,2,0
0,0,107,5046,160,0,117,2860,1,1
1,0,16,1375691,120,1,45,1373202,0,0
0,0,16,4025,166,0,16,1761,1,1
0,0,41,2650,25,0,34,386,1,1
1,0,10,689616,83,1,53,687517,0,0
1,0,9,335828,156,1,29,333633,0,1
1,0,16,1204656,199,1,45,1202680,0,0
1,0,64,7012,6,1,31,5501,0,1
1,0,115,2096,146,1,113,747,0,1
0,0,121,1138,5,0,107,2,3,0
1,0,38,1116077,153,1,40,1113876,0,0
1,0,72,1189025,190,1,51,1186812,0,0
1,0,123,496899,102,1,1,495853,0,0
0,0,59,15153,208,0,30,12949,1,1
0,0,97,1027491,77,0,37,1024990,1,0
0,0,49,20107,69,0,50,17801,1,1
1,0,64,799420,225,1,31,796943,0,0
0,0,3,391932,8,0,58,389746,1,1
0,0,76,3932,163,0,118,1401,1,0
0,0,13,914046,63,0,33,913312,3,0
0,0,122,244454,159,0,19,243822,2,0
0,0,129,394758,20,0,9,393970,2,0
0,0,34,574603,171,0,21,572120,1,0
1,0,11,4883,42,1,82,2628,0,1
1,0,119,252998,132,1,28,250869,0,0
0,0,73,2976,165,0,77,781,1,0
0,0,130,1159648,144,0,41,1157084,1,0
0,0,121,7454,52,0,89,5259,1,1
1,0,29,654471,76,1,52,652312,0,1
0,0,94,2907,36,0,72,667,1,0
0,0,44,4593,1,0,17,2230,1,1
0,0,109,1705791,90,0,53,1703299,1,1
1,0,9,598394,170,1,21,596190,0,0
0,0,52,2152,10,0,60,38,1,0
0,0,31,507624,193,0,3,505363,1,0
1,0,67,459000,175,1,10,456733,0,0
1,0,56,123424,232,1,8,121439,0,0
0,0,118,53099,223,0,38,50910,1,1
0,0,75,3147,43,0,83,535,1,1
0,0,121,7548,54,0,91,5362,1,0
0,0,121,11573,110,0,103,9210,1,0
0,0,58,81116,4,0,13,80040,2,1
