Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
1,5471,136,0,110,3207
0,5583,97,0,99,3223
0,457048,88,1,9,454787
0,478833,231,0,6,476677
1,2336,147,1,113,3
0,552888,219,1,15,550654
0,835809,95,0,28,833647
0,4603,49,0,87,2336
0,1069200,209,1,45,1067095
0,2907,36,0,71,667
0,2776,152,0,114,509
1,76342,177,1,33,73994
0,1167843,143,1,41,1165567
1,1026,4,0,69,22
0,692573,69,0,19,690150
1,27924,7,0,17,26149
0,754574,173,0,26,752403
0,1157625,116,1,42,1155433
1,12933,112,1,39,10912
1,96434,222,1,5,94266
1,45480,195,1,119,43330
0,604953,80,0,20,602554
0,2152,10,0,59,38
0,763015,83,1,37,760970
1,4215,71,0,19,1969
0,480713,38,0,4,478230
1,114439,9,1,3,112868
1,3201,59,0,73,2560
1,61722,221,1,51,61057
0,45278,100,0,18,42840
1,13918,121,1,104,11750
0,562476,171,1,10,560179
1,56175,84,0,5,53914
1,1518,58,0,93,1
0,1009290,45,0,38,1006993
1,50723,120,1,104,48507
0,487264,93,0,17,485114
1,47037,175,0,117,44773
0,371476,170,0,18,369323
0,477337,11,0,9,476408
0,1835184,67,0,46,1832923
1,53359,114,1,39,52601
0,1287,19,1,68,1
1,441740,91,1,29,439797
1,81519,12,1,5,79698
1,71686,213,0,49,69566
0,707127,48,0,23,704929
1,65232,218,0,50,62692
0,777368,224,1,31,775140
1,3230,127,0,22,921
1,1669,47,0,86,2
1,5540,44,0,84,3963
1,372955,230,1,29,370655
1,2191081,87,0,52,2188577
1,11060,140,1,31,8994
1,4184,235,0,35,1923
1,43304,155,0,55,40902
1,113111,165,1,15,111105
1,59089,41,0,55,56687
0,1189025,188,1,50,1186812
0,805063,178,1,38,803291
0,1835456,204,1,47,1833030
1,7454,52,0,89,5259
0,611448,110,0,10,610807
1,5046,157,0,115,2860
0,1204656,196,1,44,1202680
1,4025,163,0,16,1761
1,2650,24,0,34,386
1,560447,98,1,52,558669
1,335828,153,1,29,333633
0,480279,203,1,44,478171
1,7012,6,1,31,5501
1,12909,141,0,111,10807
1,11646,123,0,105,9286
0,1116077,150,1,40,1113876
1,76316,29,0,50,74154
0,496899,101,1,1,495853
1,15153,205,0,30,12949
0,1027491,76,0,37,1024990
1,170211,122,1,48,168412
0,799420,225,1,31,796943
0,377705,96,0,57,375522
0,3932,160,0,116,1401
0,914046,63,0,33,913312
0,244454,156,0,19,243822
0,394758,20,0,9,393970
0,574603,168,0,21,572120
0,5117,217,1,81,2943
0,252998,130,1,28,250869
0,1108,159,1,75,1
1,92964,92,1,41,90784
1,3133,51,0,89,824
0,470842,187,1,51,468923
0,4059,30,1,70,1852
1,4593,1,0,17,2230
0,689616,82,1,52,687517
0,598394,167,1,21,596190
0,185005,118,1,58,182789
0,507624,191,0,3,505363
0,459000,172,1,10,456733
0,123424,232,1,8,121439
1,53099,223,0,38,50910
1,4883,42,1,82,2628
1,4516,53,0,90,3179
1,17178,106,1,102,14941
1,81116,3,0,13,80040
0,703891,72,0,23,701787
1,79561,117,0,55,77369
1,3704,22,0,66,1446
1,299939,227,1,11,297915
1,115059,158,0,22,112891
0,827,13,0,61,3
1,28523,81,0,37,26538
0,547726,133,1,7,545198
0,19404,198,0,120,17227
0,1039862,77,0,37,1037046
0,1937904,25,1,52,1935421
0,52834,182,1,0,50840
0,28514,108,0,103,26043
0,1138,5,0,106,2
1,62927,148,1,24,60651
0,16106,73,1,96,14127
0,7548,54,0,91,5362
1,828692,193,0,47,827244
0,711734,32,0,23,710958
0,482055,111,0,10,479794
1,89110,206,1,16,86993
1,71096,137,0,40,68619
1,798,164,0,77,1
0,2326647,17,0,52,2325364
1,9859,208,0,80,7598
1,120751,185,0,3,119534
0,9642,211,0,122,7252
0,7125,109,1,103,5011
1,1699,85,0,8,101
0,1333,16,0,63,3
0,468090,40,1,2,465892
0,811009,210,1,32,808763
0,619207,202,1,9,617003
0,194620,124,0,53,192110
1,52112,103,0,43,49749
0,14957,64,0,74,12933
1,1621,65,1,94,2
0,813661,180,1,37,811541
0,560608,179,0,16,558551
0,961848,151,1,36,959689
0,915393,62,0,33,914149
1,6868,183,0,118,4559
1,50074,189,0,3,47909
0,487691,31,0,18,485538
0,7225,105,0,101,4853
0,669010,131,0,16,666635
1,2335,169,0,12,101
0,2976,162,0,76,781
0,1159648,142,0,41,1157084
1,140815,228,0,11,140096
1,3637,161,0,33,1680
1,17152,135,0,109,14774
0,3774,18,1,64,1570
1,8253,102,1,41,6340
0,477141,197,0,7,476586
1,4334,94,0,98,1968
1,20192,201,1,29,18165
0,636865,79,1,20,634829
1,391932,8,0,57,389746
0,1152,14,0,60,1
1,122003,229,1,11,119982
1,6765,192,0,79,4204
1,35613,194,1,119,33460
0,3468,70,0,95,1171
0,2352753,129,0,52,2351474
1,85349,66,0,4,84366
1,303473,216,0,12,301437
1,49973,26,0,23,48072
0,6110,99,0,100,3849
1,9061,55,1,72,6806
1,6479,134,0,108,5838
0,369971,60,0,54,367785
1,19107,104,1,43,16912
1,316113,226,0,11,313945
1,5333,21,0,65,3093
1,4679,113,0,39,2307
0,2152465,190,0,51,2150273
0,1347,23,0,67,4
1,3770,50,0,88,732
0,23314,236,0,2,21104
0,763294,174,0,26,761027
0,411395,37,1,13,410220
1,51771,234,1,35,49540
0,469090,34,1,1,466913
0,909502,74,0,34,907241
1,68193,146,0,25,66007
1,315631,215,0,12,313523
1,10067,28,1,44,8418
0,609383,78,1,20,607077
1,351915,199,0,56,350539
0,400277,27,0,10,398004
0,702444,212,0,22,701878
1,369509,61,1,13,367296
1,3147,43,0,83,535
0,526037,39,0,3,525222
1,57522,125,0,22,55348
0,1375691,119,1,44,1373202
1,3258,207,1,121,754
1,66424,233,0,35,64094
1,16197,176,1,117,13717
0,4947,46,0,85,2638
0,399311,90,1,14,397290
0,646569,181,0,12,644707
1,20107,68,0,49,17801
0,2123600,86,0,51,2121408
0,5726,0,1,123,3723
1,654471,75,1,51,652312
1,828777,107,1,46,827212
1,27070,139,0,16,24536
1,311650,214,0,12,309482
1,16283,184,0,78,15441
0,5683,56,0,92,3845
0,477984,149,1,5,475453
0,1178466,115,0,42,1176085
0,22657,144,1,112,20729
1,60946,145,1,52,58898
1,34512,89,1,97,32440
0,1028709,166,1,39,1026565
1,224206,200,1,34,222371
1,92121,138,0,40,90979
0,731499,33,1,23,729406
1,7491,126,0,22,5182
1,1036,15,0,62,2
1,14203,57,0,32,11819
0,1475,2,0,124,3
0,471716,220,0,5,470270
1,1909430,128,1,51,1907460
0,669243,186,1,18,667156
1,18709,35,0,27,16532
1,18062,132,1,107,16122
0,668634,154,0,24,666520
