Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Type,Chromosome_Id,Genomic_Start_Position
0,1174010,188,0,43,1168695
0,7476,0,0,60,127
1,609988,155,0,10,605538
1,1168419,160,1,50,1158055
0,1169344,40,0,44,1158920
1,18759,149,1,106,8548
1,52109,58,0,5,41772
1,18044,36,0,30,13358
0,424181,138,0,10,413739
0,225503,222,0,8,215040
1,940675,88,0,50,930293
0,330111,107,0,15,322282
1,458221,52,0,10,447770
0,328819,66,0,30,318764
0,18045,173,0,109,7588
1,83617,100,0,27,73238
0,743366,12,1,28,733188
0,723117,129,1,33,714922
0,796435,42,1,32,786038
0,296067,108,1,33,288610
1,5595,7,0,63,1
0,818767,118,0,29,810066
0,573981,156,0,10,563530
1,390898,218,0,34,380639
1,6832,25,0,75,2
1,46065,190,0,38,35644
0,842551,211,0,35,832124
1,63253,174,0,110,52823
1,78813,196,0,52,72588
0,149649,113,0,23,143326
0,816094,68,0,33,805796
0,11516,31,1,78,2172
1,26884,63,0,16,16478
1,22907,1,0,51,17262
0,5929,148,0,70,3
0,193120,183,0,23,183374
0,9732,191,0,115,1
1,970184,184,0,46,959784
0,213628,99,0,53,203258
0,647211,114,1,46,636820
1,138304,215,0,13,127910
1,13701,150,0,107,3220
0,328850,46,0,29,318795
0,6482,4,0,62,3
0,2345195,165,0,52,2334792
0,24168,110,1,97,13795
1,459416,64,0,34,449073
0,3034,90,0,94,2
1,252973,111,0,34,245186
1,62951,93,0,54,52593
1,347060,219,0,34,339083
1,45907,205,0,51,38978
1,141214,130,0,27,130814
0,789447,212,1,35,779023
0,475972,77,0,2,470489
1,409474,179,0,33,399029
1,47512,123,0,29,39092
1,802151,13,0,51,791817
0,33876,199,0,120,23431
1,1717944,170,0,49,1709332
0,745319,39,0,32,734937
0,891588,19,0,37,881293
1,934030,201,1,49,926063
1,127475,171,0,55,117093
0,6144,65,0,86,3
1,31191,119,0,35,20812
0,7954,192,0,116,2
1,229560,213,0,28,219184
0,571102,14,0,39,563645
1,69531,217,0,13,59128
0,13163,67,0,87,2601
0,5956,21,0,74,733
1,12411,133,1,101,1858
1,7614,2,0,61,1030
1,54831,125,0,52,44338
0,2370774,163,0,51,2360422
1,40663,197,0,119,30197
1,24830,101,0,27,14646
1,79790,207,1,51,69342
1,64484,127,0,30,55971
1,127990,147,1,54,117557
1,32850,186,0,9,28143
0,207695,54,0,15,204667
1,36235,216,0,13,25871
1,11492,32,0,79,5925
1,1233807,177,1,46,1224493
0,30892,74,0,22,20468
1,54812,6,0,32,50482
0,311779,49,0,52,306168
1,53674,203,0,59,43286
1,21015,76,0,18,14486
0,5481,153,0,108,1
1,9243,23,1,66,3028
1,89016,116,0,42,78604
0,574518,141,1,12,565420
1,27113,193,1,117,16665
1,71128,81,0,45,60752
0,347622,84,0,51,337195
0,65194,22,0,0,54806
1,6388,121,0,99,323
0,243214,167,0,33,232769
0,42086,37,0,82,31758
0,11147,33,0,80,4143
1,22103,169,0,33,14689
0,239506,159,0,15,231410
0,217558,3,1,25,208664
0,1049310,61,0,48,1038856
0,8611,115,0,69,3
0,62219,38,0,82,51870
0,11755,17,0,73,1460
0,586972,45,0,8,576509
1,88568,198,0,119,78117
0,13525,106,1,96,3143
0,623676,89,0,12,613279
1,11537,175,0,111,1098
0,505288,11,0,4,494840
0,780586,126,0,36,770171
1,158064,214,0,13,147781
1,12312,195,0,52,7990
0,1352921,105,0,50,1342479
1,353296,96,0,52,348857
0,13465,34,0,81,4539
0,1147531,122,0,43,1137248
0,595061,50,1,25,584655
0,1048694,137,0,41,1038261
1,214744,9,1,38,206012
0,3341,189,0,114,3
0,5467,73,0,90,2
1,225073,35,0,27,217409
1,6046,79,0,92,2
0,610602,140,0,26,600223
0,548110,151,0,18,541838
0,47046,60,1,68,36631
0,2017022,5,0,49,2011656
0,566844,202,1,17,556376
1,39653,24,0,37,33702
1,5905,55,0,84,1
0,1020605,200,1,49,1014285
1,17336,69,0,12,6891
1,6309,70,1,88,1
1,19647,57,0,85,9304
0,796416,187,0,29,789632
0,252780,210,0,16,242332
0,18102,16,0,72,7759
0,8750,10,1,65,352
0,230403,209,0,10,222871
0,638425,172,0,18,628055
1,34341,15,0,32,26002
0,5690,78,1,91,3
1,6239,135,0,103,3
1,5231,26,0,67,1
1,1301475,103,0,50,1291027
0,536745,47,0,18,531839
0,1351353,152,1,46,1340908
1,107347,18,0,57,100946
1,5029,28,0,77,2
1,82139,162,0,3,71676
1,534898,112,0,33,529028
1,97751,80,0,23,91272
0,1028641,20,0,40,1018586
0,64329,97,0,1,53935
0,19778,83,0,93,9420
1,364064,59,0,33,353619
0,501262,102,0,20,494255
1,1392969,104,0,50,1382515
0,736142,224,1,29,726108
0,13390,158,0,71,2987
0,635740,95,0,14,625292
1,29124,136,0,103,18715
0,510863,220,0,6,500484
0,288082,208,0,51,277652
1,12200,8,0,64,1905
1,12299,144,1,105,2049
0,775910,131,0,33,765552
0,424985,124,0,31,418893
1,11317,86,1,30,5433
1,487135,85,0,38,478468
0,656937,154,0,22,646543
0,400877,71,0,31,396354
0,490459,109,0,7,480062
1,188433,128,0,10,178087
1,34480,143,0,24,24017
1,76316,29,0,31,71757
1,22220,223,0,39,11901
0,508446,157,0,10,497998
1,1684949,56,0,50,1674489
1,72152,146,0,28,61794
1,7036,194,0,118,1
1,40882,91,1,41,30431
1,14711,134,1,102,4479
0,6131,48,0,83,890
1,8139,178,1,112,1
1,15047,120,1,98,4680
1,563694,142,0,26,556752
1,46671,98,0,95,36289
0,138943,51,0,23,131411
1,600090,181,0,33,589645
0,656716,87,0,21,646334
0,56068,176,0,111,45617
0,2345983,164,0,51,2335691
1,19621,53,0,57,13649
1,25728,92,1,56,21774
1,60872,206,0,51,50520
0,698669,82,0,23,688299
0,545365,221,0,19,535076
1,7213,72,0,89,1
1,12287,132,1,100,1776
0,572820,182,0,11,566630
0,1211309,161,0,50,1200861
1,53597,30,0,58,43140
0,7785,139,0,104,1726
0,1848415,41,0,47,1838054
0,902706,94,0,38,892584
1,52443,43,1,49,42064
1,34912,168,0,33,27714
0,685626,117,0,30,675331
1,11957,27,1,76,1581
1,31572,75,0,36,21127
1,12152,204,0,121,4158
1,102066,44,0,11,91621
1,364951,62,1,56,356759
1,6015,145,0,28,103
1,571446,180,1,33,561022
0,9497,185,1,113,3
0,332104,166,0,33,321641
