Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,1037760,370,370,4,0,22,1037092,1
1,0,18293,404,404,3,1,96,17649,0
0,0,1236,126,126,4,0,44,691,0
0,0,55025,360,360,4,0,84,54438,0
0,0,1457890,90,90,4,0,28,1457246,0
0,0,487260,205,205,4,0,23,486679,1
0,0,1995197,222,222,4,0,27,1994529,0
0,0,9057,388,388,4,0,91,8128,0
0,0,4555,134,134,4,0,65,3962,0
0,0,622513,28,28,4,0,28,621803,0
0,0,807166,155,155,4,0,22,806492,1
1,0,112468,401,401,1,1,95,111971,0
0,0,4870,342,342,4,0,79,4217,0
0,0,2682,269,269,4,0,77,1954,0
0,0,163066,9,9,4,0,8,162521,1
0,0,1943209,10,10,4,0,28,1942577,0
0,0,735451,97,97,4,0,28,734867,0
0,0,1357417,313,313,4,0,28,1356881,1
0,0,1481322,93,93,4,0,28,1480762,1
0,0,36247,73,73,4,0,15,35642,1
0,0,1187163,348,348,4,0,22,1186465,0
0,0,120884,36,36,2,0,14,120498,0
0,1,1894275,111,111,4,0,28,1893637,1
0,0,438865,353,353,4,0,17,438233,0
0,0,308712,371,371,4,0,16,308044,0
0,0,1033564,302,302,4,0,18,1032920,0
0,0,1578872,120,120,4,0,28,1578312,0
0,0,77237,62,62,4,0,58,76545,0
0,0,17407,266,266,4,0,75,16820,0
0,0,497483,127,127,4,0,17,496893,0
0,0,1707996,30,30,4,0,27,1707370,1
0,0,6677,380,380,4,0,87,6162,1
0,0,278070,227,227,4,0,3,277438,1
0,0,1686468,112,112,4,0,28,1685914,0
0,0,477620,210,210,4,0,6,476973,0
0,0,565167,383,383,2,0,20,564760,0
0,0,3882,128,128,4,0,61,3223,1
0,0,1685667,117,117,0,0,28,1685527,0
0,0,7629,235,235,4,0,71,6979,0
0,0,1645,357,357,4,0,84,1004,0
0,0,376974,57,57,4,0,3,376393,1
0,0,767988,276,276,4,0,27,767290,0
0,0,426818,140,140,4,0,4,426186,1
0,0,7249,55,55,4,0,57,6641,0
0,0,265007,264,264,4,0,23,264339,0
0,0,28027,46,46,4,0,53,27344,0
0,0,1118634,322,322,4,0,28,1117975,1
0,0,30799,74,74,4,0,15,30158,1
0,0,159847,68,68,4,0,14,159101,1
0,0,694973,310,310,4,0,27,694383,0
0,0,1610144,115,115,4,0,28,1609563,0
0,0,487905,172,172,4,0,3,487330,0
1,0,356421,430,430,3,1,13,355831,1
0,0,1921473,108,108,4,0,28,1920904,1
0,0,10499,40,40,2,0,51,10110,1
0,1,1739252,338,338,4,0,28,1738602,0
0,0,515441,211,211,4,0,6,514617,0
0,0,1109679,319,319,4,0,28,1109041,1
1,0,347837,19,19,3,1,3,347313,0
0,0,250738,326,326,4,0,3,250097,0
0,0,4939,8,8,4,0,33,4241,1
0,0,570400,76,76,4,0,7,569783,0
1,0,544317,149,149,1,1,22,543658,0
0,0,52129,270,270,4,0,77,51491,0
1,0,19103,381,381,3,1,87,18480,1
0,0,4829,263,263,4,0,74,4128,0
0,0,599763,238,238,4,0,10,598996,1
0,0,430625,13,13,4,0,16,430509,0
0,0,1142859,409,409,4,0,27,1142287,1
0,0,339516,230,230,4,0,3,338926,0
0,0,1413348,214,214,4,0,26,1412725,1
0,0,1066542,405,405,4,0,27,1065931,1
0,0,15668,346,346,4,0,80,15015,0
0,0,6518,307,307,4,0,1,5874,1
0,0,26110,309,309,4,0,14,25487,1
1,0,504309,428,428,3,1,4,503911,1
0,0,610947,368,368,4,0,22,610288,1
0,0,1935320,221,221,4,0,27,1934724,0
0,0,216763,325,325,4,0,3,216122,0
1,0,588625,160,160,3,1,4,587969,1
0,0,412598,286,286,4,0,30,411981,1
1,0,463493,102,102,3,1,0,462885,1
0,0,14001,394,394,4,0,93,13402,1
0,0,276224,139,139,4,0,22,275592,0
0,0,602338,323,323,4,0,6,601643,1
0,0,1845,389,389,2,0,92,1489,1
0,0,314714,123,123,4,0,12,314181,0
0,0,1464254,89,89,4,0,28,1463646,0
0,0,1100102,407,407,4,0,27,1099440,1
0,0,444695,33,33,4,0,3,444042,0
0,0,42175,386,386,4,0,89,41594,0
0,0,9261,130,130,4,0,63,8539,0
0,0,382637,59,59,4,0,3,382086,0
0,0,35038,306,306,4,0,1,34388,1
0,0,410050,253,253,4,0,16,409331,0
1,0,13194,351,351,3,1,82,12661,1
0,0,641578,83,83,4,0,11,640880,1
0,0,320021,423,423,4,0,4,319437,1
0,0,70385,303,303,4,0,15,69732,0
0,0,2893,384,384,4,0,88,2228,0
0,0,36160,21,21,4,0,14,35462,1
1,0,628319,187,187,3,1,13,627354,1
1,0,978860,281,281,1,1,27,978390,0
0,0,288480,177,177,4,0,17,287506,0
0,0,331967,156,156,4,0,16,331098,0
0,0,467996,366,366,4,0,22,467418,0
0,0,1344856,202,202,4,0,21,1344239,0
0,1,340144,413,413,4,0,14,339536,0
0,0,218124,169,169,4,0,17,217234,0
0,0,11303,52,52,4,0,56,10641,1
0,0,12594,201,201,4,0,47,11959,1
0,0,789660,154,154,4,0,22,789061,1
0,0,855201,25,25,4,0,27,854569,1
0,0,873,6,6,4,0,35,262,1
0,0,16035,344,344,4,0,79,15472,0
0,0,301818,284,284,4,0,14,301183,1
0,0,281,11,11,5,0,36,3,1
0,0,578960,77,77,4,0,7,578253,0
0,0,1665163,31,31,4,0,27,1664528,0
0,0,538452,148,148,4,0,22,537880,1
0,0,278450,249,249,4,0,16,277617,0
0,0,473006,259,259,4,0,16,472107,0
0,0,16573,168,168,4,0,67,15977,0
1,0,15631,124,124,1,1,43,14972,0
0,0,2130876,105,105,4,0,28,2130250,1
0,0,750998,204,204,4,0,16,750414,0
0,0,497850,299,299,4,0,10,497083,1
0,0,653543,84,84,4,0,11,652923,1
0,0,698962,98,98,4,0,28,698387,1
0,0,350824,414,414,2,0,14,350453,1
0,0,584282,135,135,4,0,10,583626,1
0,0,425782,144,144,2,0,14,425384,0
0,0,1183104,328,328,4,0,26,1182499,0
0,0,160801,403,403,4,0,95,160181,0
0,0,6106,95,95,4,0,60,5495,1
0,0,393310,287,287,4,0,30,392783,0
0,0,514088,298,298,4,0,10,513441,1
0,0,667099,5,5,4,0,10,666332,1
0,0,244449,293,293,4,0,16,243556,0
0,0,223254,294,294,4,0,16,222562,0
0,0,260483,179,179,4,0,17,259935,0
0,0,1069989,197,197,4,0,28,1069351,0
0,0,198335,44,44,4,0,10,197730,1
0,0,1235855,190,190,2,0,28,1235211,1
0,0,1109266,398,398,4,0,23,1108595,0
0,0,6197,387,387,4,0,90,5628,0
0,0,38888,79,79,4,0,14,38181,1
0,0,2159962,329,329,4,0,27,2159390,0
0,0,1411596,23,23,4,0,28,1410949,0
0,0,2152710,106,106,4,0,28,2152117,1
