Gene_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,301826,242,242,31,299487,0
1,32772,97,97,4,29866,1
0,373899,28,28,5,371611,1
0,736453,78,78,23,733583,0
0,190552,79,79,21,188093,1
0,1516533,42,42,32,1514173,1
0,465591,162,162,15,462814,0
0,54199,31,31,58,51578,1
0,988200,207,207,23,985546,1
0,1062895,234,234,31,1060310,1
0,246580,86,86,19,243767,0
0,758419,44,44,22,756089,0
0,488327,203,203,23,485541,0
1,322020,237,237,19,319249,0
0,33755,26,26,44,30969,0
0,355891,244,244,6,353552,0
0,993191,43,43,32,990858,1
1,1150558,193,193,23,1147775,1
0,1152306,222,222,24,1149583,0
0,1161129,166,166,32,1158613,0
1,32977,216,216,85,30248,1
0,33431,25,25,55,30843,1
0,184674,5,5,12,182293,0
0,1757922,189,189,32,1755496,1
0,553480,174,174,1,550610,0
0,16153,29,29,56,13502,0
0,292921,245,245,6,290183,1
0,256062,179,179,5,253732,0
0,25495,49,49,61,22811,0
0,8691,196,196,78,6085,1
0,180436,213,213,11,177890,1
0,15222,212,212,82,12538,1
0,867065,116,116,23,864531,0
0,1966199,103,103,31,1963551,1
0,546874,143,143,15,544250,0
0,1024944,233,233,31,1022305,0
0,519004,251,251,7,516413,0
0,1176004,165,165,32,1173581,0
0,156435,33,33,19,153649,1
0,447956,177,177,24,445458,1
0,735391,128,128,31,733043,0
0,1102343,226,226,24,1099539,0
0,1314205,89,89,32,1311887,0
0,1034195,209,209,23,1031508,1
0,204433,61,61,14,201761,1
0,1800605,108,108,31,1797939,1
0,125132,80,80,4,122370,1
1,17633,21,21,53,14982,0
0,4209,121,121,69,1423,0
0,187941,232,232,5,185287,0
0,1065877,199,199,26,1063010,0
0,432191,135,135,16,429708,0
0,513629,257,257,15,510834,0
0,568671,173,173,32,566338,1
1,1123469,221,221,24,1120611,0
1,432436,159,159,15,429818,0
0,422008,201,201,17,419294,0
1,86749,153,153,3,84020,1
0,50888,152,152,20,48174,1
1,107074,254,254,2,104540,0
0,622377,40,40,31,620053,0
1,389747,164,164,15,387120,0
0,352788,249,249,18,350182,1
0,185153,23,23,27,182502,0
0,378614,163,163,15,375975,0
0,309384,110,110,5,306937,0
0,585607,81,81,6,583331,1
0,7162,19,19,51,4697,0
0,650434,38,38,14,647633,1
0,23290,218,218,50,20606,1
0,9867,59,59,63,7462,0
0,473501,202,202,23,470631,0
0,1713823,7,7,30,1711409,0
0,700388,14,14,15,697620,0
0,14845,46,46,60,11996,0
0,8092,214,214,83,5759,0
1,13979,198,198,80,11352,1
0,1053239,112,112,23,1050549,0
0,15062,85,85,66,12438,0
1,1100880,195,195,23,1098211,1
0,8115,172,172,49,5269,1
0,379418,170,170,34,376740,1
0,2047179,185,185,31,2044399,1
0,665447,73,73,23,662586,1
0,475012,142,142,7,472298,0
0,1324430,88,88,32,1322082,0
0,1156973,236,236,31,1154469,0
1,9580,197,197,79,6749,1
0,428427,87,87,20,425755,0
0,1096585,235,235,31,1093946,1
0,810651,169,169,22,808318,0
0,12594,151,151,76,9967,0
0,9089,217,217,85,6579,1
1,45075,124,124,72,42286,0
1,1611964,100,100,30,1609262,1
0,1828534,107,107,31,1825916,0
0,483376,96,96,24,480707,1
0,1865809,105,105,31,1862957,0
0,139709,253,253,1,138117,0
0,404584,118,118,22,402206,0
0,1731005,191,191,29,1728183,0
0,2060220,184,184,31,2057611,1
1,255561,17,17,23,253126,0
0,12158,10,10,43,9363,1
0,21771,83,83,64,19363,0
0,506933,18,18,23,504105,0
0,454333,158,158,15,451748,0
0,262330,243,243,6,259847,0
0,568854,259,259,15,566233,0
0,16377,145,145,74,13513,1
1,199898,35,35,19,197364,1
1,1633076,187,187,31,1630521,0
0,602587,41,41,31,600077,0
0,768058,75,75,23,765323,0
0,1129346,168,168,32,1126764,1
0,20976,56,56,46,18310,0
0,5331,150,150,75,2932,0
0,629809,113,113,13,627020,1
0,1825289,188,188,32,1822929,0
1,590672,258,258,15,588504,0
0,6553,120,120,68,4166,1
0,1169591,223,223,24,1166769,0
0,13678,156,156,3,10931,1
0,468388,67,67,6,465485,0
1,476059,149,149,5,473501,0
0,1251196,181,181,30,1248512,0
0,1015945,208,208,23,1013150,1
0,1147282,167,167,32,1144757,1
0,721934,74,74,23,719244,1
1,1582479,186,186,31,1579936,0
0,221070,141,141,9,218443,1
0,218715,54,54,17,215884,1
0,11062,4,4,39,8450,0
0,1570228,99,99,30,1568267,1
1,308185,64,64,23,306188,0
0,546370,45,45,8,543824,0
0,410579,136,136,16,407808,0
0,57145,55,55,46,54284,0
0,849988,205,205,23,847319,0
1,408107,16,16,5,405750,0
