Gene_Type,Genomic_End_Position,Gene_Db_Id,Entity_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,155219,154,0,2,154221,0
1,434666,127,1,16,433053,0
0,1524263,36,0,23,1522857,0
0,919364,84,0,22,918156,0
0,10687,110,0,34,9590,0
0,1108489,109,0,23,1107152,1
0,33930,49,0,31,32737,0
0,340376,73,0,4,339975,0
0,566165,33,0,8,564966,0
1,6500,30,1,29,5433,0
1,496522,94,1,10,495068,1
0,447552,1,0,16,446896,0
0,1494962,37,0,23,1493559,1
0,437003,65,0,18,436320,0
0,726501,39,0,23,725125,1
0,1117420,108,0,23,1116176,1
0,617159,57,0,5,615924,0
0,1404649,105,0,23,1403372,0
1,3182,21,1,35,2247,0
1,553803,91,1,12,552229,0
0,1359,81,0,32,532,1
1,492874,56,1,9,492284,0
0,512575,152,0,6,511070,0
0,831522,12,0,22,830434,1
0,7259,6,0,26,6249,0
1,452810,95,1,10,452175,0
0,68405,136,0,49,67296,1
0,1047742,141,0,22,1046660,1
0,526360,149,0,5,525035,1
0,1898756,45,0,23,1897875,1
0,1944921,122,0,23,1944244,0
0,2480,74,0,45,1071,1
0,437973,96,0,1,437293,1
0,209311,50,0,11,208193,1
0,1587887,120,0,22,1586445,1
1,1867030,44,1,23,1865636,0
0,15753,10,0,27,14641,0
0,580857,34,0,8,579490,0
1,10644,93,1,47,9307,1
0,367224,148,0,5,366097,0
0,1267766,61,0,23,1266495,1
0,1506761,116,0,21,1505442,1
0,626028,40,0,7,624868,1
0,290343,72,0,4,289018,0
0,1172370,107,0,23,1171051,0
1,411413,89,1,24,410007,1
0,42426,100,0,3,41221,0
0,532332,150,0,5,531106,1
1,1789020,71,1,22,1787623,1
0,523945,113,0,1,522770,1
0,601068,112,0,7,599905,1
0,151073,138,0,49,149964,0
0,1733432,126,0,23,1732098,0
1,924253,85,1,22,923378,1
0,1651899,46,0,23,1651012,1
0,228042,114,0,4,226948,0
0,432268,5,0,15,431189,0
0,1002291,87,0,22,1001194,0
0,1751668,125,0,23,1750310,0
0,211061,153,0,0,209817,0
1,18783,26,1,39,17596,0
1,65502,29,1,41,63997,0
0,754771,53,0,17,753767,1
0,2018230,119,0,22,2016848,0
0,207419,58,0,16,207000,0
0,598434,75,0,10,597786,1
0,1248251,62,0,23,1246854,1
0,559992,90,0,5,558766,1
0,231983,82,0,10,230514,1
0,423600,145,0,23,422017,0
1,9275,47,1,43,7716,1
0,2090497,20,0,23,2089121,1
0,472615,52,0,5,471425,0
0,412929,51,0,5,411703,0
0,1933792,4,0,23,1933010,0
1,1778404,124,1,23,1777100,1
0,1127672,133,0,18,1126485,0
0,1741983,15,0,22,1740772,0
1,1072628,132,1,18,1071504,0
0,1152412,35,0,20,1151105,1
0,146779,92,0,10,145715,1
1,379854,79,1,15,379126,0
1,1015761,64,1,23,1014583,0
1,1365596,66,1,21,1364481,0
0,405983,7,0,18,405798,0
1,52782,135,1,49,51379,1
1,852,48,1,31,1,0
0,233697,2,0,11,233434,1
0,1601313,69,0,21,1599847,0
1,2053277,19,1,23,2051877,1
1,597683,128,1,10,596868,1
1,23787,25,1,38,22417,0
0,494627,41,0,1,493452,0
0,1622991,121,0,22,1622125,1
1,169772,31,1,13,168840,1
0,1413484,11,0,23,1412150,0
0,54854,27,0,39,53844,0
0,2157389,43,0,23,2156019,0
0,6378,59,0,44,4900,1
0,439354,101,0,12,437786,0
0,1093548,134,0,18,1092211,0
0,211328,151,0,8,209856,1
0,59441,99,0,3,58461,0
1,1804221,70,1,22,1803316,1
0,1547471,117,0,21,1546002,1
0,155993,111,0,19,154689,1
1,6733,24,1,37,6122,0
0,12244,28,0,40,11150,0
0,1499180,115,0,21,1497708,0
0,67849,98,0,3,66767,0
0,340851,8,0,4,340480,0
0,298468,78,0,15,296987,0
0,586,0,0,33,2,0
0,1398991,106,0,23,1398122,0
0,458510,16,0,4,457881,1
0,899374,76,0,17,898190,0
0,13267,22,0,36,11954,0
1,1459767,38,1,23,1458433,0
0,7956,32,0,30,6742,1
1,162444,139,1,49,161326,0
0,484137,80,0,15,482659,0
1,262696,60,1,13,261617,0
0,1683736,13,0,22,1682645,0
0,497535,155,0,12,496600,0
1,114367,137,1,49,112967,0
0,799780,140,0,14,799199,0
1,417432,102,1,12,415855,0
0,1420721,68,0,21,1419405,0
0,318880,147,0,5,317777,1
0,799094,55,0,14,798498,0
0,8841,17,0,28,7366,1
0,37052,129,0,48,35940,0
0,1361937,104,0,23,1361035,1
0,174865,131,0,9,173582,1
0,485,3,0,25,3,1
0,27971,83,0,46,26910,1
0,403184,97,0,1,402012,0
0,85134,88,0,13,83866,1
0,1951553,123,0,23,1950669,0
1,1386264,103,1,23,1384861,0
1,2074708,18,1,23,2073437,1
1,1071422,143,1,22,1070148,1
0,987463,86,0,22,986558,0
0,383794,23,0,23,382214,0
0,1370954,67,0,21,1369569,1
0,936561,77,0,17,935551,0
0,1026521,63,0,23,1025604,0
0,24760,144,0,50,23234,1
0,304330,146,0,5,303281,1
0,17944,130,0,48,16457,1
1,813285,54,1,17,812281,0
0,1672453,14,0,22,1671053,0
0,349644,9,0,4,348280,0
0,1558841,118,0,21,1557681,1
0,6048,42,0,42,4708,0
0,1065367,142,0,22,1064159,1
