Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position
1,447558,84,2,1,13,447142
0,9446,79,2,1,38,7647
0,5255,73,3,0,19,2763
0,994934,12,2,1,12,993237
1,2113129,5,2,1,17,2112008
1,339503,95,2,1,5,338613
0,571876,59,2,1,5,570902
0,409340,94,0,0,17,408633
0,747945,60,3,0,9,745645
0,415,76,3,0,37,74
0,34900,81,2,1,40,34403
1,1568049,33,3,0,17,1567459
0,796821,75,2,1,11,795886
0,677663,23,2,1,17,676746
1,1037381,92,2,1,16,1036476
1,434997,7,0,0,4,434554
0,787501,69,2,1,12,786539
1,514049,83,3,0,10,513210
0,1751697,6,1,1,16,1751281
0,767190,26,2,1,11,766081
0,155295,90,2,1,41,154171
0,14817,15,4,0,25,14209
0,74492,20,2,1,3,73803
0,1021876,57,2,1,16,1021316
0,1605890,77,2,1,16,1605162
0,310242,36,2,1,13,309811
0,1067748,78,2,1,13,1067248
0,810033,67,2,1,12,808633
0,524283,28,2,1,6,523744
0,1162532,39,2,1,16,1161927
0,796791,68,2,1,12,795304
1,1115404,70,2,1,17,1114712
0,292232,51,0,0,4,291777
0,493953,85,2,1,13,493609
1,579,46,4,0,31,1
0,1575106,50,2,1,16,1574483
1,1226536,44,2,1,17,1225625
0,738027,48,2,1,11,736090
1,624101,24,2,1,6,623469
1,6256,13,3,0,23,4343
1,3678,42,2,1,29,1996
0,415202,8,0,0,4,414870
0,456990,37,2,1,5,456034
1,26464,56,2,1,33,24623
0,43740,65,0,0,2,43105
0,556441,27,0,0,6,555500
0,302448,34,2,1,13,301999
0,408301,93,2,1,17,407363
1,14261,88,3,0,20,11517
1,69017,91,5,0,4,68592
1,1643722,31,2,1,17,1642802
1,84542,19,2,1,27,84111
1,2665,11,3,0,22,1541
0,1145346,89,2,1,14,1144930
1,1078009,0,2,1,13,1077569
1,598,62,4,0,34,2
0,743148,40,0,0,13,742618
1,1445532,21,2,1,17,1444765
1,828817,3,0,0,16,828224
1,1493,80,2,1,39,471
1,752839,22,2,1,17,752246
1,2418,10,2,1,21,715
1,405646,53,2,1,13,404846
0,1735532,71,3,0,15,1734645
1,995699,86,3,0,13,995106
1,2026309,9,0,0,17,2025506
1,483,18,2,1,27,1
0,1708125,2,3,0,15,1707238
1,571767,74,2,1,17,570709
0,888037,87,2,1,11,886754
1,18905,64,3,0,36,17574
0,1735953,72,0,0,15,1735636
1,846780,4,2,1,16,844948
1,3924,63,2,1,35,2239
0,287968,35,0,0,13,286817
0,776048,25,2,1,11,775092
1,15756,45,2,1,30,14755
0,232541,29,2,1,0,231249
0,322283,55,2,1,14,321357
1,75990,1,2,1,8,74263
0,156954,97,2,1,1,155782
1,389254,82,2,1,10,388238
0,12112,17,0,0,26,11726
1,3821,14,3,0,24,1521
0,1680779,32,2,1,17,1680060
1,11816,47,3,0,32,9516
0,446968,58,2,1,17,445976
1,1658775,30,2,1,17,1658077
1,1285729,43,2,1,17,1284860
0,1217,96,2,1,42,24
1,145136,61,2,1,7,143469
0,703062,66,2,1,16,702091
1,1786875,49,2,1,16,1786159
0,1000,41,2,1,28,2
0,457660,38,0,0,5,457121
1,2307,52,2,1,18,1621
0,309976,54,3,0,14,309383
0,11716,16,0,0,26,11321
