Gene_Type,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
1,25,38827,226,226,25,35924,1
1,185,4679,184,184,134,1893,0
0,139,9869,53,53,58,8244,1
1,69,825842,310,310,40,823350,0
0,140,502030,130,130,0,499289,0
1,97,79193,77,77,3,76656,1
1,143,2449,0,0,152,11,0
0,142,7010,291,291,148,4233,1
0,166,66235,248,248,41,64469,1
1,27,21822,317,317,13,18838,1
1,83,3014,94,94,66,228,1
0,5,77950,17,17,24,74987,1
1,4,510295,141,141,27,507728,1
1,69,847503,311,311,40,845194,0
1,92,6673,233,233,139,3815,0
1,10,181574,314,314,30,180063,1
1,37,625252,229,229,28,622190,0
1,121,981807,277,277,52,979324,1
1,138,16715,187,187,46,14439,1
1,155,2940,213,213,136,73,1
0,20,8383,220,220,137,7271,0
0,184,17724,293,293,59,14986,1
1,174,13435,271,271,144,10745,0
0,163,86361,189,189,15,83876,1
1,4,225780,78,78,27,223900,0
1,4,578138,99,99,27,576360,0
1,28,504140,267,267,2,500865,0
1,27,636457,214,214,13,635763,0
1,1,847195,164,164,35,845501,0
1,168,492362,27,27,1,490971,0
1,46,236472,224,224,3,233641,0
0,139,779582,204,204,31,776703,0
1,110,7188,124,124,121,4384,0
1,111,8831,110,110,119,6234,1
0,51,650247,101,101,27,648161,0
1,108,984,304,304,151,31,0
1,107,1094,23,23,75,159,1
0,134,24358,272,272,144,21590,0
0,90,1225,52,52,79,1,1
1,124,628999,143,143,12,626735,0
1,12,13990,115,115,16,11384,1
1,135,28068,64,64,67,25282,1
1,67,3158,255,255,93,408,1
1,133,2351295,264,264,58,2348338,0
0,30,9939,56,56,102,8926,0
0,24,65081,83,83,25,62292,1
1,15,9052,247,247,142,7148,1
0,180,805554,313,313,40,804478,0
0,94,782600,205,205,31,781197,0
1,86,3790,211,211,89,806,0
1,133,1573917,167,167,58,1571158,0
0,9,1995400,175,175,56,1993454,0
0,25,794113,243,243,33,793295,0
1,14,644271,97,97,58,641242,1
0,166,56433,249,249,41,54619,1
1,91,654938,253,253,27,652152,0
1,178,1032018,49,49,44,1029001,0
0,40,1140600,197,197,46,1138639,0
1,175,411506,58,58,33,408474,0
1,125,924785,237,237,57,922281,1
0,84,1204,126,126,87,2,0
0,109,8397,15,15,9,5578,1
0,7,764760,203,203,31,762982,0
1,148,976,20,20,74,2,1
1,105,587182,273,273,37,584897,1
1,6,3258,40,40,77,436,0
1,181,6116,57,57,103,4224,1
0,13,606712,238,238,12,603989,0
1,73,21218,242,242,26,18921,1
0,137,2501,82,82,38,102,1
1,160,7457,215,215,41,4911,1
0,54,490870,45,45,1,489493,0
1,171,4777,18,18,70,2027,1
0,76,26225,207,207,65,24447,1
1,74,22430,44,44,34,19944,1
1,162,15107,263,263,2,12237,1
1,167,41742,307,307,44,39727,1
0,129,663320,259,259,24,660522,0
0,25,58458,114,114,16,55432,1
1,18,486237,24,24,47,483109,0
1,14,353345,138,138,58,350952,0
1,139,16574,223,223,138,14088,1
0,158,3713,283,283,97,2106,0
1,14,44770,25,25,50,42977,1
0,2,3597,235,235,140,1834,0
1,103,5794,135,135,123,3014,0
0,0,655728,169,169,18,653962,0
0,134,33262,308,308,44,31331,1
0,55,791878,121,121,37,790079,0
1,175,760085,244,244,33,757590,0
0,127,1852491,174,174,54,1847980,0
1,178,130785,104,104,20,128263,0
1,77,122539,191,191,14,120197,1
0,119,594892,227,227,28,591674,0
0,53,571445,199,199,21,567813,0
1,113,690966,180,180,32,687994,0
1,29,9553,113,113,85,7784,0
1,75,582823,21,21,21,581135,0
0,179,67475,296,296,56,65139,1
1,77,25743,231,231,14,24748,1
1,108,71114,196,196,4,69705,1
0,120,103187,323,323,9,101616,0
0,61,702008,181,181,32,700188,0
1,16,585311,228,228,28,582390,0
1,85,2350211,168,168,59,2347587,0
1,130,491613,133,133,41,488857,1
1,19,12191,232,232,14,9909,1
1,115,1182,91,91,115,1,1
1,122,59561,140,140,50,57681,1
0,156,14595,65,65,67,12280,1
1,47,9360,256,256,94,6577,0
0,149,1434052,155,155,52,1432280,0
1,82,29749,162,162,29,26915,1
1,175,430057,186,186,33,427406,0
1,57,14455,89,89,113,11690,0
0,162,30562,278,278,18,28739,1
0,2,4524,241,241,141,2574,0
0,59,4216,132,132,47,1460,1
0,86,19758,185,185,135,17038,0
0,99,47207,80,80,112,45534,1
0,164,36437,102,102,117,35517,1
1,38,5595,68,68,107,2761,1
1,136,912033,72,72,41,909235,0
1,71,2693,280,280,96,396,0
0,107,4036,63,63,67,1289,1
1,58,93761,71,71,65,90201,1
1,59,11733,73,73,82,9154,0
1,44,706189,14,14,29,704129,0
0,150,120500,322,322,9,118605,0
1,162,26060,260,260,2,23298,1
1,116,351197,218,218,62,348939,0
0,156,8589,29,29,42,6541,1
0,66,1385359,154,154,52,1383590,0
1,8,688837,87,87,26,685982,0
0,166,54516,93,93,41,53479,1
0,26,1739,12,12,72,3,1
0,130,201879,299,299,61,200095,0
1,85,1320804,151,151,59,1318300,0
1,91,628364,100,100,27,625434,0
0,161,3779,183,183,133,1517,0
0,16,64637,150,150,65,62859,1
1,52,4799,270,270,144,2103,0
1,108,7313,236,236,140,4734,0
0,152,19476,160,160,128,17815,1
