Entity_Type,Gene_Description,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,1097,13,13,7,0,51,1,0
0,0,30308,53,53,6,0,2,27168,1
1,0,81368,21,21,2,1,22,80808,1
0,0,763,10,10,1,0,52,5,0
0,0,703218,19,19,8,0,36,701626,0
1,0,5286,82,82,2,1,75,4336,1
1,0,93861,100,100,2,1,32,92599,1
0,0,716461,49,49,6,0,38,713525,0
0,0,581462,112,112,5,0,4,578019,0
0,0,212280,148,148,8,0,10,211864,0
1,0,38881,133,133,2,1,86,36347,0
0,0,297517,81,81,6,0,14,294389,0
0,0,83014,122,122,8,0,22,81473,1
0,0,720,141,141,8,0,92,1,1
0,0,666404,22,22,8,0,24,665952,0
1,0,30302,0,0,2,1,31,29316,1
1,0,5807,131,131,2,1,26,3882,1
1,0,118859,98,98,2,1,9,115842,1
0,0,9728,42,42,6,0,67,6585,0
0,0,12029,47,47,8,0,69,11478,0
1,0,6579,69,69,2,1,16,5257,1
1,0,4234,78,78,2,1,73,3116,1
1,0,99546,110,110,2,1,12,97369,0
1,0,32123,60,60,2,1,10,29739,1
1,0,929052,124,124,2,1,31,925927,0
0,0,4123,90,90,5,0,76,1628,1
0,0,116617,56,56,6,0,13,113450,0
1,0,8113,66,66,2,1,70,5945,0
0,0,4229,138,138,6,0,89,1371,1
0,0,33235,7,7,8,0,9,30782,1
0,0,1206,16,16,8,0,53,1,0
1,0,789292,97,97,2,1,29,788021,0
1,0,53098,127,127,2,1,34,49949,1
1,0,99066,113,113,2,1,1,97825,1
0,0,318588,153,153,6,0,14,315535,0
0,0,1289,11,11,8,0,49,3,0
0,0,546,143,143,8,0,94,1,1
1,0,383983,5,5,2,1,46,383429,1
1,0,213521,149,149,2,1,10,212382,0
1,0,57661,44,44,2,1,41,55166,1
1,0,74545,151,151,2,1,8,72053,1
1,0,8781,27,27,2,1,59,5653,0
0,0,599,1,1,7,0,58,3,0
0,0,81855,146,146,6,0,10,78709,1
1,0,341238,28,28,2,1,4,338959,1
0,0,227216,79,79,8,0,43,225387,0
1,0,5181,105,105,2,1,79,4192,0
1,0,99079,54,54,2,1,2,97820,1
0,0,35758,6,6,7,0,9,35156,1
1,0,46653,88,88,2,1,38,44743,1
0,0,521345,25,25,6,0,1,518232,0
0,1,54155,59,59,6,0,10,50976,1
1,0,96937,121,121,2,1,30,96035,1
0,0,1771,20,20,8,0,55,5,0
0,0,9252,128,128,8,0,85,7177,0
0,0,1005,18,18,8,0,54,1,1
1,0,573456,48,48,2,1,3,572590,0
1,0,552643,118,118,2,1,20,550361,1
1,0,1017672,50,50,2,1,34,1015075,0
0,0,1291,14,14,8,0,56,11,1
0,0,55385,130,130,6,0,0,52233,1
1,0,6751,106,106,2,1,79,5450,0
1,0,3425,119,119,2,1,84,855,1
0,0,68231,99,99,6,0,23,65097,1
0,0,750258,9,9,7,0,38,748432,0
1,0,201286,38,38,2,1,21,199007,1
0,0,307836,152,152,8,0,14,304756,0
0,0,13944,64,64,5,0,44,11467,1
0,0,43791,73,73,6,0,9,40663,1
1,0,100486,55,55,2,1,13,98009,0
0,0,1126783,132,132,5,0,39,1124243,1
0,0,4790,125,125,6,0,63,1644,1
0,0,304,129,129,7,0,64,2,0
0,0,30678,115,115,7,0,9,29548,1
0,0,642289,108,108,6,0,8,639173,0
0,0,40231,111,111,7,0,82,38468,1
0,0,704,15,15,3,0,57,18,1
1,0,701522,72,72,2,1,26,698580,0
0,0,33620,87,87,6,0,38,30504,1
1,0,673825,84,84,2,1,26,670661,0
1,0,782421,65,65,2,1,26,781378,0
0,0,100844,34,34,7,0,12,99663,0
0,0,632799,51,51,6,0,19,629461,0
0,0,559272,83,83,6,0,40,556483,0
0,0,4270,37,37,5,0,42,1799,1
1,0,673601,76,76,2,1,27,670680,0
0,0,429068,85,85,6,0,25,425925,0
0,0,484,140,140,8,0,91,2,1
1,0,7065,71,71,2,1,72,6076,1
0,0,506906,101,101,0,0,14,503742,0
1,0,28960,2,2,2,1,31,27503,1
1,0,1651,95,95,2,1,62,830,1
0,0,302755,62,62,8,0,14,301802,0
0,0,1330,12,12,8,0,50,2,0
