Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,1169344,41,41,0,44,1158920,0
0,7614,2,0,0,60,1030,1
0,609988,159,159,0,10,605538,1
0,1211309,163,163,0,49,1200861,0
0,71128,81,81,0,45,60752,1
1,18759,153,153,1,107,8548,1
0,52109,55,55,0,5,41772,1
0,64484,128,128,0,30,55971,1
0,424181,139,139,0,10,413739,0
0,225503,223,223,0,8,215040,0
1,1026196,142,142,1,49,1015775,0
0,26884,60,60,0,16,16478,1
0,458221,50,50,0,10,447770,1
0,685626,120,120,0,30,675331,0
0,18045,173,173,0,110,7588,0
0,108909,131,131,0,27,98518,1
0,47512,125,125,0,29,39092,1
0,775910,132,132,0,33,765552,0
0,22103,171,171,0,33,14689,1
0,332104,168,168,0,33,321641,0
0,7780,8,8,0,63,2,1
1,11317,86,86,1,30,5433,1
0,573981,160,160,0,10,563530,0
0,459416,61,61,0,34,449073,1
1,5380,25,25,1,75,2,1
1,214744,9,9,1,38,206012,1
0,31572,75,75,0,36,21127,1
0,63253,174,174,0,111,52823,1
0,286931,192,192,0,51,283691,0
1,162112,184,184,1,23,156224,0
0,14171,179,179,0,34,4392,1
0,11492,32,32,0,78,5925,1
0,252780,212,212,0,16,242332,0
0,45907,207,207,0,50,38978,1
0,13390,162,162,0,70,2987,0
0,698669,82,82,0,23,688299,0
0,9732,193,193,0,116,1,0
1,1233807,177,177,1,46,1224493,1
0,62951,94,94,0,53,52593,1
0,970184,185,185,0,46,959784,1
0,138304,216,216,0,13,127910,1
0,13701,154,154,0,108,3220,1
0,689245,14,14,0,29,678794,0
0,5595,6,6,0,62,1,1
0,213628,100,100,0,52,203258,0
1,24168,113,113,1,98,13795,0
0,31191,122,122,0,35,20812,1
0,3034,91,91,0,95,2,0
0,347060,220,220,0,34,339083,1
1,127990,151,151,1,53,117557,1
0,390898,219,219,0,34,380639,1
0,60872,208,208,0,50,50520,1
0,225073,35,35,0,27,217409,1
0,842551,213,213,0,35,832124,0
0,475972,77,77,0,2,470489,0
0,534898,114,114,0,33,529028,1
0,59093,69,69,0,29,53591,1
0,2345983,166,166,0,50,2335691,0
0,33876,201,201,0,121,23431,0
0,2017022,4,4,0,48,2011656,0
1,796435,42,42,1,32,786038,0
0,908777,38,38,0,37,898398,0
1,1020605,202,202,1,48,1014285,0
1,25728,93,93,1,55,21774,1
0,13163,65,65,0,87,2601,0
1,789447,214,214,1,35,779023,0
0,7954,194,194,0,117,2,0
1,743366,12,12,1,28,733188,0
0,1028641,19,19,0,40,1018586,0
0,69531,218,218,0,13,59128,1
0,5243,68,68,0,88,2,0
0,9826,22,22,0,74,2831,0
1,12411,134,134,1,102,1858,1
0,6482,3,3,0,61,3,0
0,78813,198,198,0,51,72588,1
0,12312,197,197,0,51,7990,1
0,40663,199,199,0,120,30197,1
0,51361,101,101,0,27,40991,1
0,288082,210,210,0,50,277652,0
0,328819,64,64,0,30,318764,0
0,127475,172,172,0,54,117093,1
0,32850,187,187,0,9,28143,1
0,207695,52,52,0,15,204667,0
0,36235,217,217,0,13,25871,1
0,11147,33,33,0,79,4143,0
1,1351353,156,156,1,46,1340908,0
0,656937,158,158,0,22,646543,0
0,745319,40,40,0,32,734937,0
0,353296,97,97,0,51,348857,1
0,7476,0,1,0,59,127,0
0,63323,188,188,0,18,53163,1
0,5481,157,157,0,109,1,0
0,5231,27,27,0,66,1,1
0,78745,63,63,0,43,68291,1
1,574518,143,143,1,12,565420,0
1,27113,195,195,1,118,16665,1
1,647211,117,117,1,46,636820,0
0,802151,13,13,0,50,791817,1
0,65194,21,21,0,0,54806,0
0,6388,124,124,0,100,323,1
1,296067,110,110,1,33,288610,0
0,62219,39,39,0,82,51870,0
0,19188,34,34,0,80,11071,1
0,34912,170,170,0,33,27714,1
0,330111,109,109,0,15,322282,0
1,595061,48,48,1,25,584655,0
1,52443,44,44,1,48,42064,1
0,5929,152,152,0,69,3,0
1,35770,43,43,1,83,25298,1
0,5956,20,20,0,73,733,0
0,586972,47,47,0,8,576509,0
0,88568,200,200,0,120,78117,1
1,13525,108,108,1,97,3143,0
0,623676,90,90,0,12,613279,0
0,11537,175,175,0,112,1098,1
0,505288,11,11,0,4,494840,0
0,39653,24,24,0,37,33702,1
0,158064,215,215,0,13,147781,1
0,54831,126,126,0,51,44338,1
0,1392969,105,105,0,49,1382515,1
