Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,1097,13,13,7,55,51,1,0
0,0,30308,52,52,6,10,2,27168,1
1,0,56857,121,121,2,19,22,54575,1
0,0,763,10,10,1,25,52,5,0
0,0,703218,19,19,8,26,36,701626,0
1,0,5286,80,80,2,29,75,4336,1
1,0,93861,98,98,2,50,32,92599,1
0,0,716461,48,48,6,51,38,713525,0
0,0,581462,111,111,5,24,4,578019,0
0,0,212280,147,147,8,31,10,211864,0
1,0,38881,132,132,2,59,86,36347,0
0,0,297517,79,79,6,87,14,294389,0
1,0,81368,21,21,2,83,22,80808,1
0,0,720,140,140,8,27,92,1,1
1,0,742903,101,101,2,76,23,741965,0
1,0,30302,0,0,2,86,31,29316,1
0,0,429068,83,83,6,85,25,425925,0
1,0,118859,96,96,2,35,9,115842,1
0,0,9728,41,41,6,40,67,6585,0
0,0,12029,46,46,8,88,69,11478,0
0,0,315827,125,125,6,79,15,312663,0
1,0,4234,76,76,2,45,73,3116,1
1,0,99546,109,109,2,27,12,97369,0
1,0,32123,58,58,2,51,10,29739,1
1,0,929052,123,123,2,86,31,925927,0
0,0,4123,89,89,5,1,76,1628,1
0,0,116617,55,55,6,44,13,113450,0
1,0,8113,64,64,2,90,70,5945,0
0,0,4229,137,137,6,52,89,1371,1
0,0,33235,7,7,8,78,9,30782,1
0,0,1206,16,16,8,87,53,1,0
1,0,789292,95,95,2,10,29,788021,0
1,0,53098,126,126,2,24,34,49949,1
1,0,99066,112,112,2,82,1,97825,1
0,0,318588,152,152,6,43,14,315535,0
0,0,1289,11,11,8,91,49,3,0
0,0,546,142,142,8,63,94,1,1
1,0,383983,5,5,2,60,46,383429,1
1,0,213521,148,148,2,51,10,212382,0
1,0,57661,43,43,2,57,41,55166,1
1,0,74545,150,150,2,68,8,72053,1
1,0,8781,27,27,2,49,59,5653,0
0,0,599,1,1,7,32,58,3,0
0,0,81855,145,145,6,14,10,78709,1
1,0,341238,28,28,2,73,4,338959,1
0,0,227216,77,77,8,69,43,225387,0
1,0,5181,104,104,2,88,79,4192,0
1,0,99079,53,53,2,3,2,97820,1
0,0,35758,6,6,7,78,9,35156,1
1,0,46653,86,86,2,17,38,44743,1
0,0,521345,24,24,6,56,1,518232,0
0,1,54155,57,57,6,38,10,50976,1
1,0,96937,120,120,2,62,30,96035,1
0,0,1771,20,20,8,17,55,5,0
0,0,9252,127,127,8,80,85,7177,0
