Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position
1,1037760,369,22,1037092
0,18293,404,95,17649
0,7200,135,45,6637
0,55025,359,83,54438
0,1464254,87,28,1463646
1,487260,203,23,486679
0,2016292,330,27,2015537
0,9057,388,90,8128
0,4555,132,64,3962
0,683253,97,28,682675
1,807166,153,22,806492
0,112468,401,94,111971
0,4870,341,78,4217
0,2682,266,76,1954
1,163066,8,8,162521
0,1955674,333,28,1955171
1,756041,98,28,755460
1,1368555,310,28,1367977
1,1487064,91,28,1486369
1,36247,71,15,35642
0,1187163,347,22,1186465
0,120884,33,14,120498
1,1921473,107,28,1920904
0,438865,352,17,438233
0,308712,370,16,308044
0,1033564,300,18,1032920
0,1604078,115,28,1603452
0,85370,60,58,84681
0,17407,263,74,16820
0,497483,125,17,496893
0,1738968,26,27,1738420
1,6677,379,86,6162
1,278070,224,3,277438
0,1731530,337,28,1730895
0,477620,208,6,476973
0,565167,382,20,564760
0,10321,126,61,9749
0,1686468,111,28,1685914
0,7629,232,70,6979
0,1645,356,83,1004
1,376974,54,3,376393
0,767988,273,27,767290
1,426818,138,4,426186
1,39701,51,57,39237
0,265007,261,23,264339
1,782,45,54,129
1,1132814,318,28,1132212
1,30799,72,15,30158
1,159847,66,14,159101
0,694973,308,27,694383
1,1637787,113,28,1637185
0,487905,170,3,487330
1,356421,430,13,355831
0,1932015,106,28,1931470
0,2027,38,52,1341
0,1743790,336,28,1743146
0,515441,209,6,514617
1,1118634,320,28,1117975
0,347837,17,3,347313
0,250738,324,3,250097
1,1579,3,34,1004
0,570400,75,7,569783
0,544317,147,22,543658
0,52129,267,76,51491
1,19103,380,86,18480
0,4829,260,73,4128
1,599763,235,10,598996
0,430625,12,16,430509
0,1148872,410,27,1148204
0,339516,227,3,338926
1,1413348,212,26,1412725
1,1081012,406,27,1080440
0,15668,345,79,15015
1,6518,305,1,5874
1,26110,307,14,25487
1,504309,428,4,503911
1,610947,367,22,610288
0,1995197,219,27,1994529
0,216763,323,3,216122
1,588625,158,4,587969
0,416038,383,31,415541
1,463493,100,0,462885
1,14001,394,92,13402
0,276224,137,22,275592
1,602338,321,6,601643
1,1845,389,91,1489
0,314714,122,12,314181
0,1473130,86,28,1472456
1,1134002,408,27,1133424
0,444695,30,3,444042
0,42175,386,88,41594
0,9261,128,62,8539
0,382637,56,3,382086
1,35038,304,1,34388
0,410050,250,16,409331
1,13194,350,81,12661
1,641578,82,11,640880
1,320021,423,4,319437
0,70385,301,15,69732
0,2893,384,87,2228
1,36160,19,14,35462
1,628319,185,13,627354
1,1066542,405,27,1065931
0,288480,175,17,287506
0,331967,154,16,331098
0,467996,365,22,467418
0,1344856,200,21,1344239
0,340144,413,14,339536
0,218124,167,17,217234
0,17055,47,56,16375
1,1049,287,48,204
1,789660,152,22,789061
1,874302,277,27,873739
1,281,10,36,3
0,16035,343,78,15472
1,301818,281,14,301183
1,6125,11,36,5631
0,578960,76,7,578253
0,1670681,27,27,1670067
1,538452,146,22,537880
0,278450,246,16,277617
0,473006,256,16,472107
0,16573,166,66,15977
0,1236,124,44,691
1,2152710,105,28,2152117
0,750998,202,16,750414
1,497850,297,10,497083
1,653543,83,11,652923
0,729959,95,28,729363
1,350824,414,14,350453
1,584282,133,10,583626
0,425782,142,14,425384
0,1183104,326,26,1182499
0,160801,403,94,160181
0,10872,103,60,10210
1,412598,283,30,411981
1,514088,296,10,513441
1,667099,4,10,666332
0,244449,291,16,243556
0,223254,292,16,222562
0,260483,177,17,259935
0,1078119,194,28,1077559
1,198335,41,10,197730
1,1243238,188,28,1242540
0,1109266,398,23,1108595
0,6197,387,89,5628
1,38888,78,14,38181
0,374682,40,28,374062
0,1420673,90,28,1420101
1,388432,196,29,388043
0,70633,58,58,70109
0,11230,374,49,10535
1,673589,186,27,672981
0,1677970,117,28,1677395
0,5761,375,50,5141
0,1886263,220,27,1885670
1,311313,422,4,310645
1,274287,173,14,273715
0,433446,207,23,432955
1,36542,385,88,35961
0,541203,102,6,540331
1,375081,121,12,374536
1,1142859,409,27,1142287
1,1481322,92,28,1480762
0,1261581,325,26,1260970
1,1739,6,33,1236
0,405277,141,14,404699
1,1581481,217,26,1580900
1,2442,288,48,1612
1,327963,424,4,327337
0,1411596,21,28,1410949
0,253089,178,17,252442
0,917604,276,27,916954
1,358436,280,14,358038
1,11470,46,55,11081
1,371048,279,14,370350
0,1943209,9,28,1942577
1,7470,271,77,6853
1,76266,282,14,75574
1,21243,14,38,20602
1,605996,241,10,605367
0,332148,411,14,331510
0,844685,368,22,844098
0,1875155,221,27,1874526
1,617680,236,10,617066
0,59685,48,56,58891
0,1611491,331,27,1610868
0,31626,357,83,31012
0,67780,415,14,67067
0,425359,251,16,424565
0,281837,179,17,281250
0,1169771,348,22,1169145
0,1200244,313,28,1199621
0,18926,390,92,18276
1,2115566,24,28,2114982
1,1109679,317,28,1109041
1,1559,50,57,987
0,413954,418,28,413337
0,128464,416,14,128075
1,1139142,316,28,1138561
0,385637,20,22,384969
1,1348,168,67,512
0,567879,381,20,567310
1,190891,65,14,190256
1,3660,197,68,3085
0,1001979,94,28,1001410
0,1671935,118,28,1671336
1,3008,164,46,2760
0,17644,349,80,17072
0,393310,284,30,392783
0,1025055,193,28,1024453
1,1654543,29,27,1654004
1,11006,13,37,10434
0,1840810,109,28,1840178
