Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,0,301826,242,2,0,31,299487,0
1,0,32772,97,1,1,4,29866,1
0,0,373899,29,2,0,5,371611,1
0,0,721934,74,2,0,23,719244,1
0,0,428427,87,3,0,20,425755,0
0,0,1516533,43,2,0,32,1514173,1
0,0,465591,162,2,0,15,462814,0
0,0,54199,32,2,0,58,51578,1
1,0,952113,116,1,1,23,949273,1
0,0,1062895,234,2,0,31,1060310,1
1,0,199898,36,1,1,19,197364,1
0,0,404584,119,2,0,21,402206,0
0,0,473501,203,3,0,23,470631,0
0,0,246580,86,2,0,19,243767,0
0,0,33755,27,2,0,44,30969,0
0,0,355891,244,2,0,6,353552,0
0,0,993191,44,2,0,32,990858,1
1,0,1100880,195,1,1,23,1098211,1
0,0,1152306,222,2,0,24,1149583,0
0,0,1161129,167,2,0,32,1158613,0
1,0,32977,217,1,1,85,30248,1
0,0,33431,26,2,0,55,30843,1
0,0,184674,6,2,0,12,182293,0
0,0,1757922,189,2,0,32,1755496,1
0,0,553480,174,3,0,1,550610,0
0,0,16153,30,2,0,56,13502,0
0,0,292921,245,2,0,6,290183,1
0,0,256062,179,2,0,5,253732,0
0,0,25495,50,2,0,61,22811,0
0,0,8691,196,2,0,78,6085,1
0,0,180436,214,2,0,11,177890,1
0,0,15222,213,2,0,82,12538,1
0,0,849988,206,2,0,23,847319,0
0,0,1966199,103,2,0,31,1963551,1
0,0,546874,143,2,0,15,544250,0
0,0,1024944,233,2,0,31,1022305,0
0,0,519004,251,2,0,7,516413,0
0,0,1176004,166,2,0,32,1173581,0
0,0,82609,138,3,0,19,79808,1
1,0,316755,120,1,1,24,314314,0
0,0,735391,129,2,0,31,733043,0
0,0,483376,96,2,0,24,480707,1
0,0,1314205,89,2,0,32,1311887,0
0,0,1015945,210,2,0,23,1013150,1
0,0,204433,62,2,0,14,201761,1
0,0,1800605,108,2,0,31,1797939,1
0,0,125132,80,2,0,4,122370,1
1,0,17633,22,1,1,53,14982,0
0,0,4209,122,2,0,69,1423,0
0,0,187941,232,2,0,5,185287,0
0,0,1065877,199,2,0,26,1063010,0
0,0,425184,136,2,0,16,422410,0
0,0,513629,257,3,0,15,510834,0
0,0,568671,173,2,0,32,566338,1
0,0,1115182,221,2,0,24,1112378,0
1,0,432436,159,1,1,15,429818,0
0,0,218715,55,2,0,17,215884,1
1,0,86749,153,1,1,3,84020,1
1,0,396102,69,1,1,19,393418,0
1,0,107074,254,1,1,2,104540,0
0,0,622377,41,2,0,31,620053,0
1,0,389747,164,1,1,15,387120,0
0,0,422008,201,2,0,17,419294,0
0,0,185153,24,2,0,27,182502,0
0,0,378614,163,2,0,15,375975,0
0,0,309384,110,2,0,5,306937,0
0,0,585607,81,2,0,6,583331,1
0,0,7162,20,2,0,51,4697,0
0,0,650434,39,3,0,14,647633,1
0,0,23290,219,2,0,50,20606,1
0,0,9867,60,2,0,63,7462,0
1,0,442799,202,1,1,23,439932,1
0,0,1713823,8,2,0,30,1711409,0
0,0,700388,15,2,0,15,697620,0
0,0,14845,47,3,0,60,11996,0
0,0,8092,215,2,0,83,5759,0
1,0,13979,198,1,1,80,11352,1
0,0,1045611,209,3,0,23,1042786,0
0,0,15062,85,2,0,66,12438,0
0,0,1061168,112,4,0,23,1059124,0
0,0,8115,172,3,0,49,5269,1
0,0,379418,170,2,0,34,376740,1
0,0,2047179,185,2,0,31,2044399,1
0,0,585177,205,3,0,23,582301,0
0,0,475012,142,2,0,7,472298,0
0,0,1324430,88,2,0,32,1322082,0
0,0,1156973,236,2,0,31,1154469,0
1,0,9580,197,1,1,79,6749,1
0,0,50888,152,2,0,20,48174,1
0,0,1096585,235,2,0,31,1093946,1
0,0,758419,45,2,0,21,756089,0
0,0,12594,151,2,0,76,9967,0
0,0,9089,218,2,0,85,6579,1
1,0,45075,125,1,1,72,42286,0
1,0,1611964,100,1,1,30,1609262,1
0,0,1828534,107,2,0,31,1825916,0
0,0,466038,177,2,0,24,463714,0
0,0,1865809,105,2,0,31,1862957,0
0,0,139709,253,2,0,1,138117,0
1,0,290907,118,1,1,21,288478,0
0,0,1731005,191,3,0,29,1728183,0
0,0,2060220,184,2,0,31,2057611,1
0,0,800723,165,2,0,22,798375,0
0,0,12158,11,2,0,43,9363,1
0,0,21771,83,2,0,64,19363,0
0,0,488327,204,3,0,23,485541,0
0,0,454333,158,2,0,15,451748,0
0,0,262330,243,2,0,6,259847,0
0,0,568854,259,2,0,15,566233,0
0,0,16377,145,2,0,74,13513,1
0,0,180486,35,2,0,19,177754,1
1,0,1633076,187,1,1,31,1630521,0
0,0,602587,42,2,0,31,600077,0
0,0,736453,78,3,0,23,733583,0
0,0,1129346,169,2,0,32,1126764,1
0,0,20976,57,2,0,46,18310,0
0,0,5331,150,2,0,75,2932,0
0,0,629809,113,3,0,13,627020,1
0,0,1825289,188,2,0,32,1822929,0
1,0,590672,258,1,1,15,588504,0
0,0,6553,121,2,0,68,4166,1
0,0,1169591,223,3,0,24,1166769,0
0,0,13678,156,2,0,3,10931,1
0,0,468388,67,3,0,6,465485,0
1,0,476059,149,1,1,5,473501,0
0,0,1251196,181,2,0,30,1248512,0
0,0,1007699,207,2,0,23,1005114,1
0,0,1147282,168,2,0,32,1144757,1
0,0,696919,72,2,0,23,694046,0
1,0,1582479,186,1,1,31,1579936,0
0,0,221070,141,2,0,9,218443,1
0,0,463778,79,2,0,16,460986,0
0,0,11062,5,2,0,39,8450,0
0,0,1570228,99,5,0,30,1568267,1
0,0,280853,63,2,0,23,278046,0
0,0,546370,46,2,0,8,543824,0
0,0,399549,238,2,0,16,396772,0
0,0,57145,56,3,0,46,54284,0
0,0,817323,77,2,0,23,814468,0
1,0,408107,17,1,1,5,405750,0
0,0,60414,227,2,0,87,57859,1
0,0,988200,208,2,0,23,985546,1
0,0,7898,10,2,0,42,5274,1
0,0,245264,48,2,0,0,242583,0
0,0,4732,124,2,0,71,2051,0
0,0,21506,58,2,0,62,18858,0
0,0,23129,127,3,0,73,20358,1
0,0,428401,68,2,0,18,425663,0
1,0,1014233,135,1,1,31,1011738,0
0,0,34218,59,2,0,62,31414,0
0,0,2102129,102,2,0,31,2099463,1
0,0,15093,157,3,0,19,12226,0
0,0,1317329,98,2,0,30,1314768,0
0,0,352788,249,2,0,18,350182,1
0,0,565683,140,2,0,6,563344,1
0,0,10603,7,3,0,40,7772,1
0,0,212927,0,5,0,13,211077,1
0,0,1200167,194,2,0,23,1197396,0
0,0,652210,95,2,0,8,649424,0
0,0,10893,90,2,0,33,8359,1
0,0,4709,31,2,0,57,2067,1
0,0,119436,255,2,0,2,116878,0
0,0,14331,230,2,0,88,11776,1
0,0,1650945,12,2,0,31,1648582,1
0,0,7054,123,2,0,70,4541,0
0,0,456596,16,2,0,5,453903,1
0,0,3590,212,2,0,82,942,1
0,0,1816759,190,2,0,32,1814429,0
0,0,2010450,109,2,0,32,2008033,1
0,0,529696,176,2,0,1,526820,1
0,0,272153,64,2,0,23,269451,0
0,0,423886,65,2,0,6,421607,1
1,0,408724,139,1,1,35,406415,1
0,0,1036042,117,2,0,25,1033382,0
0,0,25731,9,3,0,41,22858,0
0,0,35248,51,2,0,61,32438,0
0,0,2099,3,5,0,37,3,1
0,0,867065,115,2,0,23,864531,0
0,0,460231,148,2,0,13,457457,1
0,0,2171498,183,2,0,31,2169063,1
0,0,783613,76,2,0,23,780839,0
0,0,35322,192,2,0,77,32611,1
0,0,506933,19,3,0,23,504105,0
0,0,41459,220,3,0,86,38613,1
0,0,584285,175,0,0,1,581721,0
0,0,404953,161,2,0,15,402317,0
0,0,16042,111,3,0,67,13142,0
1,0,574686,147,1,1,13,571897,1
0,0,596823,94,2,0,8,594229,1
1,0,71558,154,1,1,3,69066,0
0,0,1102343,226,2,0,24,1099539,0
0,0,556640,252,2,0,7,553878,0
