Entity_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,12909,145,145,113,10807,1
0,6110,102,101,101,3849,0
1,457048,91,90,9,454787,0
0,478833,231,231,6,476677,0
0,16869,155,155,116,14662,0
0,4025,166,166,16,1761,1
1,20192,203,203,29,18165,1
0,3770,52,51,89,732,1
1,828777,111,110,48,827212,1
1,9061,57,56,74,6806,1
0,2776,158,158,117,509,0
1,211189,119,119,34,209180,1
1,7765,30,29,43,5519,1
0,3747,25,24,72,1363,1
0,555948,172,172,20,553549,0
0,487264,97,96,17,485114,0
0,763294,176,176,26,761027,0
0,1178466,118,118,44,1176085,0
1,53359,117,117,40,52601,1
1,96434,222,222,5,94266,1
1,45480,197,197,122,43330,1
1,609383,80,79,20,607077,0
1,5633,13,12,62,4134,0
1,813661,182,182,38,811541,0
0,243718,99,98,19,243449,0
0,480713,38,37,4,478230,0
1,114439,9,8,3,112868,1
0,14957,65,64,76,12933,0
1,356577,109,108,53,354673,0
0,371476,173,173,18,369323,0
1,50723,123,123,106,48507,1
0,611448,113,113,10,610807,0
0,56175,86,85,5,53914,1
1,1621,66,65,95,2,1
0,4679,116,116,40,2307,1
0,11646,126,126,107,9286,1
0,45278,103,102,18,42840,0
0,47037,178,178,120,44773,1
0,487691,31,30,18,485538,0
0,477337,11,10,9,476408,0
0,828692,195,195,49,827244,1
1,909033,33,32,40,906619,0
0,1062,4,3,71,1,0
0,15153,209,209,30,12949,1
1,81519,12,11,5,79698,1
0,65232,218,218,52,62692,1
0,710857,50,49,23,709519,0
0,76316,29,28,52,74154,1
1,799420,225,225,32,796943,0
0,7491,129,129,22,5182,1
0,2056,51,50,88,2,1
0,4947,46,45,86,2638,0
1,441740,94,93,29,439797,1
0,2326647,18,17,54,2325364,0
1,777368,224,224,32,775140,0
1,51771,234,234,36,49540,1
0,59089,41,40,57,56687,1
1,552888,219,219,15,550654,0
0,79561,120,120,57,77369,1
1,1451239,131,131,52,1449053,0
0,1009290,45,44,39,1006993,0
1,170211,125,125,50,168412,1
0,4516,55,54,91,3179,1
1,122003,229,229,11,119982,1
0,5046,160,160,118,2860,1
1,1375691,122,122,46,1373202,0
0,27070,143,143,16,24536,1
1,224206,202,202,35,222371,1
1,689616,83,82,54,687517,0
1,372955,230,230,29,370655,1
1,1204656,198,198,46,1202680,0
1,11060,144,144,32,8994,1
1,2096,148,148,114,747,1
