Entity_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Chromosome_Id,Genomic_Start_Position,Strand_Orientation
0,6912,13,13,37,4054,1
0,152656,70,70,6,149750,0
0,3512,39,39,46,570,1
1,2374,42,42,47,2,0
0,613086,35,35,12,611617,1
0,39716,23,23,15,38265,1
0,623307,62,62,4,621664,0
0,2321780,60,60,21,2320431,0
1,2321637,24,24,22,2320534,0
1,513352,30,30,13,509741,1
1,5459,14,14,38,369,1
1,85207,71,71,4,81746,1
1,6009,72,72,57,1594,1
0,241168,59,59,2,239609,0
0,10189,67,67,56,8723,0
0,12357,16,16,40,7624,1
1,13981,7,7,17,12296,1
1,166284,41,41,6,162214,0
0,2470,33,33,44,2,0
1,48747,75,75,16,45235,1
0,585395,45,45,3,582072,0
0,1879,4,4,25,2,1
0,685088,8,8,11,683411,0
0,187784,11,11,8,184617,1
0,3165,36,36,45,1,1
1,467386,68,68,11,461438,1
1,2326,15,15,39,2,0
0,463665,38,38,5,460870,0
0,769652,6,6,10,767703,0
1,576641,69,69,1,572922,0
0,219070,19,19,7,217661,0
1,1251315,40,40,19,1250056,1
0,14382,53,53,4,9970,1
1,31870,55,55,51,22712,1
0,574606,46,46,3,573398,0
0,2053,49,49,33,2,0
1,13747,21,21,18,12191,1
1,6974,52,52,50,1995,1
0,1537,1,1,27,2,1
0,1556,2,2,60,3,1
0,1997,5,5,26,1,0
0,26175,26,26,21,23011,1
1,375450,18,18,23,373273,0
1,11280,10,10,35,2713,1
0,72487,44,44,22,68564,1
0,3322,12,12,36,2,0
0,2309,32,32,32,3,0
0,5982,0,0,59,4234,1
0,4784,28,28,43,3,0
0,1059473,74,74,20,1058121,0
0,2868,27,27,29,1600,1
0,348754,58,58,22,344585,1
0,4686,64,64,54,1,1
0,24031,25,25,28,21731,1
0,478366,54,54,14,476669,1
0,4676,66,66,55,3,0
0,1271,29,29,30,3,0
1,8695,50,50,34,5075,0
0,2498,43,43,48,3,0
1,1119042,65,65,19,1112740,1
0,595601,34,34,12,591036,1
0,78154,47,47,0,73799,1
0,37338,37,37,24,35617,1
0,35785,3,3,9,34078,1
0,89064,48,48,0,84641,1
0,50380,9,9,10,48473,1
0,5803,63,63,53,896,1
0,4720,22,22,42,2,0
0,4039,61,61,52,1,1
0,2312,51,51,49,2,0
0,22057,56,56,9,19652,1
0,5221,31,31,31,2141,1
1,4653,17,17,41,1,0
1,72456,20,20,6,65872,1
0,2190,73,73,58,1,0
0,21673,57,57,24,20189,1
